Exit stations,Entry stations->,,TOTAL,,,Apr 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	419 ," 	1,491 "," 	1,342 ", 	797 ," 	5,446 "," 	1,127 "," 	1,786 "," 	1,346 "," 	1,531 ", 	491 ," 	1,250 ", 	954 , 	467 , 	275 , 	523 , 	255 , 	205 , 	189 , 	366 , 	190 , 	292 , 	163 , 	102 , 	263 , 	354 ," 	4,433 "," 	3,228 "," 	5,808 "," 	3,333 "," 	2,755 "," 	2,562 ", 	691 , 	717 , 	901 , 	258 , 	66 , 	92 , 	55 , 	160 , 	192 , 	302 , 	738 , 	254 , 	77 , 	188 , 	334 , 	142 , 	241 , 	180 , 	194 ," 	49,525 ",,,,,,,,,,,,,
EN," 	1,746 ", 	460 ," 	1,261 ", 	975 ," 	8,966 "," 	1,467 "," 	2,508 "," 	2,763 "," 	3,542 ", 	929 ," 	1,507 "," 	1,264 ", 	665 , 	547 , 	698 , 	281 , 	359 , 	404 , 	384 , 	214 , 	406 , 	152 , 	132 , 	350 , 	499 ," 	8,999 "," 	6,770 "," 	9,858 "," 	6,704 "," 	2,993 "," 	2,515 ", 	837 ," 	1,073 "," 	1,504 ", 	317 , 	121 , 	276 , 	80 , 	237 , 	293 , 	402 ," 	1,388 ", 	551 , 	60 , 	559 , 	386 , 	288 , 	432 , 	129 , 	191 ," 	79,442 ",,,,,,,,,,,,,
EP," 	1,438 "," 	1,243 ", 	209 , 	746 ," 	7,092 ", 	876 ," 	1,403 "," 	1,475 "," 	2,040 ", 	590 , 	747 , 	507 , 	453 , 	178 , 	244 , 	164 , 	160 , 	192 , 	257 , 	101 , 	261 , 	124 , 	63 , 	373 , 	156 ," 	4,924 "," 	3,623 "," 	3,515 "," 	3,282 "," 	1,218 ", 	898 , 	338 , 	256 , 	597 , 	63 , 	63 , 	98 , 	43 , 	111 , 	101 , 	104 , 	890 , 	253 , 	99 , 	402 , 	130 , 	139 , 	202 , 	44 , 	82 ," 	42,567 ",,,,,,,,,,,,,
NB, 	930 , 	945 , 	722 , 	243 ," 	1,958 ", 	619 , 	921 ," 	1,528 "," 	1,380 ", 	495 , 	967 , 	546 , 	417 , 	190 , 	227 , 	106 , 	130 , 	275 , 	177 , 	158 , 	157 , 	70 , 	77 , 	151 , 	183 ," 	4,857 "," 	3,257 "," 	3,105 "," 	3,680 "," 	1,612 "," 	1,076 ", 	309 , 	331 , 	384 , 	68 , 	75 , 	147 , 	52 , 	126 , 	63 , 	74 ," 	1,163 ", 	200 , 	25 , 	483 , 	133 , 	118 , 	198 , 	29 , 	89 ," 	35,226 ",,,,,,,,,,,,,
BK," 	5,931 "," 	9,146 "," 	7,570 "," 	2,113 "," 	1,111 "," 	3,253 "," 	3,846 "," 	4,741 "," 	5,060 "," 	1,892 "," 	3,074 "," 	2,241 "," 	1,901 "," 	1,139 "," 	1,487 "," 	1,079 "," 	1,432 "," 	1,478 ", 	877 , 	887 ," 	1,030 ", 	568 , 	346 , 	365 ," 	1,107 "," 	9,887 "," 	6,423 "," 	9,373 "," 	7,004 "," 	4,165 "," 	3,212 "," 	1,660 "," 	1,058 "," 	1,382 ", 	310 , 	410 , 	931 , 	287 , 	608 , 	317 , 	425 ," 	2,345 "," 	1,365 ", 	278 ," 	1,425 ", 	720 ," 	1,191 "," 	1,897 ", 	269 , 	541 ," 	121,157 ",,,,,,,,,,,,,
AS," 	1,237 "," 	1,409 ", 	803 , 	627 ," 	2,947 ", 	263 , 	927 ," 	1,843 "," 	1,620 ", 	623 ," 	1,220 ", 	942 , 	540 , 	339 , 	311 , 	200 , 	335 , 	292 , 	158 , 	212 , 	235 , 	96 , 	56 , 	109 , 	479 ," 	4,402 "," 	3,283 "," 	3,311 "," 	3,783 "," 	1,890 "," 	1,054 ", 	376 , 	372 , 	411 , 	73 , 	57 , 	163 , 	31 , 	90 , 	56 , 	152 , 	798 , 	220 , 	76 , 	366 , 	134 , 	238 , 	336 , 	25 , 	140 ," 	39,660 ",,,,,,,,,,,,,
MA," 	1,877 "," 	2,385 "," 	1,332 ", 	978 ," 	3,756 "," 	1,061 ", 	571 ," 	1,594 "," 	1,982 ", 	741 ," 	2,114 "," 	1,776 "," 	1,389 ", 	862 , 	953 , 	498 , 	527 , 	629 ," 	1,204 "," 	1,062 "," 	1,163 ", 	408 , 	396 , 	776 , 	831 ," 	8,577 "," 	6,281 "," 	7,053 "," 	6,820 "," 	4,208 "," 	2,551 ", 	763 , 	880 , 	729 , 	239 , 	122 , 	431 , 	285 ," 	1,002 ", 	259 , 	140 ," 	1,371 ", 	390 , 	183 , 	426 , 	248 , 	309 , 	516 , 	530 ," 	1,225 "," 	76,403 ",,,,,,,,,,,,,
19," 	1,374 "," 	2,781 "," 	1,537 "," 	1,598 "," 	5,060 "," 	1,967 "," 	1,635 ", 	617 , 	387 , 	304 ," 	1,476 "," 	1,689 "," 	1,458 "," 	1,271 "," 	1,220 ", 	755 , 	777 , 	918 ," 	1,407 "," 	1,532 "," 	1,576 ", 	697 , 	654 ," 	1,468 ", 	786 ," 	10,240 "," 	7,474 "," 	7,967 "," 	7,316 "," 	4,484 "," 	2,933 "," 	1,010 "," 	1,081 "," 	1,032 ", 	355 , 	287 , 	623 , 	320 , 	922 , 	321 , 	357 ," 	1,275 ", 	569 , 	251 , 	461 , 	484 , 	474 , 	661 , 	370 , 	916 ," 	87,127 ",,,,,,,,,,,,,
12," 	1,681 "," 	3,636 "," 	2,010 "," 	1,346 "," 	4,618 "," 	1,528 "," 	1,920 ", 	368 , 	630 , 	288 ," 	1,343 "," 	1,703 "," 	2,508 "," 	1,938 "," 	1,717 ", 	919 ," 	1,283 ", 	970 ," 	1,620 "," 	1,747 "," 	1,813 ", 	779 , 	672 ," 	1,313 ", 	910 ," 	9,486 "," 	6,951 "," 	9,193 "," 	6,882 "," 	3,502 "," 	2,580 "," 	1,087 "," 	1,407 "," 	1,694 ", 	557 , 	322 , 	731 , 	454 ," 	1,206 ", 	573 , 	615 ," 	1,634 ", 	822 , 	312 , 	526 , 	615 , 	499 , 	631 , 	460 ," 	1,574 "," 	93,573 ",,,,,,,,,,,,,
LM, 	503 , 	800 , 	548 , 	453 ," 	2,216 ", 	616 , 	782 , 	266 , 	313 , 	340 ," 	2,058 "," 	2,569 "," 	3,077 "," 	2,455 "," 	1,630 "," 	1,193 ", 	980 ," 	1,023 ", 	289 , 	187 , 	244 , 	81 , 	51 , 	192 , 	406 ," 	7,347 "," 	5,419 "," 	6,651 "," 	5,505 "," 	2,893 "," 	1,826 ", 	872 , 	893 , 	887 , 	100 ," 	1,342 "," 	2,109 ", 	136 , 	169 , 	147 , 	93 , 	400 , 	109 , 	849 , 	469 , 	563 , 	520 , 	569 , 	88 , 	324 ," 	63,552 ",,,,,,,,,,,,,
FV," 	1,186 "," 	1,407 ", 	760 , 	914 ," 	3,208 "," 	1,110 "," 	2,067 "," 	1,448 "," 	1,534 "," 	1,852 ", 	580 ," 	3,454 "," 	3,061 "," 	3,205 "," 	2,711 "," 	1,482 "," 	1,142 "," 	1,371 ", 	369 , 	263 , 	464 , 	335 , 	340 , 	627 ," 	1,732 "," 	8,250 "," 	5,595 "," 	9,328 "," 	8,064 "," 	3,452 "," 	2,972 ", 	695 ," 	1,038 "," 	1,632 ", 	143 , 	747 ," 	1,649 ", 	106 , 	311 , 	185 , 	347 , 	830 , 	242 , 	980 , 	262 , 	924 , 	494 , 	694 , 	190 , 	465 ," 	86,217 ",,,,,,,,,,,,,
