Exit stations,Entry stations->,,WEEKDAY,,,Apr 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	14 , 	58 , 	52 , 	31 , 	213 , 	45 , 	71 , 	52 , 	61 , 	19 , 	48 , 	37 , 	18 , 	11 , 	20 , 	10 , 	9 , 	8 , 	14 , 	7 , 	12 , 	6 , 	4 , 	10 , 	14 , 	177 , 	135 , 	224 , 	140 , 	111 , 	100 , 	28 , 	28 , 	38 , 	11 , 	2 , 	3 , 	2 , 	6 , 	7 , 	11 , 	29 , 	10 , 	3 , 	8 , 	13 , 	5 , 	8 , 	7 , 	8 ," 	1,958 ",,,,,,,,,,,,,
EN, 	66 , 	16 , 	50 , 	38 , 	359 , 	54 , 	101 , 	117 , 	149 , 	38 , 	57 , 	47 , 	26 , 	20 , 	28 , 	10 , 	14 , 	16 , 	15 , 	8 , 	15 , 	6 , 	5 , 	14 , 	20 , 	378 , 	289 , 	378 , 	285 , 	118 , 	97 , 	34 , 	43 , 	64 , 	11 , 	5 , 	11 , 	4 , 	9 , 	13 , 	16 , 	50 , 	23 , 	2 , 	21 , 	15 , 	9 , 	14 , 	5 , 	8 ," 	3,191 ",,,,,,,,,,,,,
EP, 	55 , 	49 , 	7 , 	28 , 	278 , 	31 , 	55 , 	59 , 	83 , 	23 , 	30 , 	19 , 	19 , 	7 , 	10 , 	6 , 	7 , 	7 , 	10 , 	4 , 	10 , 	4 , 	2 , 	14 , 	6 , 	202 , 	152 , 	128 , 	133 , 	45 , 	34 , 	13 , 	10 , 	26 , 	2 , 	3 , 	3 , 	2 , 	4 , 	4 , 	4 , 	32 , 	10 , 	3 , 	15 , 	5 , 	5 , 	7 , 	2 , 	3 ," 	1,671 ",,,,,,,,,,,,,
NB, 	37 , 	37 , 	27 , 	8 , 	78 , 	23 , 	36 , 	59 , 	56 , 	19 , 	36 , 	20 , 	16 , 	7 , 	9 , 	3 , 	5 , 	10 , 	7 , 	6 , 	5 , 	3 , 	3 , 	6 , 	6 , 	193 , 	132 , 	108 , 	144 , 	56 , 	37 , 	11 , 	12 , 	16 , 	3 , 	3 , 	6 , 	2 , 	5 , 	3 , 	3 , 	41 , 	7 , 	1 , 	17 , 	5 , 	4 , 	7 , 	1 , 	4 ," 	1,343 ",,,,,,,,,,,,,
BK, 	234 , 	371 , 	297 , 	85 , 	34 , 	129 , 	150 , 	185 , 	197 , 	74 , 	120 , 	91 , 	78 , 	45 , 	58 , 	41 , 	60 , 	58 , 	37 , 	36 , 	39 , 	23 , 	13 , 	14 , 	43 , 	338 , 	229 , 	295 , 	251 , 	145 , 	117 , 	60 , 	40 , 	52 , 	12 , 	16 , 	35 , 	12 , 	26 , 	13 , 	16 , 	79 , 	47 , 	10 , 	48 , 	26 , 	39 , 	61 , 	12 , 	23 ," 	4,513 ",,,,,,,,,,,,,
AS, 	47 , 	53 , 	29 , 	24 , 	119 , 	9 , 	36 , 	71 , 	62 , 	24 , 	49 , 	38 , 	21 , 	13 , 	12 , 	7 , 	14 , 	12 , 	6 , 	8 , 	9 , 	4 , 	2 , 	4 , 	16 , 	175 , 	135 , 	118 , 	148 , 	64 , 	36 , 	13 , 	15 , 	17 , 	3 , 	2 , 	6 , 	1 , 	4 , 	3 , 	7 , 	28 , 	8 , 	3 , 	11 , 	6 , 	9 , 	11 , 	1 , 	6 ," 	1,517 ",,,,,,,,,,,,,
MA, 	76 , 	98 , 	50 , 	37 , 	150 , 	40 , 	19 , 	62 , 	77 , 	28 , 	84 , 	70 , 	55 , 	33 , 	38 , 	20 , 	23 , 	26 , 	49 , 	43 , 	46 , 	16 , 	15 , 	27 , 	31 , 	340 , 	261 , 	256 , 	270 , 	150 , 	94 , 	28 , 	35 , 	30 , 	10 , 	5 , 	18 , 	11 , 	41 , 	11 , 	5 , 	48 , 	14 , 	8 , 	15 , 	10 , 	11 , 	18 , 	23 , 	52 ," 	2,973 ",,,,,,,,,,,,,
19, 	56 , 	116 , 	61 , 	63 , 	195 , 	75 , 	63 , 	22 , 	15 , 	12 , 	59 , 	67 , 	59 , 	51 , 	49 , 	32 , 	34 , 	40 , 	59 , 	65 , 	64 , 	28 , 	25 , 	56 , 	29 , 	415 , 	307 , 	285 , 	284 , 	160 , 	107 , 	39 , 	44 , 	40 , 	14 , 	13 , 	27 , 	13 , 	41 , 	13 , 	15 , 	44 , 	23 , 	11 , 	16 , 	20 , 	20 , 	25 , 	15 , 	40 ," 	3,426 ",,,,,,,,,,,,,
12, 	68 , 	156 , 	83 , 	54 , 	175 , 	60 , 	75 , 	16 , 	22 , 	12 , 	55 , 	70 , 	110 , 	82 , 	74 , 	40 , 	58 , 	43 , 	70 , 	77 , 	77 , 	34 , 	28 , 	51 , 	34 , 	375 , 	284 , 	332 , 	267 , 	122 , 	97 , 	44 , 	57 , 	72 , 	22 , 	14 , 	33 , 	20 , 	53 , 	25 , 	24 , 	57 , 	32 , 	14 , 	21 , 	27 , 	20 , 	26 , 	21 , 	69 ," 	3,753 ",,,,,,,,,,,,,
LM, 	20 , 	31 , 	21 , 	17 , 	89 , 	23 , 	30 , 	10 , 	12 , 	12 , 	74 , 	92 , 	124 , 	93 , 	65 , 	49 , 	43 , 	43 , 	11 , 	7 , 	10 , 	3 , 	2 , 	6 , 	14 , 	302 , 	224 , 	243 , 	221 , 	103 , 	65 , 	34 , 	35 , 	36 , 	4 , 	53 , 	83 , 	6 , 	7 , 	6 , 	3 , 	15 , 	4 , 	34 , 	17 , 	23 , 	19 , 	19 , 	4 , 	14 ," 	2,475 ",,,,,,,,,,,,,
FV, 	44 , 	52 , 	30 , 	35 , 	128 , 	43 , 	81 , 	57 , 	62 , 	70 , 	19 , 	135 , 	122 , 	118 , 	107 , 	59 , 	49 , 	55 , 	13 , 	10 , 	18 , 	13 , 	14 , 	24 , 	67 , 	338 , 	235 , 	350 , 	323 , 	131 , 	114 , 	26 , 	42 , 	71 , 	5 , 	29 , 	65 , 	4 , 	12 , 	8 , 	14 , 	31 , 	10 , 	36 , 	10 , 	37 , 	18 , 	22 , 	8 , 	19 ," 	3,386 ",,,,,,,,,,,,,
