Exit stations,Entry stations->,,SUNDAY,,,May 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
RM, 	17 , 	30 , 	31 , 	14 , 	84 , 	16 , 	23 , 	24 , 	18 , 	14 , 	28 , 	21 , 	8 , 	8 , 	8 , 	3 , 	1 , 	3 , 	5 , 	2 , 	4 , 	4 , 	2 , 	5 , 	6 , 	63 , 	36 , 	116 , 	38 , 	41 , 	40 , 	8 , 	15 , 	6 , 	4 , 	1 , 	1 , 	0 , 	3 , 	5 , 	8 , 	19 , 	5 , 	1 , 	4 , 	8 , 	3 , 	6 , 	3 , 	5 , 	818 ,,,,,,,,,,,
EN, 	36 , 	15 , 	20 , 	19 , 	103 , 	25 , 	40 , 	28 , 	40 , 	19 , 	34 , 	49 , 	11 , 	10 , 	11 , 	7 , 	2 , 	5 , 	7 , 	2 , 	9 , 	5 , 	1 , 	3 , 	11 , 	105 , 	60 , 	180 , 	60 , 	64 , 	57 , 	11 , 	13 , 	13 , 	7 , 	2 , 	2 , 	0 , 	5 , 	4 , 	6 , 	43 , 	9 , 	3 , 	19 , 	5 , 	8 , 	10 , 	2 , 	5 ," 	1,204 ",,,,,,,,,,,
EP, 	34 , 	18 , 	12 , 	14 , 	110 , 	21 , 	19 , 	24 , 	26 , 	17 , 	14 , 	34 , 	5 , 	5 , 	6 , 	4 , 	1 , 	3 , 	4 , 	4 , 	8 , 	2 , 	1 , 	5 , 	4 , 	66 , 	34 , 	66 , 	43 , 	24 , 	23 , 	5 , 	4 , 	4 , 	1 , 	1 , 	3 , 	1 , 	2 , 	1 , 	1 , 	27 , 	5 , 	2 , 	14 , 	2 , 	4 , 	8 , 	0 , 	2 , 	735 ,,,,,,,,,,,
NB, 	17 , 	15 , 	17 , 	10 , 	17 , 	11 , 	15 , 	24 , 	18 , 	7 , 	16 , 	35 , 	7 , 	4 , 	2 , 	4 , 	1 , 	3 , 	2 , 	3 , 	4 , 	2 , 	1 , 	3 , 	4 , 	76 , 	41 , 	80 , 	55 , 	40 , 	26 , 	7 , 	6 , 	5 , 	1 , 	0 , 	1 , 	2 , 	3 , 	1 , 	1 , 	34 , 	5 , 	1 , 	19 , 	3 , 	4 , 	7 , 	0 , 	1 , 	663 ,,,,,,,,,,,
BK, 	93 , 	103 , 	111 , 	30 , 	53 , 	41 , 	55 , 	70 , 	78 , 	27 , 	44 , 	43 , 	27 , 	17 , 	22 , 	18 , 	12 , 	18 , 	10 , 	11 , 	16 , 	11 , 	7 , 	7 , 	16 , 	183 , 	98 , 	215 , 	131 , 	90 , 	47 , 	26 , 	15 , 	17 , 	5 , 	5 , 	15 , 	3 , 	4 , 	5 , 	7 , 	77 , 	32 , 	5 , 	41 , 	16 , 	32 , 	52 , 	1 , 	4 ," 	2,066 ",,,,,,,,,,,
AS, 	19 , 	27 , 	19 , 	12 , 	35 , 	11 , 	16 , 	30 , 	28 , 	14 , 	20 , 	23 , 	10 , 	8 , 	4 , 	5 , 	3 , 	4 , 	3 , 	3 , 	4 , 	2 , 	2 , 	2 , 	9 , 	63 , 	37 , 	67 , 	58 , 	44 , 	37 , 	7 , 	5 , 	6 , 	1 , 	3 , 	3 , 	-   , 	2 , 	0 , 	2 , 	30 , 	4 , 	1 , 	13 , 	2 , 	4 , 	12 , 	0 , 	2 , 	716 ,,,,,,,,,,,
MA, 	25 , 	33 , 	20 , 	19 , 	57 , 	17 , 	25 , 	37 , 	25 , 	12 , 	36 , 	49 , 	20 , 	13 , 	12 , 	6 , 	1 , 	6 , 	19 , 	16 , 	20 , 	7 , 	7 , 	17 , 	11 , 	134 , 	72 , 	171 , 	129 , 	97 , 	64 , 	15 , 	14 , 	11 , 	4 , 	1 , 	6 , 	6 , 	12 , 	2 , 	4 , 	58 , 	11 , 	3 , 	25 , 	5 , 	6 , 	12 , 	6 , 	9 ," 	1,389 ",,,,,,,,,,,
19, 	26 , 	26 , 	19 , 	22 , 	68 , 	30 , 	26 , 	23 , 	6 , 	9 , 	21 , 	43 , 	20 , 	18 , 	18 , 	11 , 	6 , 	7 , 	13 , 	14 , 	21 , 	10 , 	10 , 	24 , 	16 , 	151 , 	104 , 	194 , 	142 , 	122 , 	83 , 	19 , 	17 , 	15 , 	5 , 	2 , 	6 , 	3 , 	7 , 	5 , 	9 , 	71 , 	12 , 	2 , 	20 , 	6 , 	8 , 	14 , 	2 , 	8 ," 	1,535 ",,,,,,,,,,,
12, 	21 , 	33 , 	27 , 	18 , 	75 , 	22 , 	25 , 	5 , 	23 , 	7 , 	16 , 	35 , 	18 , 	25 , 	17 , 	9 , 	3 , 	8 , 	14 , 	14 , 	20 , 	8 , 	9 , 	23 , 	18 , 	135 , 	76 , 	225 , 	113 , 	94 , 	52 , 	18 , 	16 , 	16 , 	12 , 	1 , 	4 , 	2 , 	8 , 	4 , 	9 , 	65 , 	12 , 	1 , 	17 , 	7 , 	14 , 	10 , 	2 , 	9 ," 	1,415 ",,,,,,,,,,,
LM, 	16 , 	16 , 	13 , 	9 , 	26 , 	16 , 	12 , 	7 , 	7 , 	18 , 	51 , 	86 , 	47 , 	47 , 	26 , 	17 , 	5 , 	12 , 	8 , 	4 , 	2 , 	2 , 	1 , 	3 , 	18 , 	120 , 	68 , 	169 , 	107 , 	84 , 	65 , 	17 , 	15 , 	14 , 	1 , 	22 , 	40 , 	1 , 	3 , 	2 , 	1 , 	12 , 	1 , 	14 , 	23 , 	10 , 	10 , 	16 , 	1 , 	1 ," 	1,283 ",,,,,,,,,,,
FV, 	28 , 	32 , 	18 , 	13 , 	51 , 	28 , 	32 , 	23 , 	19 , 	51 , 	22 , 	80 , 	46 , 	70 , 	44 , 	27 , 	6 , 	16 , 	11 , 	6 , 	8 , 	6 , 	4 , 	9 , 	29 , 	108 , 	56 , 	192 , 	112 , 	79 , 	67 , 	13 , 	14 , 	13 , 	3 , 	13 , 	30 , 	1 , 	5 , 	3 , 	3 , 	20 , 	3 , 	16 , 	10 , 	11 , 	10 , 	23 , 	2 , 	6 ," 	1,492 ",,,,,,,,,,,
CL, 	20 , 	48 , 	34 , 	36 , 	38 , 	30 , 	50 , 	39 , 	41 , 	70 , 	78 , 	24 , 	80 , 	62 , 	45 , 	51 , 	16 , 	30 , 	21 , 	27 , 	20 , 	18 , 	17 , 	34 , 	28 , 	106 , 	53 , 	157 , 	79 , 	53 , 	55 , 	25 , 	12 , 	21 , 	5 , 	31 , 	144 , 	13 , 	13 , 	5 , 	4 , 	13 , 	8 , 	58 , 	49 , 	20 , 	22 , 	36 , 	7 , 	17 ," 	1,963 ",,,,,,,,,,,
SL, 	11 , 	11 , 	3 , 	8 , 	23 , 	7 , 	22 , 	20 , 	23 , 	52 , 	47 , 	80 , 	13 , 	33 , 	31 , 	17 , 	6 , 	13 , 	2 , 	3 , 	5 , 	1 , 	1 , 	5 , 	11 , 	93 , 	57 , 	115 , 	58 , 	37 , 	31 , 	3 , 	12 , 	5 , 	2 , 	15 , 	20 , 	2 , 	3 , 	1 , 	3 , 	17 , 	1 , 	15 , 	6 , 	8 , 	5 , 	14 , 	1 , 	2 , 	974 ,,,,,,,,,,,
BF, 	8 , 	8 , 	3 , 	4 , 	23 , 	9 , 	18 , 	20 , 	26 , 	46 , 	81 , 	68 , 	35 , 	15 , 	31 , 	21 , 	9 , 	12 , 	9 , 	3 , 	6 , 	1 , 	1 , 	1 , 	10 , 	97 , 	59 , 	136 , 	51 , 	30 , 	27 , 	6 , 	8 , 	8 , 	2 , 	10 , 	30 , 	1 , 	5 , 	-   , 	3 , 	13 , 	1 , 	19 , 	6 , 	13 , 	12 , 	12 , 	1 , 	4 ," 	1,020 ",,,,,,,,,,,
HY, 	9 , 	11 , 	4 , 	5 , 	24 , 	5 , 	11 , 	17 , 	19 , 	21 , 	46 , 	46 , 	29 , 	27 , 	18 , 	22 , 	9 , 	20 , 	6 , 	3 , 	4 , 	1 , 	1 , 	3 , 	10 , 	45 , 	23 , 	50 , 	20 , 	25 , 	17 , 	3 , 	3 , 	6 , 	1 , 	8 , 	12 , 	0 , 	2 , 	2 , 	2 , 	6 , 	1 , 	6 , 	7 , 	15 , 	12 , 	17 , 	1 , 	3 , 	658 ,,,,,,,,,,,
SH, 	4 , 	8 , 	4 , 	5 , 	29 , 	5 , 	8 , 	13 , 	14 , 	15 , 	30 , 	46 , 	20 , 	21 , 	21 , 	7 , 	4 , 	13 , 	3 , 	2 , 	4 , 	1 , 	0 , 	3 , 	2 , 	64 , 	23 , 	64 , 	29 , 	27 , 	21 , 	5 , 	6 , 	7 , 	1 , 	5 , 	7 , 	0 , 	3 , 	1 , 	1 , 	10 , 	1 , 	8 , 	8 , 	8 , 	9 , 	10 , 	-   , 	2 , 	602 ,,,,,,,,,,,
