Exit stations,Entry stations->,,SUNDAY,,,Jun 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
RM, 	14 , 	29 , 	29 , 	13 , 	91 , 	14 , 	23 , 	17 , 	16 , 	12 , 	25 , 	17 , 	9 , 	7 , 	6 , 	2 , 	1 , 	4 , 	6 , 	3 , 	3 , 	4 , 	2 , 	5 , 	4 , 	87 , 	45 , 	138 , 	80 , 	44 , 	33 , 	8 , 	9 , 	8 , 	4 , 	2 , 	5 , 	1 , 	1 , 	3 , 	9 , 	29 , 	6 , 	1 , 	3 , 	7 , 	3 , 	6 , 	3 , 	5 , 	893 ,,,,,,,,,,,
EN, 	33 , 	16 , 	22 , 	14 , 	100 , 	32 , 	41 , 	34 , 	36 , 	16 , 	32 , 	38 , 	11 , 	8 , 	13 , 	6 , 	3 , 	7 , 	8 , 	3 , 	8 , 	4 , 	1 , 	7 , 	9 , 	123 , 	77 , 	229 , 	156 , 	60 , 	32 , 	9 , 	12 , 	10 , 	6 , 	3 , 	3 , 	1 , 	4 , 	3 , 	5 , 	39 , 	9 , 	4 , 	24 , 	7 , 	7 , 	11 , 	2 , 	4 ," 	1,338 ",,,,,,,,,,,
EP, 	28 , 	19 , 	10 , 	13 , 	97 , 	26 , 	23 , 	23 , 	20 , 	13 , 	14 , 	22 , 	5 , 	2 , 	2 , 	3 , 	2 , 	5 , 	4 , 	2 , 	6 , 	3 , 	1 , 	6 , 	4 , 	93 , 	44 , 	94 , 	109 , 	26 , 	15 , 	8 , 	7 , 	4 , 	2 , 	1 , 	3 , 	-   , 	3 , 	2 , 	1 , 	26 , 	3 , 	2 , 	14 , 	1 , 	4 , 	5 , 	0 , 	1 , 	815 ,,,,,,,,,,,
NB, 	13 , 	16 , 	14 , 	11 , 	27 , 	17 , 	16 , 	25 , 	21 , 	12 , 	15 , 	20 , 	9 , 	1 , 	2 , 	3 , 	2 , 	2 , 	3 , 	4 , 	4 , 	1 , 	1 , 	2 , 	7 , 	101 , 	57 , 	120 , 	136 , 	57 , 	28 , 	7 , 	5 , 	4 , 	1 , 	2 , 	2 , 	1 , 	1 , 	2 , 	2 , 	43 , 	8 , 	-   , 	22 , 	3 , 	5 , 	8 , 	1 , 	0 , 	858 ,,,,,,,,,,,
BK, 	86 , 	105 , 	96 , 	27 , 	39 , 	53 , 	57 , 	59 , 	74 , 	35 , 	38 , 	38 , 	26 , 	21 , 	20 , 	17 , 	12 , 	28 , 	9 , 	9 , 	15 , 	8 , 	6 , 	7 , 	19 , 	280 , 	146 , 	344 , 	289 , 	122 , 	60 , 	31 , 	14 , 	21 , 	6 , 	5 , 	22 , 	2 , 	3 , 	5 , 	7 , 	102 , 	30 , 	9 , 	50 , 	20 , 	37 , 	61 , 	3 , 	5 ," 	2,571 ",,,,,,,,,,,
AS, 	20 , 	31 , 	23 , 	16 , 	41 , 	13 , 	23 , 	33 , 	29 , 	19 , 	26 , 	17 , 	14 , 	10 , 	7 , 	6 , 	4 , 	4 , 	4 , 	4 , 	4 , 	4 , 	0 , 	3 , 	13 , 	74 , 	51 , 	106 , 	136 , 	77 , 	35 , 	9 , 	8 , 	5 , 	1 , 	1 , 	9 , 	2 , 	4 , 	1 , 	2 , 	28 , 	6 , 	1 , 	18 , 	2 , 	4 , 	12 , 	2 , 	1 , 	958 ,,,,,,,,,,,
MA, 	30 , 	35 , 	25 , 	17 , 	58 , 	22 , 	23 , 	26 , 	29 , 	16 , 	30 , 	34 , 	20 , 	15 , 	14 , 	6 , 	6 , 	7 , 	21 , 	11 , 	19 , 	7 , 	8 , 	16 , 	16 , 	186 , 	104 , 	214 , 	249 , 	125 , 	53 , 	14 , 	15 , 	9 , 	5 , 	2 , 	8 , 	4 , 	11 , 	1 , 	5 , 	59 , 	7 , 	3 , 	24 , 	5 , 	11 , 	11 , 	4 , 	9 ," 	1,643 ",,,,,,,,,,,
19, 	20 , 	29 , 	23 , 	22 , 	61 , 	34 , 	28 , 	25 , 	7 , 	9 , 	20 , 	30 , 	16 , 	21 , 	13 , 	12 , 	6 , 	10 , 	11 , 	15 , 	17 , 	6 , 	7 , 	25 , 	19 , 	159 , 	84 , 	219 , 	220 , 	117 , 	66 , 	19 , 	16 , 	15 , 	7 , 	3 , 	8 , 	4 , 	4 , 	4 , 	6 , 	69 , 	10 , 	2 , 	24 , 	7 , 	6 , 	14 , 	3 , 	6 ," 	1,569 ",,,,,,,,,,,
12, 	23 , 	31 , 	21 , 	21 , 	68 , 	24 , 	31 , 	3 , 	30 , 	8 , 	17 , 	22 , 	19 , 	22 , 	20 , 	10 , 	6 , 	8 , 	14 , 	14 , 	16 , 	7 , 	5 , 	24 , 	21 , 	175 , 	99 , 	255 , 	198 , 	101 , 	55 , 	20 , 	21 , 	15 , 	7 , 	2 , 	8 , 	3 , 	9 , 	5 , 	14 , 	61 , 	12 , 	2 , 	16 , 	6 , 	12 , 	14 , 	2 , 	8 ," 	1,601 ",,,,,,,,,,,
LM, 	18 , 	17 , 	14 , 	11 , 	24 , 	28 , 	17 , 	8 , 	4 , 	24 , 	55 , 	66 , 	46 , 	50 , 	28 , 	14 , 	12 , 	17 , 	5 , 	3 , 	3 , 	3 , 	1 , 	4 , 	15 , 	127 , 	73 , 	191 , 	163 , 	86 , 	55 , 	14 , 	15 , 	13 , 	2 , 	20 , 	43 , 	1 , 	5 , 	1 , 	3 , 	12 , 	3 , 	14 , 	27 , 	8 , 	15 , 	17 , 	1 , 	2 ," 	1,393 ",,,,,,,,,,,
FV, 	28 , 	35 , 	11 , 	14 , 	43 , 	26 , 	28 , 	25 , 	19 , 	48 , 	20 , 	64 , 	46 , 	64 , 	43 , 	25 , 	15 , 	19 , 	10 , 	6 , 	8 , 	6 , 	4 , 	9 , 	34 , 	129 , 	72 , 	221 , 	198 , 	74 , 	44 , 	14 , 	13 , 	15 , 	2 , 	11 , 	29 , 	1 , 	4 , 	2 , 	6 , 	25 , 	3 , 	20 , 	11 , 	14 , 	12 , 	22 , 	1 , 	6 ," 	1,594 ",,,,,,,,,,,
