Exit stations,Entry stations->,,WEEKDAY,,,Jun 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	13 , 	57 , 	51 , 	31 , 	203 , 	40 , 	64 , 	50 , 	59 , 	20 , 	49 , 	35 , 	20 , 	11 , 	18 , 	9 , 	8 , 	7 , 	9 , 	7 , 	12 , 	6 , 	6 , 	11 , 	17 , 	195 , 	142 , 	236 , 	143 , 	100 , 	98 , 	23 , 	25 , 	19 , 	11 , 	2 , 	5 , 	3 , 	5 , 	9 , 	13 , 	38 , 	10 , 	4 , 	8 , 	12 , 	4 , 	6 , 	7 , 	6 ," 	1,933 ",,,,,,,,,,,,,
EN, 	68 , 	20 , 	45 , 	40 , 	296 , 	57 , 	101 , 	110 , 	158 , 	33 , 	63 , 	54 , 	23 , 	22 , 	24 , 	9 , 	13 , 	17 , 	15 , 	9 , 	14 , 	6 , 	6 , 	14 , 	18 , 	406 , 	323 , 	408 , 	289 , 	126 , 	105 , 	33 , 	35 , 	30 , 	12 , 	4 , 	8 , 	5 , 	7 , 	11 , 	17 , 	61 , 	22 , 	4 , 	22 , 	15 , 	9 , 	11 , 	3 , 	9 ," 	3,209 ",,,,,,,,,,,,,
EP, 	52 , 	48 , 	11 , 	27 , 	231 , 	34 , 	52 , 	64 , 	84 , 	22 , 	21 , 	16 , 	17 , 	9 , 	8 , 	6 , 	5 , 	6 , 	11 , 	6 , 	10 , 	4 , 	2 , 	15 , 	7 , 	211 , 	173 , 	138 , 	136 , 	53 , 	34 , 	14 , 	10 , 	10 , 	3 , 	3 , 	6 , 	1 , 	4 , 	3 , 	3 , 	37 , 	9 , 	3 , 	14 , 	7 , 	5 , 	6 , 	2 , 	2 ," 	1,655 ",,,,,,,,,,,,,
NB, 	38 , 	34 , 	28 , 	11 , 	51 , 	20 , 	37 , 	57 , 	63 , 	18 , 	35 , 	21 , 	16 , 	7 , 	8 , 	5 , 	5 , 	8 , 	6 , 	6 , 	7 , 	2 , 	3 , 	5 , 	7 , 	208 , 	146 , 	117 , 	138 , 	54 , 	40 , 	12 , 	8 , 	9 , 	2 , 	2 , 	7 , 	3 , 	5 , 	3 , 	3 , 	53 , 	9 , 	1 , 	17 , 	6 , 	6 , 	6 , 	1 , 	4 ," 	1,355 ",,,,,,,,,,,,,
BK, 	224 , 	308 , 	243 , 	60 , 	38 , 	108 , 	127 , 	152 , 	180 , 	63 , 	115 , 	67 , 	83 , 	48 , 	47 , 	27 , 	59 , 	56 , 	36 , 	32 , 	41 , 	23 , 	14 , 	12 , 	36 , 	433 , 	272 , 	300 , 	240 , 	130 , 	105 , 	54 , 	33 , 	32 , 	12 , 	16 , 	47 , 	10 , 	25 , 	11 , 	17 , 	90 , 	48 , 	16 , 	43 , 	44 , 	46 , 	54 , 	8 , 	22 ," 	4,306 ",,,,,,,,,,,,,
AS, 	46 , 	52 , 	34 , 	20 , 	100 , 	11 , 	39 , 	69 , 	63 , 	24 , 	48 , 	27 , 	22 , 	15 , 	15 , 	9 , 	10 , 	11 , 	7 , 	7 , 	9 , 	4 , 	2 , 	3 , 	16 , 	203 , 	157 , 	128 , 	154 , 	71 , 	40 , 	13 , 	13 , 	7 , 	2 , 	2 , 	8 , 	1 , 	4 , 	3 , 	8 , 	30 , 	7 , 	2 , 	16 , 	9 , 	9 , 	9 , 	1 , 	6 ," 	1,562 ",,,,,,,,,,,,,
MA, 	76 , 	97 , 	50 , 	36 , 	121 , 	43 , 	22 , 	57 , 	84 , 	24 , 	83 , 	71 , 	52 , 	31 , 	34 , 	20 , 	25 , 	28 , 	46 , 	44 , 	49 , 	18 , 	17 , 	25 , 	28 , 	372 , 	281 , 	290 , 	249 , 	150 , 	86 , 	29 , 	29 , 	21 , 	10 , 	5 , 	20 , 	10 , 	42 , 	8 , 	5 , 	60 , 	19 , 	7 , 	19 , 	17 , 	16 , 	20 , 	22 , 	52 ," 	3,019 ",,,,,,,,,,,,,
19, 	51 , 	106 , 	60 , 	61 , 	153 , 	66 , 	62 , 	27 , 	14 , 	10 , 	57 , 	60 , 	58 , 	44 , 	46 , 	29 , 	36 , 	40 , 	54 , 	56 , 	61 , 	31 , 	28 , 	47 , 	31 , 	435 , 	326 , 	295 , 	287 , 	156 , 	105 , 	39 , 	33 , 	28 , 	15 , 	10 , 	25 , 	13 , 	38 , 	14 , 	14 , 	55 , 	24 , 	9 , 	20 , 	22 , 	21 , 	17 , 	11 , 	39 ," 	3,343 ",,,,,,,,,,,,,
12, 	65 , 	155 , 	79 , 	61 , 	167 , 	64 , 	83 , 	12 , 	27 , 	13 , 	55 , 	73 , 	102 , 	84 , 	76 , 	40 , 	58 , 	42 , 	74 , 	76 , 	80 , 	33 , 	29 , 	56 , 	33 , 	420 , 	303 , 	357 , 	259 , 	124 , 	94 , 	49 , 	53 , 	61 , 	27 , 	14 , 	34 , 	23 , 	52 , 	20 , 	23 , 	68 , 	30 , 	12 , 	22 , 	24 , 	23 , 	33 , 	23 , 	70 ," 	3,854 ",,,,,,,,,,,,,
LM, 	21 , 	32 , 	20 , 	16 , 	62 , 	22 , 	24 , 	10 , 	12 , 	17 , 	62 , 	84 , 	127 , 	96 , 	57 , 	53 , 	39 , 	40 , 	11 , 	8 , 	9 , 	3 , 	2 , 	6 , 	13 , 	344 , 	267 , 	262 , 	226 , 	104 , 	68 , 	29 , 	27 , 	21 , 	3 , 	61 , 	84 , 	5 , 	7 , 	6 , 	5 , 	16 , 	3 , 	36 , 	18 , 	29 , 	19 , 	20 , 	3 , 	14 ," 	2,523 ",,,,,,,,,,,,,
FV, 	48 , 	58 , 	23 , 	30 , 	118 , 	47 , 	73 , 	58 , 	59 , 	63 , 	19 , 	123 , 	130 , 	116 , 	98 , 	51 , 	46 , 	52 , 	14 , 	9 , 	16 , 	11 , 	13 , 	24 , 	61 , 	355 , 	265 , 	369 , 	327 , 	130 , 	110 , 	25 , 	37 , 	29 , 	7 , 	27 , 	75 , 	4 , 	11 , 	8 , 	15 , 	31 , 	9 , 	34 , 	9 , 	42 , 	19 , 	21 , 	5 , 	17 ," 	3,340 ",,,,,,,,,,,,,
CL, 	34 , 	52 , 	19 , 	23 , 	65 , 	30 , 	76 , 	64 , 	82 , 	78 , 	126 , 	17 , 	74 , 	80 , 	81 , 	33 , 	33 , 	35 , 	18 , 	17 , 	16 , 	9 , 	8 , 	18 , 	57 , 	214 , 	140 , 	199 , 	151 , 	64 , 	63 , 	22 , 	25 , 	22 , 	5 , 	24 , 	76 , 	5 , 	14 , 	6 , 	10 , 	16 , 	8 , 	26 , 	19 , 	37 , 	19 , 	24 , 	11 , 	20 ," 	2,364 ",,,,,,,,,,,,,
SL, 	21 , 	22 , 	15 , 	19 , 	83 , 	23 , 	55 , 	61 , 	110 , 	129 , 	135 , 	78 , 	15 , 	65 , 	81 , 	51 , 	42 , 	45 , 	15 , 	9 , 	11 , 	2 , 	4 , 	8 , 	27 , 	315 , 	277 , 	290 , 	204 , 	73 , 	57 , 	22 , 	30 , 	24 , 	7 , 	30 , 	59 , 	3 , 	9 , 	5 , 	5 , 	23 , 	4 , 	23 , 	7 , 	38 , 	17 , 	18 , 	5 , 	13 ," 	2,678 ",,,,,,,,,,,,,
BF, 	10 , 	19 , 	6 , 	8 , 	48 , 	15 , 	38 , 	49 , 	85 , 	100 , 	118 , 	80 , 	76 , 	15 , 	47 , 	39 , 	42 , 	47 , 	12 , 	5 , 	7 , 	2 , 	4 , 	8 , 	20 , 	251 , 	223 , 	274 , 	175 , 	64 , 	35 , 	14 , 	27 , 	15 , 	5 , 	19 , 	56 , 	1 , 	6 , 	4 , 	7 , 	15 , 	5 , 	35 , 	7 , 	39 , 	21 , 	15 , 	3 , 	3 ," 	2,217 ",,,,,,,,,,,,,
HY, 	16 , 	24 , 	9 , 	8 , 	47 , 	14 , 	34 , 	47 , 	76 , 	50 , 	95 , 	82 , 	81 , 	49 , 	13 , 	55 , 	84 , 	96 , 	10 , 	6 , 	8 , 	1 , 	2 , 	5 , 	20 , 	169 , 	114 , 	126 , 	97 , 	40 , 	24 , 	9 , 	13 , 	12 , 	2 , 	10 , 	29 , 	2 , 	10 , 	3 , 	8 , 	8 , 	3 , 	14 , 	5 , 	61 , 	29 , 	26 , 	3 , 	8 ," 	1,759 ",,,,,,,,,,,,,
SH, 	10 , 	8 , 	4 , 	5 , 	27 , 	8 , 	21 , 	30 , 	39 , 	49 , 	48 , 	31 , 	43 , 	38 , 	47 , 	8 , 	30 , 	49 , 	5 , 	1 , 	5 , 	1 , 	3 , 	2 , 	11 , 	141 , 	100 , 	104 , 	84 , 	24 , 	25 , 	8 , 	7 , 	6 , 	3 , 	7 , 	13 , 	1 , 	5 , 	2 , 	2 , 	9 , 	4 , 	11 , 	5 , 	56 , 	21 , 	21 , 	1 , 	4 ," 	1,189 ",,,,,,,,,,,,,
UC, 	7 , 	12 , 	7 , 	5 , 	60 , 	10 , 	28 , 	36 , 	61 , 	41 , 	52 , 	34 , 	40 , 	41 , 	85 , 	27 , 	17 , 	50 , 	9 , 	2 , 	8 , 	1 , 	1 , 	5 , 	8 , 	190 , 	139 , 	120 , 	91 , 	32 , 	18 , 	8 , 	8 , 	13 , 	4 , 	8 , 	25 , 	0 , 	3 , 	1 , 	1 , 	12 , 	1 , 	11 , 	10 , 	58 , 	40 , 	30 , 	3 , 	7 ," 	1,481 ",,,,,,,,,,,,,
