Exit stations,Entry stations->,,SATURDAY,,,Jul 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
RM, 	12 , 	34 , 	35 , 	19 , 	122 , 	24 , 	34 , 	20 , 	32 , 	10 , 	31 , 	28 , 	9 , 	5 , 	6 , 	6 , 	2 , 	4 , 	7 , 	6 , 	8 , 	4 , 	3 , 	4 , 	11 , 	87 , 	60 , 	151 , 	58 , 	52 , 	69 , 	9 , 	15 , 	12 , 	5 , 	2 , 	4 , 	0 , 	3 , 	6 , 	7 , 	28 , 	8 , 	0 , 	5 , 	6 , 	4 , 	8 , 	2 , 	4 ," 	1,082 ",,,,,,,,,,
EN, 	41 , 	17 , 	30 , 	24 , 	145 , 	36 , 	46 , 	45 , 	60 , 	13 , 	39 , 	33 , 	15 , 	13 , 	15 , 	10 , 	8 , 	6 , 	10 , 	4 , 	10 , 	4 , 	2 , 	7 , 	13 , 	157 , 	95 , 	246 , 	76 , 	61 , 	59 , 	14 , 	18 , 	20 , 	9 , 	1 , 	4 , 	1 , 	5 , 	4 , 	9 , 	44 , 	9 , 	2 , 	12 , 	10 , 	6 , 	14 , 	2 , 	5 ," 	1,525 ",,,,,,,,,,
EP, 	40 , 	30 , 	12 , 	24 , 	130 , 	26 , 	30 , 	36 , 	35 , 	16 , 	10 , 	13 , 	5 , 	4 , 	7 , 	7 , 	1 , 	4 , 	8 , 	4 , 	8 , 	0 , 	2 , 	7 , 	5 , 	102 , 	58 , 	98 , 	48 , 	35 , 	24 , 	10 , 	4 , 	6 , 	2 , 	3 , 	4 , 	1 , 	2 , 	2 , 	4 , 	32 , 	4 , 	3 , 	10 , 	2 , 	3 , 	4 , 	1 , 	2 , 	929 ,,,,,,,,,,
NB, 	18 , 	24 , 	22 , 	14 , 	32 , 	11 , 	23 , 	34 , 	26 , 	12 , 	21 , 	16 , 	10 , 	3 , 	3 , 	5 , 	3 , 	7 , 	3 , 	3 , 	7 , 	3 , 	3 , 	4 , 	5 , 	115 , 	61 , 	96 , 	72 , 	49 , 	32 , 	11 , 	9 , 	7 , 	2 , 	1 , 	3 , 	2 , 	2 , 	2 , 	3 , 	40 , 	8 , 	0 , 	12 , 	1 , 	5 , 	8 , 	1 , 	2 , 	854 ,,,,,,,,,,
BK, 	129 , 	155 , 	136 , 	37 , 	73 , 	75 , 	82 , 	92 , 	114 , 	40 , 	59 , 	43 , 	36 , 	28 , 	24 , 	28 , 	15 , 	24 , 	13 , 	17 , 	19 , 	11 , 	7 , 	10 , 	24 , 	377 , 	187 , 	343 , 	204 , 	142 , 	106 , 	38 , 	29 , 	32 , 	11 , 	8 , 	34 , 	2 , 	7 , 	7 , 	8 , 	71 , 	51 , 	11 , 	31 , 	17 , 	43 , 	59 , 	4 , 	10 ," 	3,122 ",,,,,,,,,,
AS, 	24 , 	37 , 	30 , 	12 , 	53 , 	15 , 	22 , 	39 , 	35 , 	13 , 	29 , 	23 , 	9 , 	9 , 	10 , 	6 , 	2 , 	5 , 	4 , 	3 , 	4 , 	2 , 	1 , 	2 , 	15 , 	88 , 	55 , 	91 , 	76 , 	50 , 	38 , 	7 , 	7 , 	6 , 	1 , 	1 , 	5 , 	0 , 	2 , 	2 , 	3 , 	24 , 	5 , 	1 , 	7 , 	5 , 	6 , 	8 , 	0 , 	2 , 	896 ,,,,,,,,,,
MA, 	46 , 	47 , 	33 , 	30 , 	83 , 	27 , 	23 , 	35 , 	48 , 	16 , 	46 , 	49 , 	24 , 	18 , 	18 , 	8 , 	5 , 	10 , 	34 , 	19 , 	26 , 	12 , 	10 , 	26 , 	22 , 	205 , 	117 , 	231 , 	142 , 	133 , 	85 , 	21 , 	18 , 	16 , 	4 , 	2 , 	7 , 	3 , 	17 , 	4 , 	4 , 	46 , 	13 , 	2 , 	9 , 	7 , 	13 , 	11 , 	5 , 	15 ," 	1,845 ",,,,,,,,,,
19, 	21 , 	43 , 	39 , 	33 , 	91 , 	40 , 	36 , 	29 , 	10 , 	5 , 	32 , 	40 , 	23 , 	20 , 	26 , 	15 , 	7 , 	10 , 	17 , 	17 , 	27 , 	13 , 	10 , 	32 , 	24 , 	194 , 	124 , 	250 , 	163 , 	128 , 	82 , 	22 , 	19 , 	22 , 	6 , 	5 , 	8 , 	4 , 	8 , 	6 , 	6 , 	43 , 	14 , 	2 , 	10 , 	9 , 	10 , 	16 , 	7 , 	14 ," 	1,833 ",,,,,,,,,,
12, 	34 , 	57 , 	35 , 	27 , 	104 , 	33 , 	53 , 	8 , 	28 , 	8 , 	30 , 	40 , 	32 , 	34 , 	23 , 	13 , 	9 , 	9 , 	26 , 	25 , 	31 , 	12 , 	13 , 	42 , 	38 , 	232 , 	128 , 	302 , 	161 , 	121 , 	73 , 	24 , 	33 , 	22 , 	9 , 	5 , 	5 , 	6 , 	13 , 	8 , 	14 , 	53 , 	19 , 	2 , 	15 , 	5 , 	11 , 	14 , 	4 , 	13 ," 	2,052 ",,,,,,,,,,
LM, 	10 , 	12 , 	14 , 	15 , 	32 , 	14 , 	16 , 	9 , 	7 , 	19 , 	49 , 	70 , 	70 , 	69 , 	28 , 	20 , 	10 , 	10 , 	3 , 	2 , 	3 , 	2 , 	2 , 	5 , 	17 , 	138 , 	89 , 	188 , 	103 , 	83 , 	53 , 	20 , 	15 , 	14 , 	1 , 	24 , 	50 , 	0 , 	2 , 	1 , 	2 , 	10 , 	2 , 	17 , 	11 , 	13 , 	16 , 	24 , 	1 , 	2 ," 	1,387 ",,,,,,,,,,
FV, 	28 , 	40 , 	16 , 	19 , 	60 , 	26 , 	40 , 	35 , 	31 , 	32 , 	19 , 	77 , 	63 , 	83 , 	58 , 	29 , 	14 , 	20 , 	11 , 	6 , 	9 , 	5 , 	7 , 	18 , 	40 , 	154 , 	94 , 	240 , 	133 , 	79 , 	83 , 	16 , 	16 , 	22 , 	5 , 	20 , 	41 , 	2 , 	8 , 	4 , 	3 , 	20 , 	4 , 	20 , 	8 , 	24 , 	13 , 	22 , 	2 , 	7 ," 	1,824 ",,,,,,,,,,
