Exit stations,Entry stations->,,SUNDAY,,,Jul 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
RM, 	9 , 	31 , 	32 , 	9 , 	105 , 	15 , 	23 , 	16 , 	15 , 	19 , 	28 , 	22 , 	7 , 	7 , 	5 , 	4 , 	2 , 	2 , 	5 , 	2 , 	1 , 	3 , 	1 , 	8 , 	6 , 	76 , 	41 , 	106 , 	36 , 	36 , 	27 , 	7 , 	14 , 	11 , 	5 , 	1 , 	2 , 	0 , 	3 , 	2 , 	6 , 	27 , 	7 , 	0 , 	4 , 	5 , 	4 , 	7 , 	3 , 	1 , 	810 ,,,,,,,,,,,
EN, 	36 , 	12 , 	20 , 	16 , 	102 , 	25 , 	37 , 	21 , 	37 , 	15 , 	30 , 	26 , 	11 , 	10 , 	14 , 	4 , 	6 , 	7 , 	8 , 	2 , 	8 , 	3 , 	0 , 	7 , 	7 , 	96 , 	60 , 	179 , 	59 , 	42 , 	35 , 	10 , 	14 , 	9 , 	8 , 	2 , 	4 , 	1 , 	3 , 	2 , 	7 , 	42 , 	10 , 	3 , 	17 , 	6 , 	6 , 	8 , 	0 , 	3 ," 	1,089 ",,,,,,,,,,,
EP, 	33 , 	18 , 	8 , 	16 , 	98 , 	20 , 	28 , 	23 , 	27 , 	15 , 	12 , 	13 , 	5 , 	2 , 	4 , 	4 , 	1 , 	4 , 	3 , 	4 , 	6 , 	3 , 	1 , 	7 , 	5 , 	70 , 	40 , 	68 , 	34 , 	20 , 	16 , 	7 , 	4 , 	8 , 	1 , 	0 , 	2 , 	1 , 	2 , 	1 , 	3 , 	35 , 	4 , 	2 , 	15 , 	1 , 	3 , 	3 , 	1 , 	1 , 	701 ,,,,,,,,,,,
NB, 	12 , 	17 , 	18 , 	7 , 	27 , 	11 , 	17 , 	22 , 	16 , 	7 , 	16 , 	13 , 	7 , 	2 , 	4 , 	3 , 	3 , 	4 , 	5 , 	3 , 	5 , 	2 , 	2 , 	2 , 	4 , 	112 , 	57 , 	78 , 	58 , 	38 , 	26 , 	9 , 	7 , 	5 , 	1 , 	1 , 	1 , 	2 , 	2 , 	1 , 	1 , 	40 , 	6 , 	0 , 	15 , 	2 , 	3 , 	9 , 	0 , 	2 , 	705 ,,,,,,,,,,,
BK, 	100 , 	108 , 	108 , 	31 , 	36 , 	47 , 	62 , 	73 , 	67 , 	28 , 	47 , 	35 , 	24 , 	16 , 	15 , 	20 , 	12 , 	23 , 	6 , 	11 , 	15 , 	11 , 	7 , 	4 , 	17 , 	271 , 	159 , 	300 , 	172 , 	88 , 	72 , 	35 , 	24 , 	22 , 	5 , 	6 , 	19 , 	2 , 	3 , 	4 , 	9 , 	84 , 	41 , 	6 , 	39 , 	19 , 	47 , 	59 , 	1 , 	5 ," 	2,415 ",,,,,,,,,,,
AS, 	21 , 	25 , 	22 , 	11 , 	31 , 	10 , 	17 , 	29 , 	23 , 	16 , 	23 , 	15 , 	10 , 	8 , 	7 , 	4 , 	3 , 	2 , 	2 , 	3 , 	2 , 	3 , 	1 , 	2 , 	9 , 	78 , 	44 , 	71 , 	53 , 	43 , 	36 , 	7 , 	12 , 	7 , 	1 , 	0 , 	5 , 	1 , 	1 , 	1 , 	2 , 	24 , 	6 , 	1 , 	12 , 	2 , 	4 , 	12 , 	-   , 	1 , 	724 ,,,,,,,,,,,
MA, 	27 , 	42 , 	27 , 	23 , 	64 , 	23 , 	27 , 	32 , 	31 , 	17 , 	34 , 	32 , 	18 , 	13 , 	13 , 	8 , 	3 , 	10 , 	23 , 	17 , 	22 , 	12 , 	7 , 	18 , 	19 , 	164 , 	81 , 	192 , 	122 , 	108 , 	69 , 	19 , 	18 , 	11 , 	5 , 	1 , 	6 , 	4 , 	13 , 	3 , 	5 , 	59 , 	9 , 	4 , 	17 , 	4 , 	7 , 	15 , 	5 , 	11 ," 	1,516 ",,,,,,,,,,,
19, 	17 , 	22 , 	22 , 	26 , 	74 , 	32 , 	29 , 	15 , 	6 , 	6 , 	21 , 	32 , 	18 , 	20 , 	14 , 	10 , 	8 , 	7 , 	13 , 	13 , 	21 , 	7 , 	5 , 	20 , 	18 , 	149 , 	82 , 	171 , 	121 , 	99 , 	64 , 	19 , 	15 , 	14 , 	6 , 	2 , 	7 , 	3 , 	4 , 	1 , 	5 , 	50 , 	8 , 	1 , 	19 , 	4 , 	5 , 	13 , 	4 , 	5 ," 	1,346 ",,,,,,,,,,,
12, 	19 , 	38 , 	26 , 	18 , 	91 , 	21 , 	30 , 	6 , 	18 , 	6 , 	21 , 	30 , 	22 , 	19 , 	15 , 	10 , 	4 , 	7 , 	14 , 	15 , 	18 , 	6 , 	9 , 	25 , 	23 , 	170 , 	86 , 	230 , 	129 , 	89 , 	48 , 	22 , 	17 , 	12 , 	7 , 	1 , 	4 , 	2 , 	11 , 	7 , 	10 , 	66 , 	12 , 	1 , 	15 , 	5 , 	11 , 	9 , 	3 , 	11 ," 	1,490 ",,,,,,,,,,,
LM, 	22 , 	18 , 	15 , 	7 , 	25 , 	17 , 	19 , 	9 , 	7 , 	18 , 	57 , 	49 , 	55 , 	49 , 	25 , 	16 , 	9 , 	11 , 	3 , 	4 , 	5 , 	3 , 	1 , 	3 , 	17 , 	107 , 	58 , 	156 , 	89 , 	69 , 	48 , 	19 , 	19 , 	14 , 	1 , 	24 , 	37 , 	-   , 	3 , 	2 , 	2 , 	13 , 	1 , 	15 , 	21 , 	9 , 	10 , 	19 , 	0 , 	1 ," 	1,203 ",,,,,,,,,,,
FV, 	30 , 	33 , 	14 , 	14 , 	42 , 	21 , 	33 , 	26 , 	22 , 	50 , 	12 , 	60 , 	55 , 	71 , 	39 , 	23 , 	10 , 	17 , 	8 , 	3 , 	7 , 	5 , 	4 , 	13 , 	28 , 	116 , 	64 , 	175 , 	97 , 	59 , 	49 , 	15 , 	12 , 	13 , 	3 , 	12 , 	28 , 	2 , 	6 , 	2 , 	5 , 	26 , 	3 , 	18 , 	9 , 	10 , 	12 , 	24 , 	3 , 	3 ," 	1,406 ",,,,,,,,,,,
CL, 	19 , 	26 , 	13 , 	14 , 	30 , 	13 , 	32 , 	29 , 	30 , 	51 , 	54 , 	10 , 	47 , 	47 , 	35 , 	22 , 	16 , 	24 , 	12 , 	11 , 	14 , 	10 , 	7 , 	10 , 	23 , 	66 , 	48 , 	129 , 	57 , 	31 , 	34 , 	14 , 	9 , 	9 , 	2 , 	21 , 	81 , 	6 , 	9 , 	2 , 	2 , 	14 , 	3 , 	28 , 	32 , 	23 , 	23 , 	26 , 	3 , 	8 ," 	1,278 ",,,,,,,,,,,
