Exit stations,Entry stations->,,SUNDAY,,,Oct 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
RM, 	18 , 	32 , 	39 , 	20 , 	116 , 	18 , 	27 , 	17 , 	21 , 	19 , 	44 , 	15 , 	8 , 	6 , 	8 , 	4 , 	1 , 	3 , 	4 , 	4 , 	7 , 	2 , 	1 , 	5 , 	9 , 	85 , 	44 , 	126 , 	51 , 	42 , 	45 , 	9 , 	9 , 	13 , 	7 , 	2 , 	3 , 	0 , 	3 , 	6 , 	6 , 	30 , 	9 , 	0 , 	8 , 	6 , 	5 , 	9 , 	4 , 	4 , 	973 ,,,,,,,,,,,
EN, 	34 , 	17 , 	20 , 	16 , 	111 , 	31 , 	35 , 	36 , 	37 , 	20 , 	53 , 	18 , 	11 , 	10 , 	9 , 	5 , 	8 , 	6 , 	7 , 	4 , 	10 , 	5 , 	2 , 	6 , 	7 , 	134 , 	73 , 	196 , 	80 , 	45 , 	37 , 	9 , 	15 , 	14 , 	9 , 	1 , 	5 , 	1 , 	4 , 	2 , 	8 , 	53 , 	12 , 	2 , 	18 , 	8 , 	11 , 	13 , 	1 , 	5 ," 	1,273 ",,,,,,,,,,,
EP, 	37 , 	19 , 	9 , 	17 , 	105 , 	24 , 	22 , 	25 , 	24 , 	10 , 	24 , 	7 , 	7 , 	4 , 	5 , 	2 , 	2 , 	3 , 	3 , 	5 , 	8 , 	4 , 	2 , 	2 , 	3 , 	77 , 	44 , 	94 , 	59 , 	22 , 	16 , 	10 , 	4 , 	4 , 	1 , 	-   , 	3 , 	0 , 	2 , 	2 , 	1 , 	35 , 	4 , 	3 , 	13 , 	1 , 	4 , 	4 , 	1 , 	1 , 	778 ,,,,,,,,,,,
NB, 	23 , 	18 , 	16 , 	10 , 	26 , 	14 , 	22 , 	27 , 	17 , 	11 , 	26 , 	3 , 	9 , 	4 , 	3 , 	2 , 	2 , 	7 , 	4 , 	2 , 	6 , 	4 , 	3 , 	3 , 	4 , 	104 , 	67 , 	106 , 	96 , 	37 , 	32 , 	11 , 	8 , 	7 , 	2 , 	2 , 	4 , 	1 , 	2 , 	1 , 	1 , 	47 , 	9 , 	1 , 	15 , 	2 , 	11 , 	11 , 	1 , 	2 , 	845 ,,,,,,,,,,,
BK, 	121 , 	122 , 	111 , 	34 , 	38 , 	47 , 	66 , 	80 , 	85 , 	29 , 	63 , 	25 , 	21 , 	20 , 	25 , 	14 , 	22 , 	25 , 	5 , 	16 , 	15 , 	11 , 	12 , 	7 , 	20 , 	267 , 	151 , 	303 , 	200 , 	112 , 	77 , 	34 , 	26 , 	28 , 	6 , 	7 , 	22 , 	3 , 	3 , 	8 , 	7 , 	97 , 	48 , 	5 , 	45 , 	23 , 	60 , 	87 , 	4 , 	4 ," 	2,661 ",,,,,,,,,,,
AS, 	21 , 	30 , 	21 , 	13 , 	44 , 	10 , 	21 , 	30 , 	28 , 	14 , 	46 , 	8 , 	12 , 	6 , 	8 , 	2 , 	4 , 	5 , 	2 , 	3 , 	3 , 	2 , 	1 , 	4 , 	10 , 	87 , 	58 , 	97 , 	85 , 	59 , 	35 , 	10 , 	10 , 	5 , 	2 , 	1 , 	4 , 	0 , 	1 , 	1 , 	2 , 	36 , 	8 , 	1 , 	15 , 	2 , 	9 , 	12 , 	2 , 	1 , 	893 ,,,,,,,,,,,
MA, 	37 , 	38 , 	21 , 	24 , 	60 , 	24 , 	22 , 	27 , 	30 , 	16 , 	58 , 	19 , 	15 , 	12 , 	13 , 	4 , 	7 , 	9 , 	10 , 	22 , 	21 , 	12 , 	6 , 	19 , 	13 , 	163 , 	96 , 	176 , 	146 , 	93 , 	62 , 	18 , 	15 , 	11 , 	4 , 	1 , 	3 , 	2 , 	11 , 	2 , 	4 , 	71 , 	9 , 	3 , 	19 , 	6 , 	9 , 	16 , 	6 , 	10 ," 	1,494 ",,,,,,,,,,,
19, 	20 , 	30 , 	25 , 	28 , 	80 , 	27 , 	28 , 	19 , 	6 , 	7 , 	33 , 	15 , 	19 , 	19 , 	16 , 	8 , 	7 , 	9 , 	9 , 	14 , 	27 , 	9 , 	9 , 	29 , 	15 , 	155 , 	96 , 	170 , 	142 , 	104 , 	67 , 	23 , 	13 , 	18 , 	5 , 	1 , 	5 , 	3 , 	6 , 	2 , 	6 , 	73 , 	11 , 	3 , 	20 , 	3 , 	12 , 	18 , 	2 , 	7 ," 	1,472 ",,,,,,,,,,,
12, 	25 , 	30 , 	22 , 	20 , 	78 , 	25 , 	27 , 	6 , 	18 , 	4 , 	28 , 	20 , 	20 , 	21 , 	17 , 	9 , 	8 , 	11 , 	6 , 	18 , 	20 , 	6 , 	5 , 	20 , 	16 , 	166 , 	98 , 	205 , 	121 , 	80 , 	51 , 	17 , 	17 , 	17 , 	7 , 	1 , 	3 , 	3 , 	9 , 	6 , 	8 , 	69 , 	12 , 	2 , 	10 , 	6 , 	10 , 	11 , 	3 , 	7 ," 	1,417 ",,,,,,,,,,,
LM, 	19 , 	17 , 	11 , 	9 , 	26 , 	14 , 	13 , 	7 , 	7 , 	11 , 	97 , 	33 , 	54 , 	58 , 	29 , 	14 , 	18 , 	13 , 	3 , 	4 , 	4 , 	3 , 	2 , 	4 , 	14 , 	124 , 	80 , 	161 , 	110 , 	74 , 	60 , 	21 , 	18 , 	14 , 	2 , 	17 , 	37 , 	1 , 	2 , 	2 , 	3 , 	15 , 	3 , 	16 , 	13 , 	11 , 	15 , 	20 , 	0 , 	1 ," 	1,307 ",,,,,,,,,,,
FV, 	43 , 	53 , 	27 , 	24 , 	71 , 	47 , 	50 , 	41 , 	30 , 	83 , 	24 , 	66 , 	111 , 	102 , 	77 , 	45 , 	36 , 	29 , 	6 , 	15 , 	12 , 	10 , 	10 , 	25 , 	43 , 	132 , 	71 , 	210 , 	122 , 	76 , 	64 , 	17 , 	16 , 	25 , 	5 , 	33 , 	32 , 	2 , 	10 , 	5 , 	5 , 	22 , 	5 , 	22 , 	8 , 	16 , 	19 , 	31 , 	2 , 	10 ," 	2,040 ",,,,,,,,,,,
CL, 	13 , 	15 , 	6 , 	5 , 	23 , 	8 , 	24 , 	16 , 	21 , 	29 , 	66 , 	11 , 	26 , 	40 , 	32 , 	20 , 	10 , 	9 , 	3 , 	6 , 	5 , 	3 , 	2 , 	3 , 	19 , 	81 , 	36 , 	94 , 	42 , 	25 , 	30 , 	8 , 	10 , 	8 , 	2 , 	9 , 	21 , 	2 , 	6 , 	3 , 	4 , 	10 , 	3 , 	9 , 	30 , 	15 , 	5 , 	16 , 	3 , 	4 , 	888 ,,,,,,,,,,,
SL, 	9 , 	11 , 	4 , 	6 , 	25 , 	10 , 	18 , 	23 , 	23 , 	51 , 	113 , 	30 , 	16 , 	45 , 	38 , 	14 , 	16 , 	16 , 	3 , 	4 , 	4 , 	2 , 	0 , 	6 , 	12 , 	116 , 	58 , 	153 , 	62 , 	25 , 	27 , 	4 , 	10 , 	12 , 	1 , 	13 , 	22 , 	2 , 	3 , 	2 , 	2 , 	21 , 	3 , 	15 , 	6 , 	11 , 	18 , 	16 , 	2 , 	2 ," 	1,108 ",,,,,,,,,,,
BF, 	8 , 	8 , 	3 , 	5 , 	20 , 	7 , 	19 , 	24 , 	26 , 	48 , 	105 , 	42 , 	45 , 	15 , 	41 , 	17 , 	20 , 	17 , 	5 , 	4 , 	4 , 	0 , 	1 , 	3 , 	9 , 	97 , 	57 , 	147 , 	53 , 	24 , 	17 , 	8 , 	12 , 	7 , 	2 , 	16 , 	36 , 	0 , 	3 , 	2 , 	3 , 	12 , 	2 , 	22 , 	5 , 	13 , 	17 , 	16 , 	0 , 	5 ," 	1,073 ",,,,,,,,,,,
HY, 	7 , 	9 , 	4 , 	6 , 	23 , 	6 , 	13 , 	16 , 	23 , 	25 , 	72 , 	33 , 	37 , 	45 , 	18 , 	21 , 	34 , 	33 , 	3 , 	4 , 	3 , 	3 , 	0 , 	5 , 	6 , 	54 , 	27 , 	61 , 	33 , 	14 , 	11 , 	5 , 	4 , 	5 , 	2 , 	6 , 	14 , 	1 , 	4 , 	2 , 	1 , 	7 , 	1 , 	8 , 	6 , 	20 , 	26 , 	26 , 	0 , 	4 , 	791 ,,,,,,,,,,,
SH, 	4 , 	4 , 	2 , 	3 , 	10 , 	3 , 	4 , 	10 , 	12 , 	15 , 	46 , 	17 , 	13 , 	17 , 	20 , 	7 , 	11 , 	26 , 	2 , 	1 , 	4 , 	0 , 	1 , 	1 , 	4 , 	38 , 	17 , 	40 , 	25 , 	12 , 	8 , 	2 , 	5 , 	5 , 	1 , 	4 , 	7 , 	1 , 	2 , 	0 , 	1 , 	5 , 	1 , 	6 , 	4 , 	18 , 	19 , 	21 , 	0 , 	3 , 	480 ,,,,,,,,,,,
UC, 	1 , 	8 , 	3 , 	2 , 	23 , 	5 , 	6 , 	8 , 	8 , 	16 , 	33 , 	11 , 	17 , 	19 , 	36 , 	10 , 	12 , 	22 , 	2 , 	2 , 	1 , 	0 , 	0 , 	2 , 	4 , 	77 , 	28 , 	57 , 	30 , 	13 , 	6 , 	5 , 	3 , 	3 , 	1 , 	3 , 	7 , 	0 , 	1 , 	1 , 	0 , 	6 , 	1 , 	2 , 	11 , 	20 , 	32 , 	21 , 	0 , 	2 , 	582 ,,,,,,,,,,,
FM, 	5 , 	7 , 	2 , 	4 , 	27 , 	5 , 	11 , 	12 , 	14 , 	9 , 	29 , 	8 , 	18 , 	18 , 	35 , 	25 , 	24 , 	14 , 	1 , 	3 , 	2 , 	1 , 	0 , 	3 , 	4 , 	89 , 	43 , 	62 , 	39 , 	15 , 	8 , 	4 , 	4 , 	8 , 	1 , 	5 , 	10 , 	1 , 	1 , 	0 , 	1 , 	12 , 	1 , 	3 , 	10 , 	18 , 	45 , 	41 , 	1 , 	3 , 	705 ,,,,,,,,,,,
