Exit stations,Entry stations->,,SATURDAY,,,Dec 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
RM, 	20 , 	35 , 	33 , 	13 , 	109 , 	20 , 	30 , 	16 , 	27 , 	7 , 	21 , 	18 , 	6 , 	6 , 	6 , 	3 , 	3 , 	3 , 	6 , 	9 , 	7 , 	2 , 	4 , 	7 , 	10 , 	53 , 	40 , 	141 , 	53 , 	44 , 	49 , 	8 , 	15 , 	11 , 	6 , 	2 , 	3 , 	0 , 	2 , 	5 , 	8 , 	22 , 	8 , 	1 , 	3 , 	6 , 	6 , 	5 , 	3 , 	3 , 	917 ,,,,,,,,,,
EN, 	37 , 	20 , 	24 , 	12 , 	117 , 	27 , 	32 , 	37 , 	47 , 	9 , 	30 , 	18 , 	13 , 	11 , 	12 , 	2 , 	5 , 	6 , 	5 , 	5 , 	9 , 	4 , 	1 , 	5 , 	12 , 	118 , 	84 , 	257 , 	94 , 	46 , 	47 , 	9 , 	15 , 	14 , 	8 , 	2 , 	7 , 	0 , 	6 , 	3 , 	10 , 	45 , 	7 , 	1 , 	13 , 	9 , 	10 , 	12 , 	0 , 	3 ," 	1,320 ",,,,,,,,,,
EP, 	35 , 	20 , 	19 , 	13 , 	94 , 	19 , 	31 , 	32 , 	27 , 	9 , 	10 , 	5 , 	7 , 	5 , 	5 , 	3 , 	4 , 	5 , 	5 , 	4 , 	4 , 	3 , 	2 , 	4 , 	4 , 	73 , 	47 , 	129 , 	57 , 	22 , 	20 , 	7 , 	6 , 	7 , 	2 , 	1 , 	3 , 	0 , 	2 , 	2 , 	2 , 	31 , 	4 , 	2 , 	10 , 	2 , 	4 , 	6 , 	1 , 	1 , 	809 ,,,,,,,,,,
NB, 	18 , 	13 , 	15 , 	16 , 	26 , 	11 , 	20 , 	27 , 	17 , 	9 , 	16 , 	8 , 	7 , 	5 , 	2 , 	4 , 	2 , 	5 , 	2 , 	3 , 	4 , 	2 , 	3 , 	4 , 	5 , 	74 , 	57 , 	107 , 	73 , 	30 , 	25 , 	9 , 	7 , 	6 , 	2 , 	1 , 	2 , 	0 , 	2 , 	2 , 	2 , 	43 , 	3 , 	0 , 	9 , 	2 , 	5 , 	6 , 	0 , 	1 , 	714 ,,,,,,,,,,
BK, 	114 , 	118 , 	94 , 	31 , 	41 , 	52 , 	51 , 	80 , 	85 , 	25 , 	41 , 	20 , 	23 , 	19 , 	16 , 	13 , 	13 , 	16 , 	8 , 	14 , 	16 , 	6 , 	7 , 	9 , 	12 , 	163 , 	102 , 	246 , 	117 , 	66 , 	49 , 	33 , 	17 , 	16 , 	4 , 	5 , 	12 , 	1 , 	4 , 	4 , 	6 , 	61 , 	22 , 	6 , 	23 , 	13 , 	24 , 	26 , 	1 , 	4 ," 	1,951 ",,,,,,,,,,
AS, 	17 , 	27 , 	18 , 	9 , 	47 , 	15 , 	18 , 	26 , 	21 , 	9 , 	19 , 	9 , 	9 , 	5 , 	7 , 	3 , 	6 , 	7 , 	3 , 	5 , 	3 , 	1 , 	1 , 	3 , 	7 , 	51 , 	46 , 	89 , 	64 , 	34 , 	29 , 	9 , 	10 , 	6 , 	1 , 	1 , 	3 , 	1 , 	1 , 	1 , 	3 , 	25 , 	5 , 	1 , 	10 , 	5 , 	6 , 	7 , 	1 , 	1 , 	702 ,,,,,,,,,,
MA, 	34 , 	33 , 	27 , 	23 , 	56 , 	20 , 	25 , 	30 , 	37 , 	10 , 	36 , 	20 , 	18 , 	13 , 	16 , 	4 , 	5 , 	6 , 	23 , 	15 , 	25 , 	14 , 	3 , 	24 , 	19 , 	127 , 	87 , 	205 , 	128 , 	95 , 	56 , 	20 , 	14 , 	9 , 	4 , 	2 , 	6 , 	4 , 	11 , 	3 , 	4 , 	52 , 	9 , 	3 , 	11 , 	7 , 	8 , 	12 , 	7 , 	10 ," 	1,429 ",,,,,,,,,,
19, 	23 , 	38 , 	29 , 	30 , 	82 , 	35 , 	33 , 	32 , 	9 , 	5 , 	24 , 	18 , 	23 , 	19 , 	17 , 	8 , 	8 , 	12 , 	14 , 	16 , 	29 , 	12 , 	12 , 	27 , 	15 , 	136 , 	105 , 	220 , 	135 , 	105 , 	77 , 	18 , 	17 , 	12 , 	3 , 	1 , 	8 , 	3 , 	9 , 	4 , 	5 , 	43 , 	11 , 	4 , 	9 , 	10 , 	10 , 	13 , 	4 , 	9 ," 	1,542 ",,,,,,,,,,
12, 	25 , 	40 , 	25 , 	15 , 	74 , 	24 , 	30 , 	6 , 	24 , 	5 , 	25 , 	16 , 	24 , 	29 , 	19 , 	9 , 	9 , 	11 , 	19 , 	20 , 	21 , 	11 , 	10 , 	26 , 	26 , 	149 , 	102 , 	241 , 	135 , 	83 , 	54 , 	20 , 	22 , 	18 , 	9 , 	2 , 	5 , 	4 , 	13 , 	5 , 	9 , 	50 , 	12 , 	1 , 	12 , 	6 , 	7 , 	12 , 	4 , 	8 ," 	1,523 ",,,,,,,,,,
LM, 	8 , 	9 , 	11 , 	4 , 	19 , 	8 , 	7 , 	7 , 	6 , 	12 , 	31 , 	25 , 	46 , 	47 , 	20 , 	8 , 	11 , 	12 , 	1 , 	2 , 	3 , 	1 , 	2 , 	5 , 	7 , 	97 , 	82 , 	197 , 	97 , 	57 , 	43 , 	13 , 	15 , 	14 , 	3 , 	19 , 	34 , 	0 , 	2 , 	1 , 	2 , 	6 , 	1 , 	13 , 	9 , 	16 , 	15 , 	18 , 	1 , 	2 ," 	1,067 ",,,,,,,,,,
FV, 	22 , 	26 , 	12 , 	14 , 	40 , 	18 , 	33 , 	35 , 	27 , 	22 , 	15 , 	44 , 	50 , 	62 , 	46 , 	22 , 	13 , 	20 , 	6 , 	3 , 	9 , 	6 , 	5 , 	9 , 	33 , 	100 , 	88 , 	252 , 	142 , 	63 , 	56 , 	15 , 	15 , 	19 , 	2 , 	15 , 	31 , 	2 , 	4 , 	4 , 	3 , 	18 , 	3 , 	14 , 	8 , 	23 , 	13 , 	16 , 	1 , 	3 ," 	1,501 ",,,,,,,,,,
CL, 	14 , 	18 , 	5 , 	7 , 	20 , 	12 , 	20 , 	20 , 	18 , 	18 , 	35 , 	8 , 	27 , 	33 , 	27 , 	16 , 	8 , 	8 , 	6 , 	5 , 	3 , 	2 , 	1 , 	4 , 	15 , 	51 , 	37 , 	112 , 	55 , 	25 , 	31 , 	9 , 	8 , 	11 , 	1 , 	4 , 	21 , 	1 , 	4 , 	2 , 	3 , 	11 , 	3 , 	7 , 	19 , 	18 , 	9 , 	12 , 	3 , 	5 , 	812 ,,,,,,,,,,
