Exit stations,Entry stations->,,SATURDAY,,,Jan 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
RM, 	19 , 	35 , 	34 , 	20 , 	133 , 	21 , 	37 , 	25 , 	26 , 	9 , 	25 , 	22 , 	5 , 	6 , 	7 , 	4 , 	3 , 	5 , 	5 , 	9 , 	7 , 	3 , 	5 , 	4 , 	13 , 	62 , 	45 , 	144 , 	55 , 	45 , 	49 , 	13 , 	14 , 	13 , 	5 , 	4 , 	3 , 	2 , 	4 , 	5 , 	5 , 	23 , 	7 , 	1 , 	5 , 	7 , 	5 , 	6 , 	4 , 	4 ," 	1,003 ",,,,,,,,,,
EN, 	49 , 	19 , 	23 , 	22 , 	127 , 	35 , 	36 , 	39 , 	56 , 	11 , 	33 , 	32 , 	12 , 	11 , 	13 , 	5 , 	8 , 	5 , 	5 , 	5 , 	8 , 	7 , 	2 , 	9 , 	8 , 	109 , 	99 , 	239 , 	94 , 	52 , 	52 , 	15 , 	16 , 	16 , 	7 , 	1 , 	5 , 	2 , 	7 , 	5 , 	8 , 	33 , 	8 , 	2 , 	12 , 	11 , 	10 , 	12 , 	2 , 	3 ," 	1,393 ",,,,,,,,,,
EP, 	38 , 	25 , 	12 , 	21 , 	116 , 	25 , 	36 , 	32 , 	41 , 	12 , 	10 , 	12 , 	9 , 	5 , 	5 , 	3 , 	4 , 	6 , 	4 , 	5 , 	5 , 	3 , 	1 , 	7 , 	3 , 	57 , 	49 , 	109 , 	46 , 	30 , 	22 , 	8 , 	5 , 	5 , 	2 , 	1 , 	3 , 	1 , 	1 , 	0 , 	5 , 	25 , 	5 , 	2 , 	7 , 	4 , 	5 , 	5 , 	1 , 	2 , 	833 ,,,,,,,,,,
NB, 	22 , 	23 , 	20 , 	15 , 	31 , 	14 , 	24 , 	36 , 	27 , 	9 , 	17 , 	15 , 	8 , 	5 , 	4 , 	5 , 	6 , 	7 , 	5 , 	3 , 	6 , 	3 , 	2 , 	4 , 	4 , 	76 , 	52 , 	108 , 	63 , 	48 , 	28 , 	10 , 	6 , 	5 , 	2 , 	1 , 	3 , 	1 , 	2 , 	1 , 	2 , 	36 , 	3 , 	0 , 	14 , 	3 , 	8 , 	7 , 	0 , 	1 , 	788 ,,,,,,,,,,
BK, 	134 , 	144 , 	126 , 	42 , 	59 , 	60 , 	77 , 	97 , 	90 , 	33 , 	47 , 	31 , 	27 , 	21 , 	18 , 	17 , 	21 , 	24 , 	11 , 	14 , 	24 , 	7 , 	9 , 	10 , 	17 , 	188 , 	158 , 	277 , 	147 , 	90 , 	70 , 	34 , 	16 , 	22 , 	3 , 	6 , 	16 , 	2 , 	6 , 	5 , 	6 , 	99 , 	25 , 	5 , 	45 , 	10 , 	33 , 	41 , 	1 , 	5 ," 	2,467 ",,,,,,,,,,
AS, 	24 , 	25 , 	23 , 	13 , 	54 , 	14 , 	22 , 	38 , 	33 , 	10 , 	27 , 	16 , 	10 , 	8 , 	5 , 	4 , 	4 , 	6 , 	4 , 	5 , 	3 , 	2 , 	1 , 	4 , 	7 , 	69 , 	53 , 	98 , 	67 , 	50 , 	42 , 	13 , 	8 , 	4 , 	1 , 	1 , 	2 , 	0 , 	2 , 	2 , 	4 , 	19 , 	6 , 	1 , 	7 , 	4 , 	7 , 	10 , 	0 , 	2 , 	827 ,,,,,,,,,,
MA, 	39 , 	37 , 	33 , 	26 , 	62 , 	28 , 	23 , 	42 , 	51 , 	13 , 	48 , 	37 , 	18 , 	17 , 	22 , 	5 , 	6 , 	12 , 	27 , 	20 , 	32 , 	9 , 	17 , 	25 , 	21 , 	129 , 	110 , 	212 , 	139 , 	114 , 	79 , 	18 , 	15 , 	14 , 	5 , 	2 , 	4 , 	4 , 	11 , 	3 , 	6 , 	39 , 	10 , 	3 , 	9 , 	9 , 	8 , 	14 , 	9 , 	13 ," 	1,644 ",,,,,,,,,,
19, 	31 , 	41 , 	32 , 	38 , 	97 , 	43 , 	44 , 	29 , 	12 , 	8 , 	31 , 	29 , 	21 , 	26 , 	22 , 	17 , 	15 , 	18 , 	20 , 	16 , 	33 , 	14 , 	11 , 	44 , 	19 , 	176 , 	123 , 	257 , 	150 , 	117 , 	99 , 	27 , 	15 , 	21 , 	5 , 	3 , 	6 , 	4 , 	10 , 	5 , 	7 , 	36 , 	14 , 	2 , 	8 , 	12 , 	10 , 	19 , 	5 , 	11 ," 	1,849 ",,,,,,,,,,
12, 	30 , 	49 , 	35 , 	25 , 	95 , 	39 , 	46 , 	12 , 	22 , 	3 , 	25 , 	27 , 	28 , 	30 , 	22 , 	8 , 	13 , 	13 , 	22 , 	21 , 	30 , 	14 , 	13 , 	35 , 	20 , 	156 , 	123 , 	247 , 	125 , 	91 , 	62 , 	20 , 	25 , 	19 , 	10 , 	0 , 	5 , 	4 , 	10 , 	6 , 	9 , 	48 , 	15 , 	2 , 	5 , 	8 , 	11 , 	13 , 	5 , 	10 ," 	1,700 ",,,,,,,,,,
LM, 	9 , 	10 , 	11 , 	7 , 	27 , 	14 , 	9 , 	8 , 	4 , 	17 , 	42 , 	49 , 	61 , 	54 , 	29 , 	13 , 	14 , 	18 , 	2 , 	2 , 	3 , 	2 , 	1 , 	6 , 	12 , 	120 , 	100 , 	209 , 	106 , 	79 , 	58 , 	21 , 	15 , 	16 , 	3 , 	20 , 	32 , 	1 , 	1 , 	2 , 	2 , 	8 , 	2 , 	15 , 	10 , 	16 , 	13 , 	22 , 	1 , 	1 ," 	1,289 ",,,,,,,,,,
FV, 	29 , 	28 , 	12 , 	16 , 	50 , 	26 , 	30 , 	34 , 	27 , 	30 , 	20 , 	78 , 	53 , 	71 , 	50 , 	27 , 	21 , 	24 , 	5 , 	6 , 	9 , 	6 , 	6 , 	13 , 	37 , 	111 , 	103 , 	232 , 	146 , 	71 , 	72 , 	13 , 	18 , 	15 , 	3 , 	16 , 	37 , 	2 , 	5 , 	3 , 	4 , 	17 , 	4 , 	23 , 	4 , 	31 , 	20 , 	22 , 	1 , 	3 ," 	1,677 ",,,,,,,,,,
