Exit stations,Entry stations->,,SUNDAY,,,Jan 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
RM, 	12 , 	30 , 	33 , 	13 , 	81 , 	12 , 	23 , 	24 , 	23 , 	12 , 	19 , 	16 , 	7 , 	4 , 	4 , 	4 , 	2 , 	2 , 	5 , 	5 , 	7 , 	1 , 	2 , 	5 , 	7 , 	55 , 	30 , 	115 , 	30 , 	30 , 	31 , 	8 , 	7 , 	10 , 	4 , 	1 , 	3 , 	2 , 	2 , 	5 , 	6 , 	22 , 	5 , 	0 , 	4 , 	2 , 	4 , 	6 , 	3 , 	5 , 	744 ,,,,,,,,,,,
EN, 	31 , 	15 , 	21 , 	10 , 	102 , 	23 , 	27 , 	23 , 	39 , 	12 , 	29 , 	14 , 	7 , 	10 , 	10 , 	3 , 	6 , 	5 , 	6 , 	4 , 	6 , 	4 , 	1 , 	6 , 	7 , 	85 , 	59 , 	193 , 	57 , 	40 , 	32 , 	10 , 	10 , 	12 , 	7 , 	1 , 	4 , 	1 , 	2 , 	3 , 	8 , 	36 , 	7 , 	1 , 	13 , 	6 , 	11 , 	12 , 	1 , 	4 ," 	1,037 ",,,,,,,,,,,
EP, 	32 , 	19 , 	10 , 	15 , 	92 , 	14 , 	23 , 	23 , 	25 , 	11 , 	13 , 	6 , 	8 , 	4 , 	4 , 	3 , 	2 , 	4 , 	2 , 	3 , 	5 , 	3 , 	2 , 	4 , 	3 , 	46 , 	36 , 	83 , 	38 , 	16 , 	12 , 	7 , 	3 , 	3 , 	2 , 	2 , 	3 , 	0 , 	2 , 	1 , 	1 , 	26 , 	4 , 	1 , 	14 , 	1 , 	7 , 	5 , 	0 , 	1 , 	640 ,,,,,,,,,,,
NB, 	15 , 	16 , 	17 , 	12 , 	23 , 	14 , 	17 , 	24 , 	23 , 	14 , 	15 , 	2 , 	5 , 	3 , 	2 , 	3 , 	3 , 	5 , 	3 , 	2 , 	4 , 	1 , 	3 , 	2 , 	4 , 	65 , 	51 , 	91 , 	42 , 	37 , 	23 , 	7 , 	7 , 	4 , 	1 , 	1 , 	3 , 	0 , 	2 , 	1 , 	2 , 	38 , 	8 , 	1 , 	14 , 	2 , 	6 , 	6 , 	-   , 	1 , 	645 ,,,,,,,,,,,
BK, 	93 , 	95 , 	102 , 	30 , 	28 , 	44 , 	48 , 	71 , 	70 , 	22 , 	38 , 	17 , 	18 , 	14 , 	14 , 	7 , 	12 , 	20 , 	7 , 	8 , 	10 , 	8 , 	8 , 	5 , 	16 , 	149 , 	162 , 	235 , 	112 , 	65 , 	46 , 	27 , 	16 , 	20 , 	5 , 	3 , 	13 , 	2 , 	3 , 	4 , 	4 , 	123 , 	36 , 	6 , 	68 , 	12 , 	34 , 	54 , 	1 , 	4 ," 	2,009 ",,,,,,,,,,,
AS, 	15 , 	18 , 	19 , 	16 , 	36 , 	10 , 	18 , 	29 , 	33 , 	11 , 	24 , 	5 , 	9 , 	4 , 	5 , 	2 , 	6 , 	3 , 	2 , 	3 , 	5 , 	1 , 	1 , 	3 , 	8 , 	58 , 	42 , 	79 , 	48 , 	36 , 	29 , 	10 , 	7 , 	6 , 	1 , 	1 , 	3 , 	1 , 	1 , 	1 , 	4 , 	31 , 	4 , 	1 , 	12 , 	4 , 	6 , 	7 , 	-   , 	1 , 	682 ,,,,,,,,,,,
MA, 	33 , 	32 , 	23 , 	21 , 	56 , 	20 , 	17 , 	30 , 	38 , 	14 , 	26 , 	14 , 	17 , 	14 , 	14 , 	3 , 	5 , 	5 , 	16 , 	13 , 	17 , 	10 , 	6 , 	18 , 	12 , 	105 , 	67 , 	155 , 	88 , 	71 , 	52 , 	17 , 	8 , 	5 , 	3 , 	1 , 	4 , 	4 , 	10 , 	4 , 	1 , 	47 , 	6 , 	4 , 	15 , 	4 , 	11 , 	10 , 	5 , 	12 ," 	1,184 ",,,,,,,,,,,
19, 	23 , 	26 , 	27 , 	22 , 	63 , 	30 , 	29 , 	21 , 	7 , 	5 , 	22 , 	10 , 	21 , 	16 , 	12 , 	7 , 	10 , 	7 , 	11 , 	11 , 	15 , 	8 , 	8 , 	26 , 	16 , 	120 , 	83 , 	174 , 	102 , 	83 , 	53 , 	17 , 	12 , 	15 , 	2 , 	4 , 	6 , 	2 , 	8 , 	6 , 	4 , 	48 , 	13 , 	1 , 	11 , 	4 , 	11 , 	19 , 	3 , 	5 ," 	1,265 ",,,,,,,,,,,
12, 	22 , 	30 , 	22 , 	26 , 	63 , 	28 , 	32 , 	7 , 	15 , 	5 , 	14 , 	16 , 	15 , 	16 , 	13 , 	6 , 	7 , 	10 , 	12 , 	16 , 	18 , 	9 , 	8 , 	19 , 	17 , 	112 , 	84 , 	198 , 	100 , 	60 , 	39 , 	14 , 	15 , 	11 , 	9 , 	0 , 	4 , 	4 , 	8 , 	4 , 	7 , 	65 , 	13 , 	0 , 	14 , 	5 , 	10 , 	9 , 	4 , 	8 ," 	1,244 ",,,,,,,,,,,
LM, 	12 , 	13 , 	14 , 	13 , 	24 , 	11 , 	13 , 	6 , 	3 , 	9 , 	50 , 	27 , 	55 , 	51 , 	19 , 	12 , 	16 , 	15 , 	3 , 	2 , 	3 , 	1 , 	3 , 	5 , 	16 , 	103 , 	73 , 	170 , 	77 , 	64 , 	49 , 	17 , 	10 , 	12 , 	2 , 	17 , 	27 , 	1 , 	2 , 	2 , 	2 , 	8 , 	1 , 	14 , 	20 , 	12 , 	11 , 	20 , 	1 , 	1 ," 	1,114 ",,,,,,,,,,,
FV, 	21 , 	29 , 	10 , 	13 , 	40 , 	22 , 	30 , 	24 , 	18 , 	43 , 	20 , 	40 , 	42 , 	56 , 	44 , 	20 , 	13 , 	17 , 	6 , 	4 , 	9 , 	3 , 	5 , 	10 , 	28 , 	79 , 	63 , 	184 , 	89 , 	50 , 	46 , 	9 , 	11 , 	13 , 	3 , 	12 , 	26 , 	1 , 	4 , 	3 , 	3 , 	16 , 	3 , 	17 , 	7 , 	12 , 	18 , 	17 , 	2 , 	4 ," 	1,262 ",,,,,,,,,,,
