Exit stations,Entry stations->,,SATURDAY,,,Mar 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
RM, 	19 , 	39 , 	39 , 	21 , 	148 , 	31 , 	44 , 	28 , 	33 , 	10 , 	28 , 	21 , 	9 , 	8 , 	7 , 	6 , 	3 , 	4 , 	7 , 	8 , 	8 , 	3 , 	5 , 	13 , 	10 , 	73 , 	51 , 	146 , 	59 , 	51 , 	56 , 	13 , 	15 , 	16 , 	7 , 	3 , 	3 , 	1 , 	6 , 	6 , 	8 , 	24 , 	9 , 	1 , 	4 , 	6 , 	7 , 	6 , 	3 , 	5 ," 	1,126 ",,,,,,,,,,
EN, 	43 , 	16 , 	25 , 	21 , 	165 , 	36 , 	49 , 	56 , 	59 , 	11 , 	43 , 	37 , 	17 , 	11 , 	11 , 	6 , 	10 , 	9 , 	7 , 	4 , 	9 , 	5 , 	2 , 	11 , 	11 , 	107 , 	94 , 	308 , 	106 , 	58 , 	66 , 	18 , 	17 , 	24 , 	8 , 	2 , 	5 , 	3 , 	10 , 	5 , 	10 , 	32 , 	11 , 	2 , 	10 , 	11 , 	9 , 	12 , 	2 , 	5 ," 	1,607 ",,,,,,,,,,
EP, 	41 , 	28 , 	8 , 	20 , 	139 , 	20 , 	40 , 	34 , 	40 , 	14 , 	15 , 	14 , 	7 , 	8 , 	7 , 	4 , 	4 , 	4 , 	6 , 	5 , 	4 , 	6 , 	3 , 	7 , 	4 , 	71 , 	53 , 	142 , 	69 , 	31 , 	28 , 	6 , 	5 , 	9 , 	3 , 	3 , 	3 , 	0 , 	2 , 	3 , 	3 , 	29 , 	7 , 	3 , 	9 , 	1 , 	6 , 	7 , 	0 , 	2 , 	971 ,,,,,,,,,,
NB, 	26 , 	24 , 	18 , 	15 , 	38 , 	17 , 	25 , 	34 , 	30 , 	11 , 	28 , 	11 , 	6 , 	5 , 	4 , 	4 , 	5 , 	8 , 	3 , 	5 , 	8 , 	1 , 	1 , 	4 , 	4 , 	96 , 	65 , 	136 , 	96 , 	54 , 	40 , 	14 , 	6 , 	7 , 	2 , 	2 , 	3 , 	1 , 	4 , 	3 , 	2 , 	28 , 	7 , 	1 , 	12 , 	4 , 	8 , 	5 , 	1 , 	1 , 	928 ,,,,,,,,,,
BK, 	154 , 	172 , 	148 , 	49 , 	51 , 	80 , 	84 , 	119 , 	125 , 	41 , 	68 , 	23 , 	31 , 	18 , 	31 , 	14 , 	34 , 	28 , 	21 , 	16 , 	36 , 	13 , 	8 , 	12 , 	17 , 	279 , 	182 , 	457 , 	196 , 	125 , 	88 , 	47 , 	26 , 	33 , 	5 , 	8 , 	22 , 	2 , 	6 , 	4 , 	7 , 	80 , 	43 , 	9 , 	21 , 	21 , 	38 , 	65 , 	2 , 	4 ," 	3,156 ",,,,,,,,,,
AS, 	30 , 	27 , 	19 , 	16 , 	66 , 	13 , 	25 , 	41 , 	39 , 	13 , 	29 , 	18 , 	9 , 	8 , 	9 , 	3 , 	5 , 	4 , 	6 , 	4 , 	5 , 	2 , 	2 , 	4 , 	6 , 	78 , 	64 , 	123 , 	84 , 	60 , 	42 , 	10 , 	9 , 	7 , 	1 , 	2 , 	4 , 	-   , 	2 , 	3 , 	5 , 	28 , 	7 , 	2 , 	6 , 	4 , 	7 , 	13 , 	1 , 	3 , 	961 ,,,,,,,,,,
MA, 	51 , 	53 , 	39 , 	26 , 	89 , 	26 , 	20 , 	45 , 	55 , 	12 , 	52 , 	31 , 	25 , 	15 , 	20 , 	5 , 	8 , 	12 , 	29 , 	24 , 	37 , 	14 , 	8 , 	27 , 	18 , 	142 , 	119 , 	258 , 	162 , 	141 , 	96 , 	21 , 	15 , 	15 , 	4 , 	3 , 	8 , 	4 , 	13 , 	3 , 	6 , 	42 , 	10 , 	5 , 	8 , 	10 , 	12 , 	13 , 	6 , 	16 ," 	1,869 ",,,,,,,,,,
19, 	34 , 	56 , 	36 , 	33 , 	122 , 	48 , 	59 , 	37 , 	13 , 	8 , 	34 , 	24 , 	26 , 	25 , 	24 , 	10 , 	10 , 	19 , 	23 , 	24 , 	39 , 	15 , 	14 , 	56 , 	21 , 	183 , 	142 , 	304 , 	192 , 	148 , 	100 , 	32 , 	24 , 	34 , 	10 , 	4 , 	11 , 	4 , 	9 , 	8 , 	8 , 	41 , 	21 , 	6 , 	6 , 	18 , 	16 , 	32 , 	5 , 	11 ," 	2,171 ",,,,,,,,,,
12, 	34 , 	52 , 	41 , 	30 , 	127 , 	38 , 	50 , 	17 , 	34 , 	7 , 	27 , 	27 , 	31 , 	25 , 	22 , 	13 , 	12 , 	13 , 	25 , 	26 , 	34 , 	14 , 	12 , 	38 , 	25 , 	183 , 	137 , 	301 , 	197 , 	113 , 	88 , 	31 , 	33 , 	20 , 	11 , 	2 , 	6 , 	4 , 	13 , 	7 , 	15 , 	52 , 	18 , 	3 , 	6 , 	9 , 	13 , 	18 , 	6 , 	12 ," 	2,067 ",,,,,,,,,,
LM, 	10 , 	12 , 	11 , 	7 , 	35 , 	13 , 	11 , 	7 , 	7 , 	15 , 	45 , 	52 , 	71 , 	73 , 	32 , 	15 , 	11 , 	19 , 	4 , 	1 , 	4 , 	1 , 	1 , 	6 , 	7 , 	137 , 	95 , 	223 , 	119 , 	80 , 	57 , 	22 , 	17 , 	12 , 	3 , 	29 , 	38 , 	-   , 	2 , 	3 , 	3 , 	10 , 	5 , 	19 , 	9 , 	19 , 	20 , 	26 , 	1 , 	2 ," 	1,416 ",,,,,,,,,,
FV, 	31 , 	37 , 	15 , 	20 , 	74 , 	26 , 	44 , 	40 , 	29 , 	33 , 	20 , 	74 , 	65 , 	88 , 	61 , 	26 , 	23 , 	29 , 	8 , 	7 , 	9 , 	5 , 	6 , 	15 , 	53 , 	119 , 	103 , 	275 , 	164 , 	91 , 	88 , 	19 , 	19 , 	26 , 	3 , 	15 , 	38 , 	3 , 	7 , 	6 , 	2 , 	14 , 	5 , 	20 , 	5 , 	25 , 	20 , 	25 , 	2 , 	6 ," 	1,930 ",,,,,,,,,,
