Exit stations,Entry stations->,,WEEKDAY,,,Mar 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	13 , 	63 , 	58 , 	37 , 	228 , 	50 , 	74 , 	58 , 	73 , 	22 , 	49 , 	34 , 	21 , 	7 , 	18 , 	10 , 	6 , 	8 , 	10 , 	7 , 	12 , 	5 , 	5 , 	14 , 	16 , 	185 , 	148 , 	242 , 	133 , 	100 , 	100 , 	29 , 	26 , 	33 , 	9 , 	4 , 	4 , 	3 , 	6 , 	7 , 	12 , 	30 , 	10 , 	3 , 	6 , 	11 , 	5 , 	5 , 	7 , 	9 ," 	2,027 ",,,,,,,,,,,,,
EN, 	70 , 	19 , 	57 , 	41 , 	364 , 	63 , 	101 , 	140 , 	180 , 	40 , 	70 , 	46 , 	29 , 	19 , 	27 , 	6 , 	15 , 	21 , 	13 , 	11 , 	13 , 	6 , 	8 , 	15 , 	19 , 	381 , 	340 , 	421 , 	297 , 	129 , 	104 , 	31 , 	40 , 	70 , 	10 , 	5 , 	10 , 	3 , 	10 , 	12 , 	18 , 	53 , 	24 , 	5 , 	21 , 	20 , 	10 , 	15 , 	3 , 	6 ," 	3,431 ",,,,,,,,,,,,,
EP, 	57 , 	51 , 	9 , 	27 , 	281 , 	39 , 	64 , 	90 , 	100 , 	27 , 	24 , 	20 , 	18 , 	9 , 	9 , 	4 , 	8 , 	6 , 	11 , 	9 , 	8 , 	6 , 	5 , 	15 , 	4 , 	216 , 	195 , 	153 , 	143 , 	49 , 	38 , 	16 , 	13 , 	25 , 	2 , 	4 , 	3 , 	2 , 	3 , 	4 , 	4 , 	32 , 	10 , 	3 , 	15 , 	5 , 	6 , 	7 , 	1 , 	2 ," 	1,855 ",,,,,,,,,,,,,
NB, 	40 , 	35 , 	26 , 	9 , 	81 , 	33 , 	44 , 	68 , 	71 , 	18 , 	33 , 	18 , 	14 , 	7 , 	8 , 	6 , 	6 , 	7 , 	7 , 	8 , 	7 , 	3 , 	4 , 	6 , 	6 , 	244 , 	195 , 	134 , 	164 , 	66 , 	37 , 	14 , 	16 , 	12 , 	3 , 	2 , 	6 , 	2 , 	3 , 	3 , 	2 , 	48 , 	10 , 	2 , 	16 , 	9 , 	5 , 	7 , 	4 , 	2 ," 	1,573 ",,,,,,,,,,,,,
BK, 	254 , 	385 , 	294 , 	92 , 	35 , 	152 , 	153 , 	190 , 	209 , 	77 , 	116 , 	62 , 	84 , 	48 , 	56 , 	41 , 	58 , 	51 , 	41 , 	30 , 	38 , 	21 , 	21 , 	14 , 	36 , 	323 , 	261 , 	281 , 	239 , 	128 , 	102 , 	62 , 	41 , 	46 , 	14 , 	17 , 	42 , 	6 , 	25 , 	14 , 	15 , 	89 , 	47 , 	12 , 	49 , 	27 , 	39 , 	48 , 	9 , 	24 ," 	4,517 ",,,,,,,,,,,,,
AS, 	51 , 	61 , 	39 , 	34 , 	143 , 	12 , 	40 , 	76 , 	78 , 	23 , 	50 , 	27 , 	19 , 	11 , 	10 , 	9 , 	10 , 	8 , 	5 , 	7 , 	7 , 	3 , 	2 , 	5 , 	15 , 	216 , 	179 , 	142 , 	167 , 	78 , 	43 , 	14 , 	18 , 	12 , 	4 , 	2 , 	6 , 	2 , 	7 , 	2 , 	6 , 	31 , 	11 , 	3 , 	11 , 	9 , 	9 , 	12 , 	1 , 	6 ," 	1,736 ",,,,,,,,,,,,,
MA, 	87 , 	101 , 	56 , 	39 , 	145 , 	40 , 	17 , 	76 , 	85 , 	26 , 	91 , 	65 , 	58 , 	34 , 	36 , 	26 , 	27 , 	27 , 	53 , 	48 , 	57 , 	21 , 	19 , 	38 , 	26 , 	395 , 	326 , 	297 , 	302 , 	164 , 	90 , 	29 , 	33 , 	33 , 	8 , 	6 , 	26 , 	10 , 	45 , 	10 , 	10 , 	54 , 	18 , 	6 , 	14 , 	15 , 	17 , 	21 , 	18 , 	50 ," 	3,296 ",,,,,,,,,,,,,
19, 	60 , 	140 , 	90 , 	74 , 	178 , 	77 , 	78 , 	23 , 	21 , 	17 , 	67 , 	57 , 	80 , 	56 , 	62 , 	42 , 	41 , 	47 , 	69 , 	72 , 	81 , 	49 , 	30 , 	71 , 	29 , 	499 , 	400 , 	346 , 	338 , 	174 , 	132 , 	58 , 	47 , 	50 , 	17 , 	16 , 	48 , 	17 , 	44 , 	20 , 	19 , 	45 , 	32 , 	21 , 	15 , 	32 , 	29 , 	37 , 	10 , 	49 ," 	4,105 ",,,,,,,,,,,,,
12, 	75 , 	180 , 	97 , 	74 , 	192 , 	74 , 	88 , 	19 , 	25 , 	15 , 	62 , 	65 , 	103 , 	91 , 	82 , 	53 , 	77 , 	67 , 	84 , 	108 , 	98 , 	39 , 	33 , 	61 , 	38 , 	450 , 	328 , 	384 , 	307 , 	143 , 	118 , 	66 , 	61 , 	70 , 	31 , 	15 , 	65 , 	23 , 	71 , 	31 , 	29 , 	59 , 	38 , 	23 , 	17 , 	29 , 	32 , 	39 , 	21 , 	71 ," 	4,419 ",,,,,,,,,,,,,
LM, 	20 , 	37 , 	27 , 	17 , 	89 , 	24 , 	26 , 	16 , 	15 , 	12 , 	85 , 	94 , 	157 , 	104 , 	68 , 	48 , 	44 , 	44 , 	11 , 	7 , 	12 , 	2 , 	2 , 	10 , 	15 , 	351 , 	282 , 	283 , 	241 , 	115 , 	66 , 	31 , 	29 , 	33 , 	4 , 	59 , 	75 , 	4 , 	10 , 	7 , 	5 , 	11 , 	5 , 	39 , 	13 , 	36 , 	17 , 	25 , 	5 , 	16 ," 	2,752 ",,,,,,,,,,,,,
FV, 	48 , 	61 , 	26 , 	32 , 	113 , 	48 , 	85 , 	77 , 	67 , 	78 , 	20 , 	112 , 	134 , 	121 , 	111 , 	52 , 	46 , 	54 , 	18 , 	11 , 	14 , 	11 , 	12 , 	19 , 	67 , 	334 , 	290 , 	365 , 	354 , 	137 , 	109 , 	31 , 	43 , 	65 , 	5 , 	26 , 	69 , 	4 , 	8 , 	7 , 	10 , 	29 , 	7 , 	32 , 	9 , 	45 , 	23 , 	26 , 	6 , 	13 ," 	3,482 ",,,,,,,,,,,,,
CL, 	35 , 	43 , 	20 , 	17 , 	60 , 	28 , 	70 , 	62 , 	71 , 	83 , 	113 , 	13 , 	62 , 	67 , 	75 , 	37 , 	33 , 	30 , 	18 , 	11 , 	12 , 	7 , 	6 , 	13 , 	41 , 	162 , 	131 , 	175 , 	140 , 	53 , 	64 , 	20 , 	26 , 	40 , 	5 , 	20 , 	53 , 	5 , 	14 , 	7 , 	7 , 	10 , 	9 , 	23 , 	12 , 	38 , 	18 , 	32 , 	6 , 	21 ," 	2,118 ",,,,,,,,,,,,,
SL, 	20 , 	26 , 	14 , 	17 , 	82 , 	22 , 	65 , 	85 , 	113 , 	150 , 	138 , 	67 , 	13 , 	70 , 	98 , 	53 , 	47 , 	49 , 	15 , 	7 , 	9 , 	2 , 	4 , 	10 , 	25 , 	305 , 	290 , 	278 , 	239 , 	79 , 	56 , 	20 , 	36 , 	46 , 	4 , 	23 , 	65 , 	4 , 	8 , 	8 , 	5 , 	13 , 	4 , 	26 , 	5 , 	43 , 	17 , 	25 , 	4 , 	14 ," 	2,816 ",,,,,,,,,,,,,
BF, 	9 , 	14 , 	6 , 	8 , 	47 , 	10 , 	38 , 	60 , 	97 , 	102 , 	120 , 	68 , 	69 , 	15 , 	59 , 	41 , 	44 , 	49 , 	13 , 	4 , 	9 , 	2 , 	2 , 	7 , 	22 , 	245 , 	230 , 	280 , 	191 , 	62 , 	33 , 	17 , 	22 , 	29 , 	4 , 	22 , 	60 , 	1 , 	5 , 	7 , 	4 , 	8 , 	5 , 	40 , 	6 , 	44 , 	16 , 	25 , 	2 , 	3 ," 	2,278 ",,,,,,,,,,,,,
HY, 	19 , 	28 , 	8 , 	11 , 	56 , 	12 , 	40 , 	65 , 	83 , 	64 , 	115 , 	71 , 	105 , 	56 , 	17 , 	50 , 	99 , 	106 , 	14 , 	7 , 	7 , 	3 , 	2 , 	5 , 	20 , 	164 , 	119 , 	130 , 	101 , 	40 , 	24 , 	11 , 	16 , 	21 , 	4 , 	9 , 	37 , 	2 , 	14 , 	3 , 	6 , 	6 , 	5 , 	18 , 	5 , 	73 , 	40 , 	43 , 	5 , 	13 ," 	1,971 ",,,,,,,,,,,,,
SH, 	10 , 	6 , 	3 , 	6 , 	37 , 	8 , 	22 , 	39 , 	51 , 	45 , 	48 , 	36 , 	51 , 	37 , 	46 , 	9 , 	32 , 	49 , 	4 , 	5 , 	5 , 	1 , 	0 , 	3 , 	9 , 	132 , 	98 , 	96 , 	94 , 	27 , 	28 , 	4 , 	7 , 	15 , 	3 , 	9 , 	14 , 	1 , 	4 , 	3 , 	1 , 	4 , 	2 , 	12 , 	4 , 	52 , 	18 , 	29 , 	1 , 	3 ," 	1,222 ",,,,,,,,,,,,,
UC, 	8 , 	16 , 	9 , 	6 , 	56 , 	10 , 	31 , 	42 , 	78 , 	44 , 	48 , 	34 , 	47 , 	49 , 	90 , 	30 , 	15 , 	51 , 	5 , 	4 , 	6 , 	0 , 	1 , 	5 , 	10 , 	217 , 	140 , 	115 , 	93 , 	34 , 	16 , 	7 , 	7 , 	14 , 	2 , 	7 , 	30 , 	1 , 	3 , 	2 , 	1 , 	8 , 	1 , 	17 , 	6 , 	67 , 	43 , 	51 , 	3 , 	4 ," 	1,583 ",,,,,,,,,,,,,
FM, 	7 , 	20 , 	6 , 	10 , 	48 , 	9 , 	26 , 	48 , 	69 , 	44 , 	55 , 	28 , 	53 , 	48 , 	108 , 	56 , 	58 , 	16 , 	8 , 	4 , 	4 , 	1 , 	2 , 	5 , 	5 , 	273 , 	154 , 	96 , 	92 , 	27 , 	12 , 	6 , 	8 , 	17 , 	3 , 	9 , 	23 , 	1 , 	3 , 	1 , 	2 , 	14 , 	2 , 	10 , 	7 , 	69 , 	63 , 	67 , 	1 , 	6 ," 	1,703 ",,,,,,,,,,,,,
CN, 	13 , 	12 , 	11 , 	7 , 	40 , 	6 , 	60 , 	68 , 	80 , 	12 , 	16 , 	18 , 	14 , 	12 , 	15 , 	5 , 	7 , 	8 , 	26 , 	45 , 	138 , 	69 , 	24 , 	42 , 	9 , 	258 , 	235 , 	209 , 	190 , 	61 , 	45 , 	24 , 	21 , 	33 , 	6 , 	2 , 	7 , 	24 , 	89 , 	7 , 	11 , 	50 , 	9 , 	4 , 	16 , 	4 , 	5 , 	8 , 	56 , 	65 ," 	2,196 ",,,,,,,,,,,,,
PH, 	9 , 	10 , 	9 , 	8 , 	33 , 	8 , 	51 , 	74 , 	102 , 	7 , 	11 , 	11 , 	6 , 	4 , 	6 , 	4 , 	4 , 	3 , 	45 , 	14 , 	46 , 	24 , 	14 , 	48 , 	6 , 	400 , 	347 , 	193 , 	183 , 	52 , 	29 , 	21 , 	19 , 	27 , 	4 , 	1 , 	3 , 	12 , 	35 , 	8 , 	9 , 	65 , 	6 , 	1 , 	17 , 	4 , 	5 , 	6 , 	17 , 	33 ," 	2,053 ",,,,,,,,,,,,,
