Exit stations,Entry stations->,,SATURDAY,,,Apr 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
RM, 	16 , 	44 , 	43 , 	22 , 	163 , 	36 , 	49 , 	29 , 	38 , 	13 , 	32 , 	31 , 	9 , 	8 , 	8 , 	4 , 	5 , 	5 , 	9 , 	4 , 	7 , 	2 , 	2 , 	12 , 	11 , 	91 , 	53 , 	155 , 	67 , 	52 , 	70 , 	14 , 	21 , 	19 , 	7 , 	3 , 	7 , 	2 , 	5 , 	6 , 	10 , 	31 , 	9 , 	1 , 	6 , 	7 , 	9 , 	8 , 	4 , 	3 ," 	1,263 ",,,,,,,,,,
EN, 	44 , 	17 , 	33 , 	24 , 	200 , 	41 , 	52 , 	51 , 	66 , 	13 , 	46 , 	49 , 	16 , 	15 , 	17 , 	5 , 	10 , 	6 , 	8 , 	6 , 	7 , 	4 , 	1 , 	8 , 	12 , 	132 , 	124 , 	282 , 	117 , 	71 , 	69 , 	18 , 	20 , 	29 , 	9 , 	2 , 	6 , 	2 , 	6 , 	5 , 	9 , 	43 , 	9 , 	2 , 	16 , 	9 , 	9 , 	17 , 	2 , 	3 ," 	1,764 ",,,,,,,,,,
EP, 	53 , 	38 , 	8 , 	23 , 	163 , 	28 , 	44 , 	36 , 	47 , 	11 , 	16 , 	23 , 	7 , 	7 , 	9 , 	4 , 	3 , 	6 , 	6 , 	3 , 	5 , 	3 , 	1 , 	6 , 	3 , 	100 , 	65 , 	121 , 	67 , 	36 , 	30 , 	11 , 	6 , 	8 , 	2 , 	2 , 	4 , 	-   , 	1 , 	1 , 	2 , 	32 , 	3 , 	1 , 	11 , 	3 , 	6 , 	4 , 	0 , 	1 ," 	1,072 ",,,,,,,,,,
NB, 	31 , 	24 , 	23 , 	14 , 	46 , 	22 , 	27 , 	39 , 	33 , 	12 , 	25 , 	26 , 	9 , 	5 , 	4 , 	5 , 	4 , 	7 , 	3 , 	4 , 	4 , 	1 , 	1 , 	6 , 	5 , 	116 , 	82 , 	126 , 	91 , 	58 , 	41 , 	11 , 	6 , 	6 , 	2 , 	2 , 	3 , 	1 , 	1 , 	1 , 	3 , 	45 , 	7 , 	1 , 	12 , 	4 , 	4 , 	8 , 	1 , 	1 ," 	1,012 ",,,,,,,,,,
BK, 	175 , 	214 , 	167 , 	51 , 	57 , 	86 , 	89 , 	115 , 	123 , 	38 , 	75 , 	68 , 	37 , 	34 , 	35 , 	18 , 	39 , 	42 , 	14 , 	21 , 	23 , 	15 , 	9 , 	10 , 	29 , 	305 , 	219 , 	423 , 	217 , 	129 , 	96 , 	48 , 	31 , 	43 , 	7 , 	7 , 	24 , 	3 , 	7 , 	4 , 	14 , 	101 , 	52 , 	16 , 	62 , 	21 , 	51 , 	84 , 	1 , 	4 ," 	3,555 ",,,,,,,,,,
AS, 	41 , 	43 , 	23 , 	22 , 	64 , 	14 , 	29 , 	43 , 	41 , 	10 , 	33 , 	32 , 	10 , 	9 , 	7 , 	4 , 	6 , 	6 , 	4 , 	4 , 	6 , 	2 , 	2 , 	3 , 	9 , 	93 , 	62 , 	130 , 	89 , 	67 , 	57 , 	9 , 	9 , 	8 , 	4 , 	2 , 	4 , 	0 , 	2 , 	0 , 	5 , 	31 , 	4 , 	0 , 	10 , 	5 , 	7 , 	10 , 	1 , 	3 ," 	1,082 ",,,,,,,,,,
MA, 	54 , 	59 , 	44 , 	30 , 	89 , 	32 , 	22 , 	46 , 	45 , 	13 , 	61 , 	69 , 	21 , 	20 , 	17 , 	9 , 	13 , 	9 , 	19 , 	17 , 	23 , 	13 , 	7 , 	24 , 	27 , 	193 , 	147 , 	259 , 	166 , 	141 , 	96 , 	21 , 	15 , 	20 , 	6 , 	2 , 	4 , 	3 , 	12 , 	3 , 	6 , 	52 , 	14 , 	3 , 	10 , 	10 , 	12 , 	17 , 	8 , 	11 ," 	2,014 ",,,,,,,,,,
19, 	35 , 	56 , 	41 , 	42 , 	122 , 	45 , 	43 , 	25 , 	10 , 	6 , 	40 , 	86 , 	27 , 	24 , 	28 , 	14 , 	24 , 	13 , 	20 , 	17 , 	26 , 	9 , 	10 , 	44 , 	29 , 	218 , 	162 , 	280 , 	188 , 	151 , 	103 , 	30 , 	25 , 	32 , 	5 , 	3 , 	10 , 	4 , 	6 , 	6 , 	7 , 	39 , 	9 , 	3 , 	8 , 	17 , 	18 , 	24 , 	4 , 	9 ," 	2,193 ",,,,,,,,,,
12, 	39 , 	57 , 	42 , 	29 , 	115 , 	44 , 	47 , 	8 , 	27 , 	6 , 	29 , 	57 , 	33 , 	30 , 	26 , 	10 , 	15 , 	14 , 	20 , 	24 , 	23 , 	7 , 	7 , 	34 , 	25 , 	215 , 	143 , 	306 , 	181 , 	117 , 	73 , 	35 , 	30 , 	29 , 	12 , 	2 , 	7 , 	5 , 	14 , 	6 , 	12 , 	53 , 	16 , 	2 , 	9 , 	7 , 	15 , 	15 , 	5 , 	9 ," 	2,085 ",,,,,,,,,,
LM, 	13 , 	16 , 	12 , 	12 , 	36 , 	13 , 	14 , 	9 , 	6 , 	18 , 	55 , 	147 , 	76 , 	66 , 	39 , 	15 , 	19 , 	23 , 	3 , 	2 , 	7 , 	1 , 	-   , 	5 , 	13 , 	154 , 	107 , 	241 , 	129 , 	94 , 	64 , 	19 , 	14 , 	17 , 	4 , 	24 , 	43 , 	0 , 	2 , 	2 , 	2 , 	8 , 	2 , 	19 , 	8 , 	16 , 	10 , 	28 , 	1 , 	6 ," 	1,635 ",,,,,,,,,,
FV, 	32 , 	42 , 	16 , 	22 , 	63 , 	28 , 	52 , 	41 , 	30 , 	45 , 	23 , 	118 , 	63 , 	96 , 	66 , 	25 , 	28 , 	29 , 	7 , 	4 , 	9 , 	5 , 	3 , 	18 , 	48 , 	136 , 	121 , 	256 , 	154 , 	92 , 	95 , 	20 , 	22 , 	22 , 	4 , 	21 , 	42 , 	1 , 	5 , 	5 , 	3 , 	20 , 	5 , 	23 , 	6 , 	28 , 	23 , 	23 , 	2 , 	5 ," 	2,048 ",,,,,,,,,,
CL, 	34 , 	49 , 	25 , 	32 , 	62 , 	34 , 	63 , 	80 , 	53 , 	84 , 	105 , 	21 , 	98 , 	76 , 	66 , 	36 , 	50 , 	61 , 	20 , 	21 , 	15 , 	6 , 	4 , 	25 , 	34 , 	117 , 	81 , 	190 , 	107 , 	46 , 	56 , 	24 , 	16 , 	33 , 	6 , 	38 , 	150 , 	11 , 	14 , 	8 , 	8 , 	9 , 	11 , 	51 , 	22 , 	41 , 	60 , 	80 , 	3 , 	14 ," 	2,350 ",,,,,,,,,,
