Exit stations,Entry stations->,,SATURDAY,,,May 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
RM, 	16 , 	44 , 	46 , 	22 , 	160 , 	33 , 	50 , 	30 , 	38 , 	9 , 	32 , 	29 , 	9 , 	9 , 	11 , 	3 , 	6 , 	5 , 	9 , 	4 , 	7 , 	4 , 	3 , 	11 , 	11 , 	83 , 	52 , 	158 , 	58 , 	57 , 	71 , 	13 , 	19 , 	21 , 	6 , 	2 , 	6 , 	1 , 	2 , 	6 , 	10 , 	29 , 	8 , 	1 , 	3 , 	8 , 	6 , 	11 , 	6 , 	3 ," 	1,237 ",,,,,,,,,,
EN, 	52 , 	19 , 	38 , 	26 , 	182 , 	42 , 	49 , 	59 , 	60 , 	14 , 	43 , 	34 , 	15 , 	16 , 	16 , 	6 , 	11 , 	6 , 	8 , 	6 , 	7 , 	4 , 	1 , 	10 , 	13 , 	145 , 	108 , 	266 , 	93 , 	72 , 	72 , 	18 , 	25 , 	24 , 	9 , 	3 , 	7 , 	2 , 	5 , 	6 , 	9 , 	43 , 	7 , 	3 , 	15 , 	11 , 	13 , 	19 , 	3 , 	3 ," 	1,710 ",,,,,,,,,,
EP, 	53 , 	31 , 	11 , 	22 , 	160 , 	28 , 	37 , 	38 , 	39 , 	11 , 	14 , 	12 , 	7 , 	6 , 	9 , 	4 , 	4 , 	5 , 	4 , 	2 , 	5 , 	4 , 	2 , 	8 , 	5 , 	91 , 	59 , 	131 , 	66 , 	36 , 	30 , 	10 , 	6 , 	8 , 	3 , 	3 , 	3 , 	-   , 	3 , 	3 , 	3 , 	30 , 	6 , 	1 , 	10 , 	2 , 	5 , 	9 , 	2 , 	2 ," 	1,037 ",,,,,,,,,,
NB, 	25 , 	30 , 	22 , 	11 , 	51 , 	17 , 	25 , 	47 , 	33 , 	12 , 	25 , 	20 , 	13 , 	7 , 	7 , 	5 , 	4 , 	8 , 	4 , 	3 , 	5 , 	3 , 	2 , 	9 , 	5 , 	112 , 	83 , 	120 , 	78 , 	66 , 	41 , 	16 , 	6 , 	10 , 	2 , 	2 , 	6 , 	1 , 	3 , 	2 , 	3 , 	43 , 	9 , 	2 , 	11 , 	1 , 	8 , 	7 , 	0 , 	2 ," 	1,020 ",,,,,,,,,,
BK, 	168 , 	192 , 	161 , 	64 , 	44 , 	93 , 	100 , 	113 , 	135 , 	40 , 	73 , 	39 , 	33 , 	27 , 	32 , 	17 , 	38 , 	38 , 	13 , 	11 , 	20 , 	10 , 	6 , 	15 , 	28 , 	239 , 	185 , 	345 , 	162 , 	122 , 	84 , 	39 , 	25 , 	35 , 	10 , 	7 , 	26 , 	2 , 	8 , 	8 , 	7 , 	89 , 	43 , 	9 , 	27 , 	21 , 	50 , 	54 , 	2 , 	3 ," 	3,106 ",,,,,,,,,,
AS, 	35 , 	39 , 	32 , 	20 , 	74 , 	11 , 	28 , 	55 , 	43 , 	9 , 	29 , 	12 , 	10 , 	8 , 	11 , 	2 , 	6 , 	3 , 	5 , 	4 , 	5 , 	1 , 	1 , 	4 , 	8 , 	97 , 	84 , 	107 , 	91 , 	78 , 	59 , 	16 , 	9 , 	7 , 	3 , 	2 , 	5 , 	1 , 	2 , 	0 , 	5 , 	38 , 	6 , 	1 , 	11 , 	6 , 	7 , 	13 , 	1 , 	3 ," 	1,100 ",,,,,,,,,,
MA, 	61 , 	55 , 	38 , 	31 , 	86 , 	29 , 	22 , 	50 , 	43 , 	16 , 	62 , 	43 , 	22 , 	21 , 	20 , 	10 , 	13 , 	11 , 	19 , 	21 , 	24 , 	17 , 	9 , 	25 , 	25 , 	195 , 	132 , 	222 , 	149 , 	149 , 	92 , 	22 , 	17 , 	20 , 	5 , 	4 , 	7 , 	3 , 	15 , 	5 , 	8 , 	65 , 	14 , 	1 , 	10 , 	12 , 	8 , 	19 , 	8 , 	15 ," 	1,964 ",,,,,,,,,,
19, 	40 , 	61 , 	47 , 	53 , 	127 , 	48 , 	53 , 	32 , 	17 , 	8 , 	34 , 	44 , 	36 , 	20 , 	32 , 	11 , 	14 , 	24 , 	17 , 	19 , 	23 , 	15 , 	12 , 	52 , 	26 , 	229 , 	157 , 	292 , 	202 , 	173 , 	125 , 	41 , 	29 , 	31 , 	8 , 	4 , 	11 , 	3 , 	9 , 	9 , 	9 , 	51 , 	21 , 	3 , 	9 , 	15 , 	24 , 	30 , 	4 , 	9 ," 	2,357 ",,,,,,,,,,
12, 	35 , 	54 , 	41 , 	31 , 	127 , 	41 , 	46 , 	14 , 	30 , 	4 , 	26 , 	38 , 	35 , 	30 , 	26 , 	10 , 	10 , 	13 , 	20 , 	16 , 	20 , 	8 , 	7 , 	37 , 	27 , 	230 , 	156 , 	326 , 	197 , 	139 , 	96 , 	31 , 	28 , 	28 , 	9 , 	2 , 	5 , 	3 , 	15 , 	12 , 	14 , 	63 , 	24 , 	1 , 	12 , 	8 , 	19 , 	23 , 	4 , 	12 ," 	2,198 ",,,,,,,,,,
LM, 	9 , 	14 , 	13 , 	11 , 	38 , 	14 , 	16 , 	7 , 	5 , 	13 , 	47 , 	75 , 	73 , 	67 , 	46 , 	16 , 	14 , 	25 , 	2 , 	2 , 	3 , 	0 , 	1 , 	7 , 	15 , 	148 , 	107 , 	232 , 	121 , 	93 , 	58 , 	23 , 	17 , 	16 , 	4 , 	28 , 	44 , 	-   , 	4 , 	1 , 	3 , 	8 , 	3 , 	18 , 	13 , 	18 , 	15 , 	32 , 	1 , 	2 ," 	1,536 ",,,,,,,,,,
FV, 	36 , 	38 , 	18 , 	20 , 	66 , 	27 , 	44 , 	34 , 	28 , 	30 , 	24 , 	82 , 	73 , 	85 , 	59 , 	28 , 	27 , 	22 , 	5 , 	4 , 	7 , 	6 , 	1 , 	18 , 	48 , 	129 , 	98 , 	262 , 	151 , 	112 , 	84 , 	20 , 	23 , 	23 , 	8 , 	22 , 	39 , 	1 , 	5 , 	4 , 	3 , 	20 , 	5 , 	27 , 	5 , 	28 , 	19 , 	32 , 	3 , 	6 ," 	1,953 ",,,,,,,,,,
