Exit stations,Entry stations->,,SATURDAY,,,Jun 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
RM, 	22 , 	45 , 	51 , 	23 , 	143 , 	37 , 	49 , 	24 , 	44 , 	14 , 	33 , 	25 , 	13 , 	8 , 	11 , 	5 , 	6 , 	6 , 	8 , 	3 , 	6 , 	4 , 	3 , 	8 , 	12 , 	101 , 	52 , 	176 , 	82 , 	55 , 	75 , 	12 , 	16 , 	18 , 	8 , 	3 , 	2 , 	1 , 	4 , 	3 , 	11 , 	30 , 	5 , 	1 , 	6 , 	8 , 	8 , 	10 , 	4 , 	2 ," 	1,288 ",,,,,,,,,,
EN, 	53 , 	21 , 	34 , 	21 , 	163 , 	41 , 	51 , 	48 , 	68 , 	13 , 	42 , 	24 , 	19 , 	19 , 	16 , 	7 , 	9 , 	6 , 	8 , 	4 , 	7 , 	2 , 	4 , 	14 , 	10 , 	169 , 	116 , 	289 , 	141 , 	83 , 	67 , 	20 , 	24 , 	28 , 	10 , 	2 , 	11 , 	0 , 	5 , 	6 , 	7 , 	51 , 	11 , 	2 , 	19 , 	15 , 	10 , 	18 , 	1 , 	6 ," 	1,811 ",,,,,,,,,,
EP, 	56 , 	28 , 	13 , 	23 , 	137 , 	31 , 	36 , 	35 , 	44 , 	13 , 	16 , 	8 , 	8 , 	5 , 	8 , 	4 , 	5 , 	7 , 	8 , 	4 , 	9 , 	3 , 	3 , 	8 , 	4 , 	123 , 	73 , 	121 , 	89 , 	52 , 	36 , 	6 , 	4 , 	8 , 	3 , 	2 , 	4 , 	1 , 	1 , 	4 , 	3 , 	35 , 	5 , 	2 , 	8 , 	2 , 	6 , 	7 , 	1 , 	3 ," 	1,109 ",,,,,,,,,,
NB, 	26 , 	30 , 	22 , 	19 , 	46 , 	13 , 	32 , 	37 , 	31 , 	8 , 	28 , 	13 , 	9 , 	5 , 	6 , 	4 , 	4 , 	7 , 	6 , 	2 , 	7 , 	2 , 	2 , 	5 , 	5 , 	126 , 	79 , 	121 , 	111 , 	86 , 	45 , 	10 , 	7 , 	10 , 	3 , 	1 , 	5 , 	2 , 	3 , 	2 , 	2 , 	45 , 	9 , 	2 , 	11 , 	4 , 	5 , 	9 , 	1 , 	1 ," 	1,063 ",,,,,,,,,,
BK, 	168 , 	175 , 	148 , 	56 , 	63 , 	74 , 	81 , 	107 , 	119 , 	35 , 	63 , 	24 , 	44 , 	32 , 	29 , 	14 , 	25 , 	37 , 	13 , 	14 , 	22 , 	10 , 	10 , 	7 , 	23 , 	290 , 	204 , 	304 , 	221 , 	160 , 	91 , 	51 , 	23 , 	30 , 	9 , 	4 , 	22 , 	2 , 	8 , 	7 , 	10 , 	77 , 	41 , 	10 , 	27 , 	22 , 	41 , 	58 , 	4 , 	7 ," 	3,110 ",,,,,,,,,,
AS, 	37 , 	38 , 	28 , 	13 , 	69 , 	14 , 	26 , 	47 , 	38 , 	13 , 	31 , 	21 , 	11 , 	10 , 	11 , 	3 , 	6 , 	6 , 	4 , 	5 , 	3 , 	3 , 	2 , 	4 , 	13 , 	109 , 	69 , 	115 , 	107 , 	102 , 	44 , 	11 , 	7 , 	8 , 	3 , 	2 , 	4 , 	1 , 	2 , 	1 , 	4 , 	24 , 	7 , 	1 , 	9 , 	4 , 	5 , 	9 , 	1 , 	3 ," 	1,103 ",,,,,,,,,,
MA, 	62 , 	52 , 	38 , 	34 , 	79 , 	35 , 	22 , 	53 , 	49 , 	18 , 	55 , 	32 , 	27 , 	17 , 	21 , 	8 , 	10 , 	10 , 	22 , 	20 , 	30 , 	12 , 	8 , 	23 , 	22 , 	206 , 	149 , 	250 , 	198 , 	213 , 	97 , 	26 , 	17 , 	18 , 	6 , 	1 , 	11 , 	3 , 	17 , 	3 , 	6 , 	57 , 	12 , 	3 , 	8 , 	12 , 	11 , 	20 , 	8 , 	19 ," 	2,126 ",,,,,,,,,,
19, 	32 , 	55 , 	35 , 	45 , 	97 , 	42 , 	49 , 	30 , 	9 , 	5 , 	28 , 	30 , 	27 , 	26 , 	29 , 	9 , 	13 , 	18 , 	23 , 	22 , 	31 , 	16 , 	13 , 	50 , 	30 , 	224 , 	180 , 	270 , 	212 , 	214 , 	95 , 	32 , 	21 , 	25 , 	6 , 	3 , 	13 , 	5 , 	8 , 	7 , 	8 , 	53 , 	17 , 	3 , 	12 , 	14 , 	11 , 	15 , 	4 , 	8 ," 	2,219 ",,,,,,,,,,
12, 	41 , 	59 , 	40 , 	28 , 	117 , 	36 , 	43 , 	8 , 	25 , 	6 , 	32 , 	31 , 	36 , 	34 , 	28 , 	15 , 	11 , 	19 , 	23 , 	17 , 	27 , 	12 , 	11 , 	36 , 	32 , 	234 , 	150 , 	317 , 	203 , 	143 , 	87 , 	26 , 	32 , 	23 , 	11 , 	4 , 	8 , 	3 , 	14 , 	9 , 	14 , 	51 , 	21 , 	3 , 	9 , 	8 , 	12 , 	23 , 	4 , 	14 ," 	2,183 ",,,,,,,,,,
LM, 	15 , 	16 , 	12 , 	10 , 	33 , 	19 , 	15 , 	7 , 	6 , 	16 , 	59 , 	52 , 	90 , 	73 , 	49 , 	17 , 	23 , 	25 , 	5 , 	2 , 	3 , 	3 , 	2 , 	9 , 	19 , 	176 , 	122 , 	236 , 	150 , 	139 , 	74 , 	20 , 	14 , 	18 , 	3 , 	34 , 	53 , 	1 , 	3 , 	3 , 	3 , 	9 , 	3 , 	18 , 	15 , 	15 , 	22 , 	28 , 	4 , 	4 ," 	1,740 ",,,,,,,,,,
FV, 	34 , 	38 , 	16 , 	27 , 	58 , 	28 , 	45 , 	35 , 	32 , 	38 , 	21 , 	70 , 	72 , 	96 , 	67 , 	33 , 	28 , 	26 , 	8 , 	5 , 	10 , 	7 , 	4 , 	20 , 	51 , 	156 , 	109 , 	268 , 	185 , 	124 , 	79 , 	23 , 	19 , 	21 , 	3 , 	26 , 	44 , 	2 , 	5 , 	5 , 	6 , 	17 , 	3 , 	24 , 	6 , 	31 , 	22 , 	31 , 	4 , 	7 ," 	2,084 ",,,,,,,,,,
