Exit stations,Entry stations->,,TOTAL,,,Jul 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	696 ," 	1,649 "," 	1,629 ", 	893 ," 	6,062 "," 	1,193 "," 	1,791 "," 	1,381 "," 	1,886 ", 	522 ," 	1,388 ", 	969 , 	647 , 	339 , 	395 , 	229 , 	170 , 	214 , 	376 , 	196 , 	325 , 	169 , 	142 , 	336 , 	501 ," 	5,012 "," 	3,647 "," 	6,416 "," 	3,492 "," 	2,380 "," 	2,728 ", 	642 , 	599 , 	523 , 	308 , 	107 , 	152 , 	66 , 	183 , 	174 , 	354 ," 	1,272 ", 	363 , 	52 , 	228 , 	290 , 	195 , 	277 , 	151 , 	234 ," 	53,943 ",,,,,,,,,,,,,
EN," 	1,920 ", 	518 ," 	1,217 "," 	1,101 "," 	8,229 "," 	1,580 "," 	2,711 "," 	3,134 "," 	4,575 ", 	871 ," 	1,998 "," 	1,509 ", 	794 , 	547 , 	514 , 	225 , 	396 , 	403 , 	398 , 	250 , 	460 , 	163 , 	155 , 	491 , 	547 ," 	9,736 "," 	7,593 "," 	11,099 "," 	7,045 "," 	3,245 "," 	2,608 ", 	807 , 	832 ," 	1,116 ", 	283 , 	110 , 	305 , 	70 , 	205 , 	296 , 	470 ," 	1,847 ", 	595 , 	199 , 	652 , 	507 , 	354 , 	457 , 	104 , 	215 ," 	85,456 ",,,,,,,,,,,,,
EP," 	1,656 "," 	1,206 ", 	256 , 	773 ," 	6,045 "," 	1,200 "," 	1,600 "," 	1,979 "," 	2,503 ", 	674 , 	660 , 	700 , 	390 , 	237 , 	207 , 	176 , 	210 , 	208 , 	225 , 	193 , 	259 , 	188 , 	112 , 	367 , 	201 ," 	6,022 "," 	4,530 "," 	3,969 "," 	3,267 "," 	1,425 ", 	937 , 	419 , 	247 , 	287 , 	86 , 	69 , 	121 , 	48 , 	94 , 	105 , 	103 ," 	1,385 ", 	297 , 	82 , 	468 , 	143 , 	209 , 	182 , 	39 , 	74 ," 	46,833 ",,,,,,,,,,,,,
NB," 	1,055 "," 	1,089 ", 	779 , 	316 ," 	1,553 ", 	594 ," 	1,078 "," 	1,729 "," 	1,808 ", 	440 , 	894 , 	655 , 	380 , 	150 , 	236 , 	122 , 	161 , 	236 , 	207 , 	195 , 	289 , 	117 , 	67 , 	134 , 	210 ," 	6,759 "," 	4,761 "," 	3,299 "," 	3,820 "," 	1,794 "," 	1,188 ", 	523 , 	269 , 	222 , 	131 , 	40 , 	160 , 	23 , 	97 , 	98 , 	96 ," 	1,817 ", 	377 , 	75 , 	461 , 	195 , 	189 , 	252 , 	47 , 	77 ," 	41,264 ",,,,,,,,,,,,,
BK," 	6,579 "," 	8,875 "," 	6,299 "," 	1,820 "," 	1,079 "," 	3,323 "," 	3,637 "," 	4,753 "," 	5,431 "," 	1,709 "," 	3,243 "," 	1,814 "," 	2,041 "," 	1,491 "," 	1,517 ", 	939 ," 	1,893 "," 	1,863 ", 	969 , 	832 ," 	1,106 ", 	631 , 	480 , 	313 , 	985 ," 	11,895 "," 	8,235 "," 	9,267 "," 	6,589 "," 	3,704 "," 	2,909 "," 	1,578 ", 	938 ," 	1,069 ", 	434 , 	489 ," 	1,678 ", 	189 , 	680 , 	426 , 	320 ," 	3,035 "," 	1,725 ", 	538 , 	979 ," 	1,290 "," 	1,583 "," 	2,002 ", 	255 , 	566 ," 	125,995 ",,,,,,,,,,,,,
AS," 	1,328 "," 	1,577 "," 	1,097 ", 	657 ," 	3,036 ", 	341 , 	962 ," 	1,780 "," 	2,096 ", 	575 ," 	1,320 ", 	808 , 	495 , 	388 , 	345 , 	231 , 	276 , 	233 , 	180 , 	210 , 	200 , 	147 , 	59 , 	137 , 	358 ," 	6,123 "," 	4,465 "," 	3,968 "," 	3,984 "," 	2,183 "," 	1,327 ", 	508 , 	326 , 	247 , 	72 , 	85 , 	211 , 	47 , 	130 , 	94 , 	178 ," 	1,307 ", 	364 , 	48 , 	371 , 	185 , 	268 , 	320 , 	62 , 	210 ," 	45,919 ",,,,,,,,,,,,,
MA," 	2,394 "," 	2,666 "," 	1,480 "," 	1,129 "," 	3,607 "," 	1,093 ", 	621 ," 	1,978 "," 	2,174 ", 	577 ," 	2,286 "," 	1,688 "," 	1,331 ", 	771 , 	952 , 	575 , 	662 , 	654 ," 	1,545 "," 	1,130 "," 	1,534 ", 	649 , 	483 , 	929 , 	710 ," 	10,607 "," 	7,920 "," 	7,886 "," 	6,885 "," 	4,665 "," 	2,761 ", 	944 , 	731 , 	696 , 	265 , 	147 , 	567 , 	294 ," 	1,153 ", 	259 , 	290 ," 	2,100 ", 	583 , 	213 , 	444 , 	450 , 	565 , 	620 , 	498 ," 	1,367 "," 	86,528 ",,,,,,,,,,,,,
19," 	1,439 "," 	3,281 "," 	2,003 "," 	1,920 "," 	4,382 "," 	1,859 "," 	2,094 ", 	665 , 	500 , 	347 ," 	1,582 "," 	1,688 "," 	1,831 "," 	1,327 "," 	1,479 ", 	876 ," 	1,050 "," 	1,213 "," 	1,708 "," 	1,726 "," 	1,907 "," 	1,035 ", 	787 ," 	1,510 "," 	1,047 "," 	12,364 "," 	9,623 "," 	8,942 "," 	8,116 "," 	4,799 "," 	3,158 "," 	1,481 "," 	1,038 "," 	1,189 ", 	413 , 	327 ," 	1,144 ", 	370 , 	888 , 	431 , 	418 ," 	1,713 ", 	761 , 	463 , 	502 , 	716 , 	804 , 	969 , 	342 ," 	1,215 "," 	101,442 ",,,,,,,,,,,,,
12," 	1,917 "," 	4,328 "," 	2,333 "," 	1,775 "," 	4,702 "," 	1,963 "," 	2,266 ", 	446 , 	740 , 	319 ," 	1,550 "," 	1,983 "," 	2,543 "," 	2,146 "," 	1,723 "," 	1,185 "," 	1,575 "," 	1,443 "," 	1,913 "," 	2,020 "," 	2,301 ", 	951 , 	793 ," 	1,495 "," 	1,096 "," 	12,115 "," 	8,406 "," 	10,388 "," 	7,392 "," 	4,176 "," 	2,977 "," 	1,681 "," 	1,534 "," 	1,479 ", 	670 , 	314 ," 	1,672 ", 	432 ," 	1,528 ", 	719 , 	725 ," 	2,503 ", 	952 , 	456 , 	510 , 	692 , 	763 , 	968 , 	439 ," 	1,587 "," 	110,584 ",,,,,,,,,,,,,
LM, 	409 , 	889 , 	570 , 	379 ," 	1,491 ", 	634 , 	654 , 	305 , 	310 , 	398 ," 	2,072 "," 	2,803 "," 	3,805 "," 	3,081 "," 	1,712 "," 	1,212 "," 	1,040 "," 	1,248 ", 	271 , 	180 , 	306 , 	86 , 	96 , 	220 , 	474 ," 	8,770 "," 	6,943 "," 	7,361 "," 	5,974 "," 	3,137 "," 	2,118 ", 	829 , 	670 , 	652 , 	134 ," 	1,317 "," 	2,112 ", 	76 , 	170 , 	134 , 	103 , 	466 , 	159 ," 	1,000 ", 	527 , 	868 , 	694 , 	879 , 	135 , 	302 ," 	70,175 ",,,,,,,,,,,,,
FV," 	1,354 "," 	1,870 ", 	605 , 	764 ," 	3,079 "," 	1,369 "," 	2,068 "," 	1,728 "," 	1,565 "," 	1,810 ", 	768 ," 	3,219 "," 	3,343 "," 	3,381 "," 	2,861 "," 	1,465 "," 	1,102 "," 	1,215 ", 	410 , 	247 , 	479 , 	283 , 	290 , 	519 ," 	1,797 "," 	8,563 "," 	6,733 "," 	9,746 "," 	7,717 "," 	3,683 "," 	2,837 "," 	1,008 ", 	870 , 	898 , 	153 , 	853 ," 	2,027 ", 	78 , 	217 , 	144 , 	285 , 	954 , 	208 , 	923 , 	228 ," 	1,069 ", 	706 , 	826 , 	125 , 	337 ," 	88,779 ",,,,,,,,,,,,,
