Exit stations,Entry stations->,,SUNDAY,,,Aug 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
RM, 	34 , 	34 , 	33 , 	16 , 	112 , 	23 , 	38 , 	23 , 	31 , 	20 , 	27 , 	27 , 	11 , 	6 , 	8 , 	4 , 	1 , 	2 , 	7 , 	2 , 	8 , 	4 , 	0 , 	6 , 	8 , 	75 , 	38 , 	125 , 	46 , 	39 , 	41 , 	12 , 	16 , 	13 , 	3 , 	3 , 	6 , 	2 , 	3 , 	3 , 	4 , 	35 , 	6 , 	-   , 	6 , 	5 , 	5 , 	9 , 	2 , 	5 , 	980 ,,,,,,,,,,,
EN, 	46 , 	19 , 	28 , 	16 , 	129 , 	32 , 	39 , 	35 , 	48 , 	19 , 	37 , 	79 , 	18 , 	11 , 	10 , 	4 , 	7 , 	4 , 	9 , 	5 , 	9 , 	4 , 	1 , 	12 , 	9 , 	108 , 	81 , 	212 , 	90 , 	51 , 	34 , 	15 , 	18 , 	14 , 	10 , 	2 , 	5 , 	2 , 	3 , 	4 , 	7 , 	51 , 	8 , 	3 , 	18 , 	7 , 	10 , 	16 , 	2 , 	5 ," 	1,399 ",,,,,,,,,,,
EP, 	44 , 	24 , 	8 , 	14 , 	115 , 	25 , 	23 , 	27 , 	30 , 	12 , 	16 , 	58 , 	5 , 	4 , 	5 , 	4 , 	3 , 	3 , 	5 , 	4 , 	9 , 	6 , 	1 , 	8 , 	3 , 	79 , 	52 , 	99 , 	54 , 	26 , 	18 , 	8 , 	8 , 	7 , 	2 , 	1 , 	4 , 	1 , 	2 , 	2 , 	3 , 	39 , 	4 , 	2 , 	14 , 	1 , 	3 , 	5 , 	1 , 	2 , 	890 ,,,,,,,,,,,
NB, 	20 , 	23 , 	15 , 	10 , 	26 , 	18 , 	28 , 	32 , 	27 , 	14 , 	19 , 	46 , 	7 , 	6 , 	5 , 	2 , 	4 , 	4 , 	6 , 	2 , 	6 , 	3 , 	2 , 	4 , 	5 , 	109 , 	72 , 	99 , 	67 , 	46 , 	30 , 	12 , 	9 , 	7 , 	2 , 	2 , 	5 , 	1 , 	3 , 	1 , 	3 , 	50 , 	14 , 	1 , 	14 , 	4 , 	7 , 	10 , 	0 , 	1 , 	899 ,,,,,,,,,,,
BK, 	122 , 	132 , 	125 , 	31 , 	36 , 	56 , 	61 , 	71 , 	92 , 	24 , 	48 , 	212 , 	27 , 	24 , 	23 , 	14 , 	36 , 	25 , 	9 , 	9 , 	19 , 	10 , 	6 , 	5 , 	23 , 	275 , 	238 , 	304 , 	173 , 	100 , 	54 , 	31 , 	21 , 	27 , 	8 , 	5 , 	24 , 	2 , 	6 , 	7 , 	7 , 	120 , 	44 , 	11 , 	30 , 	15 , 	48 , 	65 , 	2 , 	8 ," 	2,860 ",,,,,,,,,,,
AS, 	24 , 	36 , 	27 , 	16 , 	46 , 	10 , 	20 , 	34 , 	32 , 	17 , 	29 , 	56 , 	10 , 	8 , 	9 , 	4 , 	7 , 	3 , 	4 , 	4 , 	5 , 	4 , 	1 , 	3 , 	8 , 	102 , 	68 , 	98 , 	81 , 	55 , 	36 , 	11 , 	11 , 	7 , 	1 , 	2 , 	4 , 	1 , 	2 , 	1 , 	3 , 	44 , 	11 , 	1 , 	10 , 	3 , 	8 , 	13 , 	1 , 	3 , 	992 ,,,,,,,,,,,
MA, 	40 , 	47 , 	27 , 	26 , 	63 , 	26 , 	23 , 	30 , 	34 , 	14 , 	50 , 	102 , 	19 , 	18 , 	14 , 	5 , 	7 , 	6 , 	24 , 	13 , 	22 , 	9 , 	5 , 	24 , 	18 , 	159 , 	101 , 	184 , 	136 , 	100 , 	63 , 	19 , 	15 , 	13 , 	3 , 	1 , 	5 , 	4 , 	12 , 	4 , 	3 , 	80 , 	11 , 	3 , 	18 , 	6 , 	11 , 	17 , 	7 , 	14 ," 	1,649 ",,,,,,,,,,,
19, 	24 , 	31 , 	28 , 	37 , 	74 , 	37 , 	35 , 	23 , 	9 , 	5 , 	21 , 	79 , 	22 , 	17 , 	13 , 	11 , 	11 , 	10 , 	19 , 	13 , 	30 , 	14 , 	7 , 	32 , 	21 , 	157 , 	113 , 	208 , 	146 , 	117 , 	67 , 	23 , 	14 , 	20 , 	4 , 	1 , 	4 , 	4 , 	6 , 	4 , 	7 , 	57 , 	11 , 	2 , 	14 , 	7 , 	8 , 	14 , 	5 , 	6 ," 	1,635 ",,,,,,,,,,,
12, 	29 , 	44 , 	25 , 	27 , 	82 , 	29 , 	39 , 	6 , 	24 , 	6 , 	16 , 	56 , 	26 , 	26 , 	18 , 	8 , 	11 , 	7 , 	17 , 	17 , 	23 , 	11 , 	8 , 	20 , 	27 , 	186 , 	109 , 	241 , 	137 , 	75 , 	61 , 	22 , 	20 , 	24 , 	9 , 	1 , 	6 , 	2 , 	8 , 	6 , 	15 , 	81 , 	16 , 	1 , 	15 , 	8 , 	11 , 	18 , 	3 , 	10 ," 	1,681 ",,,,,,,,,,,
LM, 	15 , 	17 , 	13 , 	15 , 	25 , 	13 , 	13 , 	4 , 	7 , 	14 , 	66 , 	142 , 	62 , 	73 , 	33 , 	18 , 	20 , 	15 , 	5 , 	2 , 	6 , 	2 , 	3 , 	5 , 	12 , 	125 , 	91 , 	187 , 	125 , 	72 , 	54 , 	21 , 	21 , 	18 , 	2 , 	21 , 	40 , 	0 , 	3 , 	2 , 	1 , 	13 , 	2 , 	14 , 	16 , 	14 , 	16 , 	26 , 	2 , 	4 ," 	1,485 ",,,,,,,,,,,
FV, 	28 , 	37 , 	15 , 	19 , 	50 , 	31 , 	44 , 	26 , 	17 , 	54 , 	25 , 	129 , 	52 , 	85 , 	53 , 	26 , 	17 , 	19 , 	8 , 	5 , 	8 , 	2 , 	2 , 	9 , 	44 , 	118 , 	73 , 	204 , 	121 , 	59 , 	55 , 	16 , 	19 , 	13 , 	3 , 	17 , 	33 , 	4 , 	7 , 	2 , 	6 , 	25 , 	5 , 	31 , 	11 , 	12 , 	14 , 	33 , 	2 , 	4 ," 	1,686 ",,,,,,,,,,,
