Exit stations,Entry stations->,,SUNDAY,,,Nov 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
RM, 	14 , 	37 , 	33 , 	15 , 	111 , 	25 , 	35 , 	20 , 	26 , 	13 , 	28 , 	17 , 	9 , 	8 , 	7 , 	3 , 	3 , 	4 , 	7 , 	5 , 	8 , 	4 , 	3 , 	7 , 	9 , 	73 , 	35 , 	114 , 	45 , 	40 , 	40 , 	14 , 	16 , 	18 , 	2 , 	2 , 	4 , 	2 , 	4 , 	6 , 	7 , 	37 , 	10 , 	1 , 	6 , 	3 , 	6 , 	9 , 	2 , 	4 , 	942 ,,,,,,,,,,,
EN, 	44 , 	11 , 	25 , 	20 , 	138 , 	27 , 	43 , 	42 , 	47 , 	22 , 	36 , 	24 , 	17 , 	12 , 	13 , 	5 , 	5 , 	5 , 	11 , 	7 , 	9 , 	3 , 	-   , 	11 , 	7 , 	92 , 	74 , 	197 , 	91 , 	43 , 	35 , 	15 , 	17 , 	16 , 	7 , 	1 , 	5 , 	1 , 	5 , 	5 , 	7 , 	60 , 	9 , 	4 , 	15 , 	7 , 	13 , 	17 , 	1 , 	4 ," 	1,321 ",,,,,,,,,,,
EP, 	38 , 	24 , 	6 , 	14 , 	137 , 	25 , 	32 , 	28 , 	30 , 	10 , 	16 , 	7 , 	7 , 	6 , 	4 , 	2 , 	3 , 	6 , 	3 , 	4 , 	10 , 	4 , 	2 , 	9 , 	4 , 	67 , 	41 , 	92 , 	60 , 	28 , 	19 , 	10 , 	5 , 	3 , 	2 , 	2 , 	5 , 	1 , 	2 , 	2 , 	2 , 	34 , 	7 , 	1 , 	17 , 	2 , 	5 , 	7 , 	0 , 	2 , 	842 ,,,,,,,,,,,
NB, 	24 , 	20 , 	19 , 	7 , 	26 , 	22 , 	22 , 	37 , 	23 , 	10 , 	22 , 	6 , 	7 , 	6 , 	7 , 	2 , 	4 , 	5 , 	4 , 	3 , 	9 , 	4 , 	2 , 	4 , 	6 , 	88 , 	55 , 	103 , 	91 , 	46 , 	28 , 	9 , 	6 , 	9 , 	2 , 	1 , 	5 , 	0 , 	1 , 	2 , 	2 , 	56 , 	6 , 	2 , 	27 , 	6 , 	7 , 	10 , 	1 , 	2 , 	858 ,,,,,,,,,,,
BK, 	142 , 	143 , 	144 , 	42 , 	26 , 	63 , 	64 , 	87 , 	98 , 	31 , 	50 , 	25 , 	30 , 	22 , 	27 , 	12 , 	32 , 	30 , 	12 , 	10 , 	16 , 	9 , 	6 , 	9 , 	22 , 	238 , 	163 , 	283 , 	172 , 	93 , 	71 , 	47 , 	18 , 	33 , 	8 , 	7 , 	29 , 	2 , 	6 , 	9 , 	9 , 	233 , 	65 , 	10 , 	165 , 	21 , 	80 , 	134 , 	1 , 	4 ," 	3,048 ",,,,,,,,,,,
AS, 	25 , 	31 , 	25 , 	22 , 	57 , 	9 , 	21 , 	39 , 	35 , 	16 , 	25 , 	9 , 	7 , 	7 , 	7 , 	4 , 	8 , 	4 , 	4 , 	3 , 	7 , 	2 , 	1 , 	4 , 	11 , 	81 , 	62 , 	101 , 	72 , 	54 , 	30 , 	12 , 	8 , 	9 , 	2 , 	1 , 	5 , 	0 , 	3 , 	2 , 	3 , 	51 , 	4 , 	2 , 	21 , 	2 , 	9 , 	11 , 	1 , 	2 , 	927 ,,,,,,,,,,,
MA, 	36 , 	39 , 	28 , 	20 , 	75 , 	26 , 	11 , 	37 , 	40 , 	15 , 	41 , 	20 , 	23 , 	16 , 	14 , 	5 , 	8 , 	8 , 	25 , 	13 , 	30 , 	8 , 	5 , 	22 , 	15 , 	119 , 	89 , 	174 , 	114 , 	90 , 	57 , 	18 , 	13 , 	15 , 	3 , 	2 , 	9 , 	2 , 	15 , 	3 , 	3 , 	73 , 	9 , 	5 , 	18 , 	6 , 	13 , 	16 , 	5 , 	13 ," 	1,455 ",,,,,,,,,,,
19, 	22 , 	41 , 	34 , 	36 , 	86 , 	38 , 	35 , 	10 , 	7 , 	9 , 	24 , 	25 , 	25 , 	18 , 	15 , 	8 , 	11 , 	12 , 	13 , 	13 , 	26 , 	8 , 	12 , 	31 , 	17 , 	139 , 	96 , 	193 , 	131 , 	94 , 	59 , 	19 , 	12 , 	18 , 	2 , 	2 , 	8 , 	4 , 	8 , 	4 , 	5 , 	64 , 	10 , 	2 , 	18 , 	9 , 	11 , 	17 , 	3 , 	8 ," 	1,505 ",,,,,,,,,,,
12, 	27 , 	41 , 	25 , 	30 , 	85 , 	31 , 	35 , 	8 , 	8 , 	6 , 	17 , 	24 , 	22 , 	23 , 	16 , 	10 , 	12 , 	6 , 	15 , 	12 , 	21 , 	7 , 	9 , 	30 , 	18 , 	135 , 	96 , 	219 , 	121 , 	76 , 	57 , 	20 , 	16 , 	15 , 	7 , 	2 , 	5 , 	3 , 	8 , 	7 , 	11 , 	91 , 	13 , 	1 , 	13 , 	3 , 	10 , 	10 , 	2 , 	6 ," 	1,480 ",,,,,,,,,,,
LM, 	13 , 	18 , 	10 , 	7 , 	30 , 	14 , 	11 , 	7 , 	5 , 	7 , 	58 , 	34 , 	59 , 	53 , 	27 , 	19 , 	15 , 	15 , 	3 , 	5 , 	3 , 	1 , 	1 , 	5 , 	14 , 	109 , 	75 , 	158 , 	85 , 	62 , 	53 , 	18 , 	20 , 	12 , 	2 , 	22 , 	37 , 	0 , 	4 , 	1 , 	4 , 	11 , 	3 , 	14 , 	22 , 	14 , 	19 , 	21 , 	1 , 	2 ," 	1,199 ",,,,,,,,,,,
FV, 	30 , 	34 , 	14 , 	19 , 	58 , 	26 , 	35 , 	28 , 	22 , 	57 , 	19 , 	52 , 	53 , 	71 , 	49 , 	23 , 	19 , 	15 , 	10 , 	7 , 	12 , 	2 , 	2 , 	14 , 	31 , 	95 , 	77 , 	194 , 	115 , 	75 , 	55 , 	20 , 	12 , 	12 , 	3 , 	18 , 	29 , 	2 , 	6 , 	4 , 	4 , 	27 , 	5 , 	19 , 	11 , 	10 , 	17 , 	24 , 	5 , 	7 ," 	1,544 ",,,,,,,,,,,
