Exit stations,Entry stations->,,TOTAL,,,Nov 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	422 ," 	1,755 "," 	1,703 ", 	968 ," 	6,761 "," 	1,321 "," 	2,049 "," 	1,529 "," 	1,810 ", 	573 ," 	1,330 "," 	1,013 ", 	587 , 	347 , 	471 , 	257 , 	151 , 	249 , 	290 , 	197 , 	353 , 	173 , 	126 , 	292 , 	521 ," 	4,553 "," 	3,699 "," 	6,043 "," 	3,645 "," 	2,572 "," 	2,711 ", 	726 , 	893 ," 	1,257 ", 	269 , 	90 , 	156 , 	84 , 	201 , 	273 , 	356 ," 	1,217 ", 	337 , 	59 , 	245 , 	319 , 	214 , 	271 , 	99 , 	267 ," 	55,804 ",,,,,,,,,,,,,
EN," 	1,970 ", 	505 ," 	1,530 "," 	1,185 "," 	9,872 "," 	1,555 "," 	2,797 "," 	3,438 "," 	4,480 "," 	1,089 "," 	1,822 "," 	1,114 ", 	897 , 	560 , 	743 , 	248 , 	413 , 	439 , 	452 , 	289 , 	456 , 	157 , 	143 , 	483 , 	538 ," 	8,910 "," 	7,500 "," 	11,351 "," 	7,288 "," 	3,450 "," 	2,774 "," 	1,073 "," 	1,041 "," 	2,151 ", 	333 , 	127 , 	244 , 	60 , 	224 , 	440 , 	444 ," 	1,898 ", 	625 , 	157 , 	608 , 	461 , 	334 , 	564 , 	64 , 	186 ," 	89,482 ",,,,,,,,,,,,,
EP," 	1,803 "," 	1,378 ", 	241 , 	751 ," 	7,785 "," 	1,163 "," 	1,684 "," 	2,266 "," 	2,555 ", 	636 , 	685 , 	317 , 	437 , 	250 , 	195 , 	94 , 	185 , 	214 , 	235 , 	225 , 	316 , 	172 , 	103 , 	344 , 	176 ," 	5,433 "," 	4,604 "," 	4,576 "," 	3,716 "," 	1,337 ", 	980 , 	445 , 	356 , 	634 , 	74 , 	78 , 	139 , 	66 , 	126 , 	93 , 	165 ," 	1,302 ", 	262 , 	70 , 	483 , 	142 , 	185 , 	233 , 	18 , 	90 ," 	49,817 ",,,,,,,,,,,,,
NB," 	1,076 ", 	980 , 	787 , 	278 ," 	1,932 ", 	676 ," 	1,072 "," 	2,080 "," 	1,785 ", 	568 , 	957 , 	448 , 	421 , 	246 , 	274 , 	121 , 	179 , 	208 , 	248 , 	150 , 	290 , 	113 , 	98 , 	231 , 	233 ," 	5,977 "," 	4,631 "," 	3,824 "," 	4,566 "," 	1,966 "," 	1,213 ", 	421 , 	433 , 	382 , 	121 , 	37 , 	123 , 	38 , 	101 , 	90 , 	116 ," 	1,734 ", 	299 , 	58 , 	624 , 	158 , 	177 , 	303 , 	37 , 	63 ," 	42,943 ",,,,,,,,,,,,,
BK," 	7,535 "," 	10,267 "," 	8,178 "," 	2,291 "," 	1,031 "," 	3,892 "," 	4,164 "," 	5,499 "," 	5,964 "," 	2,193 "," 	3,594 "," 	2,141 "," 	2,110 "," 	1,630 "," 	1,631 "," 	1,033 "," 	1,692 "," 	1,518 "," 	1,100 "," 	1,119 "," 	1,369 ", 	688 , 	412 , 	435 ," 	1,090 "," 	9,641 "," 	7,936 "," 	9,418 "," 	7,217 "," 	4,020 "," 	3,386 "," 	1,915 "," 	1,223 "," 	1,392 ", 	438 , 	465 ," 	1,117 ", 	179 , 	609 , 	436 , 	392 ," 	4,304 "," 	1,766 ", 	418 ," 	2,418 ", 	728 ," 	1,649 "," 	2,581 ", 	224 , 	537 ," 	136,985 ",,,,,,,,,,,,,
AS," 	1,481 "," 	1,471 "," 	1,165 ", 	772 ," 	3,538 ", 	299 ," 	1,032 "," 	1,979 "," 	2,082 ", 	641 ," 	1,364 ", 	702 , 	640 , 	416 , 	355 , 	209 , 	258 , 	237 , 	261 , 	204 , 	230 , 	97 , 	81 , 	133 , 	307 ," 	5,271 "," 	4,528 "," 	4,094 "," 	4,377 "," 	2,231 "," 	1,411 ", 	487 , 	442 , 	501 , 	88 , 	72 , 	191 , 	28 , 	167 , 	117 , 	182 ," 	1,240 ", 	329 , 	76 , 	424 , 	196 , 	251 , 	358 , 	59 , 	128 ," 	47,202 ",,,,,,,,,,,,,
MA," 	2,329 "," 	2,701 "," 	1,545 "," 	1,135 "," 	4,056 "," 	1,087 ", 	487 ," 	2,120 "," 	2,338 ", 	675 ," 	2,276 "," 	1,474 "," 	1,467 ", 	830 , 	824 , 	615 , 	557 , 	646 ," 	1,949 "," 	1,256 "," 	1,704 ", 	709 , 	510 ," 	1,026 ", 	736 ," 	9,279 "," 	7,770 "," 	7,886 "," 	7,587 "," 	4,578 "," 	2,851 ", 	971 , 	975 , 	992 , 	245 , 	189 , 	536 , 	314 ," 	1,407 ", 	230 , 	265 ," 	2,092 ", 	446 , 	255 , 	487 , 	491 , 	498 , 	671 , 	481 ," 	1,508 "," 	88,056 ",,,,,,,,,,,,,
19," 	1,654 "," 	3,589 "," 	2,259 "," 	2,164 "," 	5,291 "," 	2,072 "," 	2,244 ", 	630 , 	557 , 	415 ," 	1,940 "," 	1,559 "," 	1,924 "," 	1,337 "," 	1,466 ", 	785 ," 	1,257 "," 	1,289 "," 	1,879 "," 	1,963 "," 	2,301 "," 	1,137 ", 	899 ," 	1,970 ", 	856 ," 	11,887 "," 	9,943 "," 	9,242 "," 	8,958 "," 	5,055 "," 	3,452 "," 	1,602 "," 	1,166 "," 	1,475 ", 	428 , 	283 ," 	1,044 ", 	545 ," 	1,044 ", 	578 , 	527 ," 	1,879 ", 	827 , 	484 , 	505 , 	763 , 	790 ," 	1,036 ", 	366 ," 	1,234 "," 	108,550 ",,,,,,,,,,,,,
12," 	2,022 "," 	4,244 "," 	2,381 "," 	1,855 "," 	5,213 "," 	1,979 "," 	2,308 ", 	615 , 	647 , 	342 ," 	1,649 "," 	1,722 "," 	2,555 "," 	2,065 "," 	1,743 "," 	1,173 "," 	1,684 "," 	1,435 "," 	2,041 "," 	2,200 "," 	2,416 "," 	1,074 ", 	956 ," 	1,731 ", 	956 ," 	11,309 "," 	8,475 "," 	10,033 "," 	7,961 "," 	3,899 "," 	3,179 "," 	1,589 "," 	1,628 "," 	1,864 ", 	620 , 	304 ," 	1,264 ", 	570 ," 	1,451 ", 	716 , 	744 ," 	2,272 ", 	800 , 	352 , 	568 , 	604 , 	569 , 	865 , 	374 ," 	1,691 "," 	110,707 ",,,,,,,,,,,,,
LM, 	590 ," 	1,013 ", 	614 , 	523 ," 	2,283 ", 	652 , 	713 , 	393 , 	345 , 	383 ," 	2,543 "," 	2,334 "," 	3,796 "," 	2,876 "," 	1,796 "," 	1,205 "," 	1,211 "," 	1,088 ", 	257 , 	203 , 	243 , 	123 , 	78 , 	263 , 	446 ," 	7,332 "," 	6,058 "," 	6,907 "," 	5,709 "," 	2,682 "," 	1,959 ", 	785 , 	926 , 	900 , 	136 ," 	1,584 "," 	2,470 ", 	87 , 	232 , 	102 , 	163 , 	435 , 	118 ," 	1,160 ", 	505 , 	975 , 	713 , 	845 , 	136 , 	302 ," 	69,192 ",,,,,,,,,,,,,
FV," 	1,347 "," 	1,739 ", 	663 , 	798 ," 	3,378 "," 	1,406 "," 	2,208 "," 	1,975 "," 	1,659 "," 	2,254 ", 	766 ," 	2,919 "," 	3,762 "," 	3,616 "," 	3,113 "," 	1,357 "," 	1,261 "," 	1,225 ", 	461 , 	243 , 	409 , 	252 , 	267 , 	648 ," 	1,659 "," 	7,875 "," 	6,940 "," 	9,376 "," 	8,032 "," 	4,045 "," 	3,190 ", 	912 ," 	1,203 "," 	1,798 ", 	143 , 	887 ," 	1,992 ", 	109 , 	314 , 	198 , 	280 ," 	1,021 ", 	201 , 	885 , 	280 ," 	1,157 ", 	717 , 	922 , 	151 , 	362 ," 	92,375 ",,,,,,,,,,,,,
