Exit stations,Entry stations->,,SUNDAY,,,Dec 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
RM, 	15 , 	30 , 	31 , 	12 , 	86 , 	20 , 	37 , 	23 , 	21 , 	11 , 	21 , 	15 , 	11 , 	7 , 	11 , 	3 , 	2 , 	3 , 	6 , 	4 , 	6 , 	4 , 	2 , 	7 , 	11 , 	57 , 	37 , 	122 , 	43 , 	37 , 	40 , 	12 , 	14 , 	9 , 	3 , 	1 , 	3 , 	0 , 	2 , 	5 , 	5 , 	26 , 	5 , 	0 , 	4 , 	2 , 	6 , 	5 , 	3 , 	3 , 	843 ,,,,,,,,,,,
EN, 	35 , 	10 , 	28 , 	23 , 	90 , 	23 , 	37 , 	33 , 	44 , 	14 , 	34 , 	14 , 	13 , 	12 , 	12 , 	6 , 	6 , 	6 , 	12 , 	5 , 	8 , 	4 , 	2 , 	8 , 	6 , 	107 , 	79 , 	199 , 	74 , 	45 , 	32 , 	16 , 	14 , 	19 , 	8 , 	3 , 	4 , 	0 , 	4 , 	4 , 	6 , 	46 , 	9 , 	4 , 	14 , 	7 , 	9 , 	15 , 	1 , 	3 ," 	1,204 ",,,,,,,,,,,
EP, 	43 , 	23 , 	6 , 	21 , 	100 , 	21 , 	29 , 	34 , 	29 , 	11 , 	12 , 	7 , 	5 , 	4 , 	2 , 	3 , 	2 , 	4 , 	4 , 	4 , 	8 , 	4 , 	1 , 	10 , 	2 , 	74 , 	51 , 	98 , 	57 , 	21 , 	15 , 	6 , 	5 , 	6 , 	1 , 	1 , 	3 , 	0 , 	3 , 	2 , 	1 , 	34 , 	5 , 	1 , 	12 , 	2 , 	3 , 	6 , 	0 , 	2 , 	797 ,,,,,,,,,,,
NB, 	12 , 	22 , 	21 , 	8 , 	18 , 	21 , 	18 , 	36 , 	18 , 	9 , 	14 , 	6 , 	8 , 	7 , 	3 , 	2 , 	3 , 	4 , 	2 , 	2 , 	6 , 	3 , 	1 , 	5 , 	6 , 	85 , 	54 , 	102 , 	66 , 	39 , 	25 , 	12 , 	3 , 	4 , 	1 , 	1 , 	4 , 	0 , 	2 , 	2 , 	2 , 	42 , 	4 , 	1 , 	13 , 	3 , 	6 , 	6 , 	1 , 	2 , 	733 ,,,,,,,,,,,
BK, 	98 , 	97 , 	100 , 	23 , 	23 , 	53 , 	54 , 	74 , 	73 , 	26 , 	43 , 	14 , 	20 , 	21 , 	16 , 	7 , 	16 , 	20 , 	7 , 	10 , 	25 , 	11 , 	6 , 	7 , 	22 , 	180 , 	120 , 	224 , 	109 , 	58 , 	51 , 	30 , 	10 , 	14 , 	4 , 	4 , 	15 , 	2 , 	3 , 	3 , 	6 , 	72 , 	21 , 	7 , 	25 , 	8 , 	24 , 	42 , 	1 , 	5 ," 	1,904 ",,,,,,,,,,,
AS, 	20 , 	27 , 	22 , 	16 , 	42 , 	5 , 	19 , 	28 , 	28 , 	13 , 	23 , 	9 , 	11 , 	6 , 	7 , 	4 , 	6 , 	4 , 	4 , 	2 , 	4 , 	3 , 	1 , 	4 , 	7 , 	65 , 	51 , 	98 , 	62 , 	32 , 	38 , 	12 , 	6 , 	7 , 	1 , 	1 , 	5 , 	1 , 	1 , 	1 , 	2 , 	34 , 	5 , 	1 , 	10 , 	2 , 	6 , 	9 , 	0 , 	1 , 	767 ,,,,,,,,,,,
MA, 	35 , 	34 , 	25 , 	16 , 	53 , 	21 , 	12 , 	33 , 	32 , 	9 , 	37 , 	18 , 	18 , 	13 , 	11 , 	2 , 	7 , 	7 , 	18 , 	10 , 	17 , 	7 , 	6 , 	19 , 	18 , 	121 , 	83 , 	152 , 	113 , 	83 , 	53 , 	16 , 	8 , 	9 , 	2 , 	2 , 	6 , 	2 , 	11 , 	3 , 	3 , 	53 , 	6 , 	4 , 	14 , 	6 , 	8 , 	10 , 	7 , 	13 ," 	1,267 ",,,,,,,,,,,
19, 	22 , 	36 , 	33 , 	37 , 	66 , 	33 , 	36 , 	13 , 	10 , 	7 , 	19 , 	17 , 	23 , 	13 , 	14 , 	9 , 	9 , 	14 , 	19 , 	18 , 	24 , 	13 , 	11 , 	33 , 	21 , 	157 , 	90 , 	193 , 	121 , 	79 , 	65 , 	19 , 	12 , 	14 , 	3 , 	3 , 	7 , 	3 , 	9 , 	3 , 	3 , 	45 , 	8 , 	4 , 	15 , 	8 , 	9 , 	15 , 	3 , 	6 ," 	1,443 ",,,,,,,,,,,
12, 	27 , 	36 , 	26 , 	19 , 	70 , 	24 , 	25 , 	10 , 	11 , 	6 , 	14 , 	18 , 	18 , 	20 , 	14 , 	8 , 	9 , 	10 , 	12 , 	14 , 	18 , 	7 , 	6 , 	28 , 	19 , 	150 , 	83 , 	216 , 	99 , 	59 , 	48 , 	19 , 	13 , 	12 , 	6 , 	1 , 	4 , 	3 , 	6 , 	3 , 	11 , 	65 , 	10 , 	1 , 	13 , 	3 , 	11 , 	10 , 	2 , 	9 ," 	1,323 ",,,,,,,,,,,
LM, 	14 , 	13 , 	12 , 	8 , 	22 , 	13 , 	12 , 	6 , 	3 , 	9 , 	46 , 	24 , 	49 , 	53 , 	18 , 	13 , 	10 , 	16 , 	6 , 	2 , 	3 , 	1 , 	0 , 	5 , 	14 , 	90 , 	71 , 	161 , 	81 , 	52 , 	43 , 	12 , 	15 , 	9 , 	1 , 	20 , 	32 , 	1 , 	2 , 	1 , 	2 , 	8 , 	2 , 	11 , 	10 , 	9 , 	15 , 	21 , 	1 , 	2 ," 	1,045 ",,,,,,,,,,,
FV, 	24 , 	26 , 	11 , 	14 , 	43 , 	23 , 	34 , 	24 , 	13 , 	40 , 	15 , 	36 , 	53 , 	64 , 	45 , 	23 , 	15 , 	16 , 	13 , 	4 , 	10 , 	2 , 	3 , 	15 , 	34 , 	105 , 	73 , 	211 , 	110 , 	67 , 	59 , 	19 , 	11 , 	14 , 	4 , 	17 , 	25 , 	2 , 	5 , 	3 , 	4 , 	22 , 	4 , 	23 , 	5 , 	8 , 	15 , 	25 , 	2 , 	5 ," 	1,435 ",,,,,,,,,,,
CL, 	16 , 	15 , 	6 , 	4 , 	17 , 	10 , 	18 , 	18 , 	17 , 	26 , 	32 , 	8 , 	25 , 	37 , 	19 , 	14 , 	7 , 	9 , 	6 , 	3 , 	3 , 	2 , 	0 , 	4 , 	14 , 	31 , 	25 , 	77 , 	37 , 	24 , 	23 , 	6 , 	6 , 	5 , 	3 , 	7 , 	17 , 	1 , 	5 , 	2 , 	2 , 	6 , 	1 , 	5 , 	11 , 	6 , 	11 , 	10 , 	1 , 	7 , 	654 ,,,,,,,,,,,
SL, 	10 , 	10 , 	5 , 	8 , 	21 , 	10 , 	20 , 	28 , 	24 , 	59 , 	54 , 	30 , 	6 , 	39 , 	44 , 	17 , 	13 , 	13 , 	4 , 	2 , 	4 , 	1 , 	1 , 	5 , 	10 , 	86 , 	51 , 	156 , 	66 , 	26 , 	20 , 	8 , 	11 , 	10 , 	1 , 	12 , 	27 , 	1 , 	2 , 	1 , 	3 , 	16 , 	3 , 	15 , 	5 , 	7 , 	14 , 	18 , 	3 , 	5 ," 	1,004 ",,,,,,,,,,,
BF, 	6 , 	10 , 	3 , 	6 , 	18 , 	5 , 	13 , 	15 , 	20 , 	47 , 	75 , 	40 , 	37 , 	18 , 	37 , 	21 , 	15 , 	16 , 	8 , 	1 , 	4 , 	1 , 	0 , 	3 , 	12 , 	80 , 	43 , 	155 , 	51 , 	21 , 	15 , 	8 , 	5 , 	9 , 	3 , 	10 , 	35 , 	2 , 	3 , 	1 , 	2 , 	10 , 	1 , 	20 , 	3 , 	11 , 	21 , 	13 , 	1 , 	2 , 	961 ,,,,,,,,,,,
HY, 	9 , 	14 , 	5 , 	4 , 	12 , 	7 , 	15 , 	15 , 	15 , 	18 , 	53 , 	22 , 	45 , 	33 , 	8 , 	18 , 	29 , 	38 , 	3 , 	2 , 	3 , 	2 , 	2 , 	3 , 	6 , 	50 , 	25 , 	59 , 	18 , 	9 , 	13 , 	5 , 	5 , 	6 , 	2 , 	4 , 	19 , 	1 , 	3 , 	2 , 	3 , 	7 , 	4 , 	11 , 	7 , 	23 , 	25 , 	22 , 	0 , 	4 , 	706 ,,,,,,,,,,,
SH, 	4 , 	4 , 	4 , 	1 , 	9 , 	4 , 	6 , 	9 , 	9 , 	13 , 	23 , 	13 , 	16 , 	18 , 	19 , 	6 , 	12 , 	21 , 	2 , 	2 , 	3 , 	1 , 	0 , 	2 , 	2 , 	37 , 	14 , 	50 , 	25 , 	7 , 	9 , 	3 , 	4 , 	2 , 	1 , 	4 , 	5 , 	0 , 	1 , 	1 , 	1 , 	5 , 	0 , 	5 , 	5 , 	17 , 	18 , 	15 , 	1 , 	2 , 	437 ,,,,,,,,,,,
UC, 	4 , 	5 , 	3 , 	3 , 	17 , 	4 , 	7 , 	9 , 	9 , 	8 , 	10 , 	9 , 	16 , 	15 , 	36 , 	14 , 	8 , 	23 , 	1 , 	2 , 	1 , 	0 , 	1 , 	3 , 	4 , 	71 , 	23 , 	63 , 	30 , 	11 , 	8 , 	4 , 	4 , 	7 , 	1 , 	3 , 	9 , 	1 , 	2 , 	2 , 	1 , 	9 , 	1 , 	5 , 	7 , 	18 , 	28 , 	22 , 	0 , 	2 , 	544 ,,,,,,,,,,,
FM, 	4 , 	7 , 	4 , 	3 , 	17 , 	5 , 	9 , 	14 , 	9 , 	13 , 	14 , 	8 , 	15 , 	16 , 	43 , 	25 , 	23 , 	12 , 	3 , 	2 , 	2 , 	-   , 	0 , 	2 , 	4 , 	94 , 	38 , 	75 , 	27 , 	14 , 	11 , 	6 , 	6 , 	4 , 	1 , 	2 , 	11 , 	0 , 	2 , 	0 , 	1 , 	15 , 	1 , 	4 , 	7 , 	17 , 	36 , 	34 , 	2 , 	2 , 	664 ,,,,,,,,,,,
CN, 	9 , 	9 , 	4 , 	3 , 	7 , 	4 , 	18 , 	15 , 	13 , 	5 , 	9 , 	3 , 	4 , 	5 , 	4 , 	2 , 	1 , 	3 , 	15 , 	25 , 	83 , 	50 , 	9 , 	24 , 	4 , 	72 , 	35 , 	96 , 	39 , 	19 , 	18 , 	7 , 	7 , 	10 , 	3 , 	1 , 	2 , 	6 , 	45 , 	3 , 	5 , 	53 , 	3 , 	2 , 	10 , 	3 , 	5 , 	5 , 	26 , 	26 , 	830 ,,,,,,,,,,,
PH, 	3 , 	4 , 	4 , 	2 , 	9 , 	6 , 	20 , 	14 , 	10 , 	3 , 	4 , 	3 , 	2 , 	1 , 	2 , 	2 , 	3 , 	3 , 	21 , 	6 , 	30 , 	10 , 	5 , 	28 , 	2 , 	89 , 	42 , 	113 , 	41 , 	18 , 	7 , 	6 , 	6 , 	6 , 	1 , 	2 , 	1 , 	3 , 	18 , 	4 , 	2 , 	57 , 	3 , 	-   , 	16 , 	3 , 	4 , 	3 , 	6 , 	14 , 	663 ,,,,,,,,,,,
WC, 	8 , 	6 , 	7 , 	7 , 	22 , 	5 , 	23 , 	22 , 	22 , 	4 , 	7 , 	3 , 	4 , 	5 , 	4 , 	3 , 	2 , 	1 , 	88 , 	38 , 	12 , 	20 , 	10 , 	39 , 	2 , 	106 , 	55 , 	133 , 	61 , 	22 , 	17 , 	11 , 	5 , 	6 , 	3 , 	2 , 	2 , 	9 , 	40 , 	2 , 	3 , 	77 , 	2 , 	1 , 	16 , 	1 , 	3 , 	1 , 	13 , 	20 , 	976 ,,,,,,,,,,,
LF, 	4 , 	4 , 	3 , 	4 , 	10 , 	3 , 	9 , 	13 , 	6 , 	1 , 	3 , 	1 , 	1 , 	1 , 	1 , 	1 , 	1 , 	1 , 	53 , 	11 , 	21 , 	6 , 	6 , 	21 , 	1 , 	78 , 	39 , 	86 , 	37 , 	18 , 	11 , 	4 , 	3 , 	3 , 	1 , 	-   , 	-   , 	2 , 	6 , 	1 , 	1 , 	43 , 	2 , 	-   , 	8 , 	0 , 	1 , 	1 , 	4 , 	4 , 	540 ,,,,,,,,,,,
OR, 	2 , 	1 , 	2 , 	1 , 	5 , 	1 , 	7 , 	10 , 	7 , 	0 , 	2 , 	0 , 	1 , 	2 , 	2 , 	-   , 	1 , 	0 , 	9 , 	8 , 	11 , 	6 , 	4 , 	15 , 	2 , 	57 , 	28 , 	56 , 	32 , 	13 , 	11 , 	5 , 	1 , 	3 , 	1 , 	-   , 	-   , 	0 , 	1 , 	1 , 	1 , 	26 , 	1 , 	-   , 	4 , 	-   , 	2 , 	2 , 	2 , 	2 , 	348 ,,,,,,,,,,,
RR, 	7 , 	7 , 	9 , 	4 , 	8 , 	3 , 	20 , 	37 , 	25 , 	5 , 	12 , 	4 , 	5 , 	5 , 	2 , 	1 , 	4 , 	1 , 	20 , 	28 , 	36 , 	17 , 	17 , 	11 , 	8 , 	119 , 	90 , 	145 , 	93 , 	63 , 	47 , 	17 , 	6 , 	7 , 	1 , 	1 , 	3 , 	2 , 	7 , 	2 , 	2 , 	54 , 	5 , 	0 , 	9 , 	1 , 	3 , 	7 , 	3 , 	12 , 	996 ,,,,,,,,,,,
OW, 	9 , 	8 , 	2 , 	4 , 	19 , 	6 , 	15 , 	16 , 	21 , 	10 , 	32 , 	14 , 	10 , 	10 , 	8 , 	3 , 	1 , 	3 , 	6 , 	2 , 	4 , 	1 , 	2 , 	9 , 	18 , 	200 , 	130 , 	294 , 	165 , 	105 , 	67 , 	14 , 	10 , 	15 , 	4 , 	4 , 	10 , 	1 , 	4 , 	3 , 	5 , 	43 , 	4 , 	1 , 	7 , 	1 , 	3 , 	5 , 	2 , 	5 ," 	1,333 ",,,,,,,,,,,
EM, 	73 , 	115 , 	73 , 	100 , 	196 , 	82 , 	127 , 	166 , 	157 , 	95 , 	111 , 	42 , 	99 , 	91 , 	60 , 	40 , 	70 , 	93 , 	75 , 	104 , 	121 , 	77 , 	51 , 	127 , 	233 , 	64 , 	18 , 	125 , 	57 , 	149 , 	178 , 	109 , 	86 , 	129 , 	31 , 	57 , 	163 , 	14 , 	43 , 	32 , 	42 , 	170 , 	81 , 	62 , 	32 , 	41 , 	95 , 	58 , 	9 , 	32 ," 	4,457 ",,,,,,,,,,,
MT, 	62 , 	94 , 	61 , 	81 , 	186 , 	77 , 	106 , 	105 , 	109 , 	82 , 	92 , 	32 , 	62 , 	61 , 	25 , 	23 , 	32 , 	37 , 	39 , 	49 , 	62 , 	44 , 	36 , 	102 , 	165 , 	16 , 	40 , 	20 , 	31 , 	109 , 	123 , 	96 , 	114 , 	92 , 	29 , 	31 , 	81 , 	10 , 	37 , 	17 , 	24 , 	199 , 	44 , 	23 , 	21 , 	20 , 	44 , 	32 , 	5 , 	19 ," 	3,098 ",,,,,,,,,,,
