Avg Sunday Trip OD																																																			
																																																			
2024 / 01																																																			
	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday
Exit Station Two-Letter Code	RM	EN	EP	NB	BK	AS	MA	19	12	LM	FV	CL	SL	BF	HY	SH	UC	FM	CN	PH	WC	LF	OR	RR	OW	EM	MT	PL	CC	16	24	GP	BP	DC	CM	CV	ED	NC	WP	SS	SB	SO	MB	WD	OA	WS	PC	AN	ML	BE	
RM	15	29	31	13	98	22	32	16	24	14	26	11	9	5	6	3	2	4	6	4	10	6	3	4	10	66	33	107	51	36	38	9	11	15	2	2	3	1	2	4	5	29	5	1	5	2	1	3	7	3	842
EN	34	11	30	20	112	28	41	35	46	17	29	16	11	10	11	8	9	5	12	4	10	5	2	8	7	92	71	198	82	47	40	11	12	13	11	1	5	1	6	4	4	36	13	3	14	7	2	6	16	20	"1,233"
EP	39	23	4	24	123	26	26	30	30	13	18	6	5	4	4	3	5	6	4	3	10	3	3	8	4	63	49	83	58	24	16	8	5	5	1	1	3	0	3	1	1	22	5	1	11	1		3	6	3	791
NB	14	19	21	8	29	17	17	38	22	10	20	6	10	5	3	1	3	3	4	4	9	3	1	3	4	103	63	92	77	42	35	11	5	5	1	1	2	0	2	2	2	38	7	1	15	4	0	2	6	5	789
BK	115	112	132	32	29	55	58	100	88	91	45	22	32	21	17	14	26	30	14	11	18	12	6	6	26	246	152	277	184	95	63	32	17	23	3	10	20	3	6	6	5	204	38	8	92	11	2	2	45	77	"2,725"
AS	18	33	25	21	43	5	27	37	36	16	28	8	10	5	7	2	7	4	5	5	8	3	1	4	9	83	63	99	98	51	34	12	6	8	2	2	4		1	2	2	39	6	1	12	1		2	8	11	908
MA	34	33	25	23	61	28	14	41	36	16	49	16	18	14	11	5	10	6	22	20	20	15	4	20	17	133	83	161	162	98	60	17	10	11	3	3	5	3	16	3	5	40	9	4	14	6	6	8	13	12	"1,441"
19	19	36	31	39	90	42	41	10	5	7	21	22	22	14	13	8	7	10	17	16	22	9	16	34	25	155	93	210	156	98	68	23	16	20	4	3	10	4	7	5	5	38	8	4	17	7	3	5	12	15	"1,556"
12	24	41	28	22	80	27	35	6	14	3	19	22	17	20	16	8	8	10	14	14	25	9	9	30	21	133	85	214	121	61	55	19	15	11	7	1	5	3	6	4	15	64	13	1	13	3	1	10	11	13	"1,398"
LM	15	11	12	12	85	17	16	7	4	8	61	35	60	62	25	13	19	18	6	3	5		2	5	14	108	83	164	112	76	53	17	17	14	1	21	35	1	3	2	2	11	2	13	15	12	1	2	14	18	"1,307"
FV	27	30	13	17	45	31	47	24	20	53	15	40	54	79	48	22	22	16	8	5	10	3	3	14	35	97	72	201	119	77	62	14	14	13	5	16	36	2	7	2	4	19	6	22	8	9	3	3	20	23	"1,532"
CL	20	14	6	5	19	7	23	19	19	33	33	6	21	35	23	16	8	10	5	3	5	2	0	3	16	34	22	79	39	21	23	7	9	9	3	6	18	1	6	2	2	8	3	5	16	6	1	3	11	8	688
SL	9	16	5	7	32	11	23	28	22	66	53	25	9	34	47	17	18	15	4	2	5	1		6	12	71	60	148	72	23	23	9	10	8	1	10	26	1	2	2	2	14	2	15	5	8	2	7	15	12	"1,011"
BF	8	10	4	6	19	4	16	14	24	55	82	35	33	14	31	20	17	20	6	1	5	1	1	4	12	62	40	149	42	23	8	7	8	10	3	12	37	1	2	2	2	14	2	25	4	14	1	4	20	15	946
HY	4	11	3	3	21	9	12	12	17	24	47	23	51	30	9	19	28	43	4	2	4	2	1	3	8	38	21	47	39	11	12	5	5	6	3	4	21	1	2	0	4	6	2	10	4	20	1	3	25	29	706
SH	3	8	5	1	11	3	6	8	10	14	26	14	18	21	26	9	16	24	2	1	4	2	0	2	2	30	19	44	35	8	13	1	5	3	1	5	6		1	2	1	4	2	9	4	17	1	3	18	19	480
UC	2	5	4	3	25	6	9	7	11	17	19	11	16	17	40	17	14	22	1	2	1	0	1	2	5	45	24	62	57	11	11	3	2	10	2	4	9	1	1	1	1	7	2	5	8	22	1	1	40	27	606
FM	5	8	6	4	30	6	8	13	9	20	16	9	19	23	41	28	19	9	2	2	2	0	1	1	3	61	34	54	55	16	12	4	6	8	2	5	11	0	2	1	2	13	0	5	8	19	3	4	51	33	689
CN	5	11	4	3	15	3	25	19	14	5	10	5	5	6	4	2	1	2	14	25	81	58	8	27	4	45	41	81	40	18	12	5	8	7	3	1	1	8	41	2	6	36	1	1	11	4	26	30	6	6	790
PH	2	3	3	3	12	6	23	17	12	2	5	4	2	1	1	1	2	1	26	11	31	12	4	22	3	71	44	102	33	22	9	7	8	6	2	1	1	4	16	2	3	55	2	0	12	2	6	14	5	2	635
WC	9	9	9	11	21	7	23	23	22	5	10	6	2	4	3	2	1	2	90	35	12	18	9	49	4	99	59	101	59	34	15	10	5	7	4	0	2	10	36	4	4	71	4	1	13	1	12	19	4	3	954
LF	4	6	4	2	10	3	20	10	8	1	6	1	0	1	2	2	1	1	60	13	17	9	7	28	2	72	39	52	41	15	9	7	4	3			1	2	5	0	2	41	1		7	0	3	5	4	2	527
OR	2	3	3	1	7	1	6	14	12	1	2		1	3	2	0		1	8	2	11	7	4	13	1	41	26	49	24	15	8	4	0	1	1		1	1	4	1	1	27	1		4	0	2	3	2	2	320
RR	6	6	8	4	8	6	24	47	36	6	16	2	7	4	4	1	1	0	25	23	47	23	17	13	6	142	76	144	102	53	37	13	6	8	1	2	2	4	8	4	3	66	5	2	6	1	4	10	4	6	"1,040"
OW	8	10	3	6	23	13	17	20	24	15	36	18	11	10	10	4	3	4	4	3	2	1		9	29	213	126	323	229	130	79	17	17	14	4	2	12	1	8	4	7	55	7	1	5	3	1	5	5	6	"1,552"
EM	71	92	55	102	241	98	149	177	160	107	110	41	67	74	42	30	44	62	53	72	104	74	50	139	247	42	12	67	63	138	178	90	87	89	31	40	140	19	43	29	25	128	43	42	40	25	7	25	76	47	"3,983"
MT	49	82	58	84	198	79	109	119	128	82	88	29	71	65	26	29	34	36	36	51	59	36	30	91	173	6	34	14	29	106	128	70	149	99	32	32	72	5	37	27	33	117	43	19	25	26	5	14	52	47	"3,056"
PL	99	137	69	83	234	89	121	156	189	130	156	67	115	111	47	38	42	48	82	81	88	52	49	125	293	68	11	66	65	379	429	203	362	288	81	43	133	16	69	72	71	360	105	42	34	17	11	45	61	55	"5,780"
CC	51	89	58	87	144	106	164	163	112	88	126	41	64	45	31	48	61	58	36	41	63	39	29	111	276	55	28	64	53	153	259	129	142	176	58	39	180	8	33	46	70	169	105	38	17	29	3	21	38	53	"4,090"
16	35	43	20	42	81	46	83	100	68	60	55	22	21	22	12	6	10	13	16	21	27	12	10	54	115	146	93	387	182	18	81	82	104	136	38	11	30	4	10	24	51	110	57	9	13	6	3	7	13	15	"2,618"
24	37	35	18	33	64	35	68	71	58	46	59	20	22	13	11	13	9	10	16	11	19	11	8	39	95	163	137	515	285	72	12	102	90	103	41	10	12	3	13	32	43	88	52	4	14	2	1	9	9	18	"2,647"
GP	11	13	6	9	30	16	23	25	22	12	12	5	6	6	4	2	3	4	5	6	8	8	3	14	20	97	63	242	128	83	96	9	12	21	19	2	7	3	6	10	14	62	21	6	7	1	1	8	7	6	"1,198"
BP	12	15	6	5	14	8	12	15	12	14	14	7	11	8	4	3	2	5	8	5	6	4	1	4	14	89	93	415	133	91	92	9	11	19	23	3	10	2	9	15	27	51	26	6	6	2	1	6	6	8	"1,359"
DC	16	13	4	6	23	5	11	18	12	12	15	8	8	10	7	6	7	7	8	7	7	2	2	10	18	81	84	362	176	131	108	25	25	17	15	7	19	3	7	14	40	104	42	5	5	2	3	8	8	8	"1,533"
CM	4	8	2	1	4	2	4	3	7	2	4	1	0	3	3	0	2	2	3	1	4	1	1	1	3	27	26	100	65	35	33	18	21	14	4	1	2		5	4	19	48	13	1	1	0	1	5	0	1	503
CV	2	2	1	1	8	1	4	4	4	25	16	9	11	9	6	3	2	5	1	2	1			2	4	44	24	67	44	11	4	4	4	6	1	5	31	0	1	1	2	5	1	25	3	1		2	3	2	409
ED	4	7	2	4	18	5	4	10	7	29	32	12	25	33	18	8	13	12	3	1	2	1	1	2	8	137	69	163	165	27	15	9	8	17	2	29	28		1		3	53	2	12	27	3		1	19	13	"1,055"
NC	1	1	0	0	4	0	5	3	4	1	2	1	1	1	1	0	0	0	5	3	9	1	2	3	0	19	6	16	9	4	5	1	1	2	0	1		2	5	1	1	13		0	4	1	3	4	1	1	147
WP	3	3	2	1	6	1	20	5	8	3	5	5	2	1	2	0	2	3	44	17	38	6	4	13	3	37	33	83	33	17	12	8	6	5	4	1	1	5	7	4	4	38	1	1	7	1	2	7	4	1	510
SS	6	3	1	1	6	3	3	5	3	4	2	1	1	1	1	2	1	2	4	2	4	1	1	4	3	26	19	95	45	29	30	12	19	22	5	1	2	1	2	5	14	24	5	1	1	0	1	4	1	0	423
SB	5	5	2	2	8	3	4	7	13	2	3	3	3	2	3	0	0	1	4	4	5	1	1	4	8	25	21	92	66	45	42	19	28	42	17	1	1	0	3	13	5	65	10	1	1	1		3	0	1	591
SO	24	24	14	22	53	16	25	17	36	5	14	3	7	6	3	1	4	5	29	26	37	29	26	29	34	109	90	469	93	70	41	30	25	68	22	4	34	19	23	16	19	36	106	6	14	1	4	18	3	2	"1,808"
MB	8	11	3	5	28	8	9	8	11	5	2	3	2	2	1	1	0		4	1	5	3	0	3	7	40	35	123	89	60	41	20	28	37	11	1	2	1	1	7	7	265	20	1	3	1		3	0	1	923
WD	2	2	2	1	10	3	5	3	3	12	22	3	14	24	14	7	5	8	1	0	1	0	0	2	3	42	26	57	35	12	7	6	6	2	1	22	13		0	0	1	14	1	6	7	1	0	1	6	8	418
OA	2	8	4	10	18	5	4	4	11	3	4	4	1	2	2	1	2	3	9	6	6	3	1	2	3	26	16	39	10	6	5	3	1	3	0	1	11	3	4	1	0	12	1	5	3	2		3	4	2	275
WS	6	6	2	4	10	2	5	9	5	11	16	16	9	13	15	19	20	19	4	3	1	1		2	5	22	23	21	25	8	4	2	2	4	0	4	4	1	2	1		5		3	4	5	1	2	24	16	379
PC	2	2		1	2	1	6	3	3	2	5	2	2	1	1	0	1	1	38	11	16	1	3	2	3	7	5	14	5	3	2	1	3	3	1	0	0	6	4	1	1	5		1	1	0	1	7	1		175
AN	3	5	2	2	3	2	14	5	10	3	4	5	5	4	5	2	3	1	29	13	21	3	3	9	6	26	23	52	26	7	8	6	8	8	4	1	2	7	9	7	2	38	3		6	1	8	5	2	3	420
ML	7	14	7	9	32	8	14	10	13	16	21	10	17	23	25	16	39	48	5	5	4	4	3	5	4	73	35	71	41	14	11	11	7	7	1	5	18	1	2	1	1	8	0	6	5	21	0	3	17	13	724
BE	7	14	5	8	48	13	15	15	11	20	27	9	14	19	27	21	28	34	3	5	7	3	3	4	7	51	32	74	46	23	13	9	8	11	0	2	18	1	2	1	2	7		5	6	22	1	2	13	7	717
Grand Total	904	"1,127"	753	807	"2,331"	933	"1,466"	"1,547"	"1,470"	"1,201"	"1,501"	684	937	936	709	478	574	647	807	604	908	494	331	985	"1,625"	"3,754"	"2,509"	"6,902"	"3,994"	"2,641"	"2,444"	"1,147"	"1,372"	"1,432"	475	372	"1,039"	160	485	391	538	"2,775"	799	375	572	347	135	365	730	696	"61,202"
