Avg Sunday Trip OD																																																			
																																																			
2024 / 05																																																			
	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday
Exit Station Two-Letter Code	RM	EN	EP	NB	BK	AS	MA	19	12	LM	FV	CL	SL	BF	HY	SH	UC	FM	CN	PH	WC	LF	OR	RR	OW	EM	MT	PL	CC	16	24	GP	BP	DC	CM	CV	ED	NC	WP	SS	SB	SO	MB	WD	OA	WS	PC	AN	ML	BE	
RM	13	38	37	18	116	20	40	23	31	18	35	25	14	9	7	5	3	4	10	3	9	6	3	7	12	91	40	116	56	52	55	12	17	16	4	2	4	2	3	5	5	28	5	2	7	3	4	2	4	9	"1,040"
EN	43	14	32	26	131	32	41	43	51	24	38	40	13	18	12	6	9	6	11	4	10	2	2	9	15	153	76	196	101	72	72	12	25	13	8	2	6		5	8	5	45	8	4	18	5	1	6	11	15	"1,496"
EP	51	27	6	20	116	30	25	30	25	12	18	21	9	4	6	4	5	4	4	5	9	3	4	9	3	85	44	102	63	40	31	11	6	9	1	2	4	1	2	1	4	38	5	1	12	2		2	4	5	919
NB	20	21	18	7	27	18	24	40	27	9	16	23	7	8	6	3	4	5	5	4	9	3	3	4	8	119	54	87	72	75	50	12	6	10	1	2	3	1	2	1	4	41	7	2	14	2		1	4	7	891
BK	127	139	130	33	25	64	66	97	92	38	52	35	29	20	32	10	48	18	11	14	22	9	8	9	26	316	140	281	193	116	84	39	21	31	5	6	24	3	4	6	8	128	36	8	40	11	1	4	38	61	"2,750"
AS	27	39	24	18	49	4	24	38	38	16	27	21	11	7	9	6	8	4	4	4	3	3	1	3	8	116	44	97	75	76	58	11	9	8	3	2	4	2	1	2	2	40	8	1	11	3	1	2	6	13	982
MA	41	42	31	24	60	27	16	38	39	14	45	39	18	14	13	7	13	8	25	17	26	9	7	22	18	179	90	173	138	125	93	20	11	14	4	2	7	2	14	3	6	56	9	4	16	5	5	16	8	16	"1,621"
19	24	39	35	40	92	36	36	12	7	8	25	46	27	18	18	10	16	13	19	24	33	13	8	38	28	211	100	219	142	132	89	22	16	20	3	3	9	3	8	7	7	61	15	5	18	6	4	12	11	24	"1,809"
12	31	37	26	26	93	35	37	7	12	8	22	40	27	22	16	10	13	10	12	18	25	12	8	26	24	205	93	238	131	86	60	20	26	20	8	2	8	4	9	9	10	71	13	2	16	2	2	12	6	12	"1,659"
LM	17	23	11	9	33	15	16	8	8	10	77	78	76	61	27	17	20	15	5	3	3	1	2	6	25	140	84	182	106	100	78	17	22	18	2	28	40	1	5	2	2	13	3	15	18	9	1	2	13	23	"1,482"
FV	33	34	16	16	58	27	41	33	26	66	12	86	68	73	59	27	27	20	17	3	10	4	3	16	39	127	76	199	118	126	100	21	17	19	5	18	35	1	8	5	4	21	3	28	7	8	3	11	14	26	"1,809"
CL	25	43	22	24	37	23	38	39	40	68	69	8	64	61	58	27	52	31	17	20	22	15	8	20	28	114	74	132	60	48	46	16	16	24	2	40	123	9	16	4	7	15	8	36	21	21	2	15	27	49	"1,778"
SL	18	12	6	7	32	12	24	36	29	80	68	71	8	39	50	21	17	7	6	2	4	0	1	8	12	102	67	142	76	54	53	11	14	11	2	17	30	1	3	1	3	19	2	21	8	9	3	4	11	17	"1,249"
BF	9	14	3	9	23	6	18	21	25	60	88	64	36	19	42	29	19	18	10	1	6	1	0	5	11	109	60	154	70	34	32	11	12	12	4	13	40	1	4	1	4	10	1	26	7	13	2	4	17	22	"1,194"
HY	6	14	3	7	26	11	16	18	20	33	56	56	46	34	9	28	47	33	6	2	4	2	1	2	6	53	25	61	26	24	22	3	7	10	3	7	25	2	3	1	4	8	2	12	7	19	0	5	27	34	868
SH	8	5	6	3	12	8	6	11	11	22	25	21	18	26	26	11	18	18	3	1	3	1	2	3	2	31	20	40	17	13	17	3	7	4	1	4	11	1	2	1	1	5	1	6	5	13	1	2	13	29	509
UC	6	12	3	4	56	10	14	21	15	20	23	43	20	24	46	17	10	17	3	2	1	1	1	3	4	85	33	77	52	27	18	6	4	10	3	5	13	1	5	1	2	13	3	7	13	16	1	3	25	31	825
FM	3	6	4	4	17	4	10	14	12	17	25	30	10	14	34	19	13	9	2	1	2	2	1	1	2	69	30	53	36	22	13	4	1	6	1	4	11	0	2	1	2	13	1	5	7	14	2	1	43	31	622
CN	10	9	4	5	10	3	28	20	16	7	15	14	5	8	6	2	2	0	13	27	81	66	10	23	4	100	52	86	38	32	28	5	9	10	3	1	2	11	53	4	3	50	3	2	15	1	25	34	5	6	962
