Total Trip OD																																																			
																																																			
2024 / 08																																																			
	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits
Exit Station Two-Letter Code	RM	EN	EP	NB	BK	AS	MA	19	12	LM	FV	CL	SL	BF	HY	SH	UC	FM	CN	PH	WC	LF	OR	RR	OW	EM	MT	PL	CC	16	24	GP	BP	DC	CM	CV	ED	NC	WP	SS	SB	SO	MB	WD	OA	WS	PC	AN	ML	BE	
RM	402	"1,836"	"1,722"	982	"6,741"	"1,399"	"2,054"	"1,661"	"1,893"	571	"1,700"	"1,388"	571	375	530	292	202	237	437	164	481	263	170	386	608	"5,354"	"3,819"	"6,114"	"3,901"	"2,520"	"2,840"	641	"1,006"	"1,020"	395	58	207	81	223	240	380	"1,511"	324	74	272	227	118	289	221	364	"59,264"
EN	"2,003"	559	"1,685"	"1,334"	"9,561"	"1,993"	"3,089"	"3,309"	"4,829"	"1,167"	"2,325"	"2,244"	882	678	915	322	434	487	630	340	527	219	187	485	669	"9,845"	"7,864"	"10,430"	"7,534"	"3,553"	"2,712"	997	"1,016"	"1,545"	317	133	297	74	193	327	487	"2,105"	771	126	600	399	67	208	417	620	"93,510"
EP	"1,937"	"1,418"	315	925	"8,083"	"1,466"	"1,742"	"2,150"	"2,822"	792	841	"1,184"	429	282	279	119	219	262	274	200	311	184	112	419	154	"6,377"	"4,990"	"4,027"	"3,592"	"1,467"	"1,048"	462	395	492	74	108	130	71	78	132	187	"1,597"	265	131	465	174	10	81	220	292	"53,784"
NB	"1,012"	"1,273"	944	278	"2,208"	788	"1,085"	"1,970"	"2,150"	586	"1,158"	"1,054"	446	281	312	78	202	234	339	207	381	169	107	244	241	"7,305"	"5,355"	"3,545"	"3,889"	"1,991"	"1,258"	546	282	314	86	55	122	50	135	69	102	"1,940"	307	47	487	166	15	67	289	277	"46,446"
BK	"7,675"	"10,121"	"8,687"	"2,692"	"1,443"	"4,106"	"4,364"	"5,802"	"6,051"	"2,620"	"4,060"	"3,504"	"2,120"	"1,629"	"1,631"	923	"1,729"	"1,691"	"1,324"	"1,330"	"1,651"	889	572	477	"1,240"	"14,807"	"10,164"	"9,916"	"7,635"	"4,654"	"3,817"	"1,882"	"1,413"	"1,420"	467	498	"1,478"	209	878	473	492	"4,312"	"1,645"	570	"1,491"	870	150	638	"2,006"	"2,461"	"152,677"
AS	"1,505"	"2,020"	"1,599"	897	"3,996"	379	"1,080"	"1,893"	"2,133"	763	"1,500"	"1,200"	609	403	386	206	337	214	265	223	203	166	66	196	401	"6,303"	"4,818"	"3,939"	"4,252"	"2,377"	"1,411"	530	488	426	107	89	281	53	177	82	123	"1,392"	338	75	383	211	41	189	335	392	"51,452"
MA	"2,382"	"2,895"	"1,688"	"1,096"	"4,495"	"1,235"	598	"2,281"	"2,656"	857	"2,653"	"2,697"	"1,562"	985	915	601	601	696	"1,980"	"1,672"	"1,893"	738	586	"1,125"	"1,037"	"11,202"	"8,447"	"7,620"	"8,017"	"4,533"	"3,031"	"1,012"	"1,046"	942	197	199	517	365	"1,733"	285	296	"2,285"	505	314	452	513	436	"1,631"	517	620	"96,639"
19	"1,765"	"3,345"	"2,067"	"2,002"	"5,233"	"2,048"	"2,207"	567	514	408	"1,499"	"2,499"	"2,033"	"1,464"	"1,516"	896	"1,347"	"1,320"	"1,924"	"2,025"	"2,376"	"1,144"	844	"1,774"	"1,180"	"13,304"	"10,612"	"9,531"	"8,811"	"5,172"	"3,533"	"1,686"	"1,338"	"1,372"	354	363	"1,099"	504	"1,190"	514	539	"1,829"	703	509	523	793	294	"1,354"	895	"1,095"	"111,914"
12	"2,168"	"4,569"	"2,680"	"2,113"	"5,696"	"2,043"	"2,495"	506	732	394	"1,676"	"2,853"	"3,137"	"2,239"	"1,832"	"1,397"	"1,860"	"1,730"	"2,517"	"2,829"	"2,747"	"1,372"	"1,080"	"1,889"	"1,216"	"13,435"	"9,210"	"11,082"	"8,965"	"4,614"	"3,555"	"1,844"	"1,846"	"1,846"	730	442	"1,500"	794	"1,772"	744	826	"2,775"	"1,016"	532	767	617	480	"1,848"	875	"1,086"	"126,971"
LM	556	"1,122"	774	593	"2,445"	784	841	414	378	442	"2,776"	"4,294"	"4,731"	"3,685"	"2,075"	"1,622"	"1,315"	"1,362"	327	268	377	133	140	256	560	"8,622"	"6,879"	"7,178"	"6,213"	"3,017"	"2,209"	798	"1,066"	900	150	"1,524"	"2,777"	91	253	117	126	495	149	"1,280"	527	897	171	392	949	"1,118"	"80,168"
FV	"1,708"	"2,064"	799	883	"3,857"	"1,402"	"2,664"	"1,858"	"1,559"	"2,486"	"1,591"	"5,558"	"4,295"	"3,911"	"3,595"	"1,515"	"1,491"	"1,441"	589	316	485	240	400	656	"1,941"	"8,862"	"7,256"	"9,947"	"8,683"	"4,433"	"3,425"	"1,007"	"1,355"	"1,715"	146	"1,013"	"2,404"	132	371	258	305	918	251	"1,101"	295	"1,012"	273	386	977	"1,191"	"105,020"
CL	"1,523"	"2,321"	"1,284"	"1,123"	"3,470"	"1,270"	"2,712"	"2,593"	"2,959"	"3,703"	"5,297"	583	"4,190"	"3,518"	"3,346"	"1,796"	"2,305"	"2,199"	"1,110"	"1,209"	"1,062"	882	757	"1,021"	"1,598"	"6,797"	"4,529"	"7,269"	"4,397"	"2,002"	"2,235"	"1,127"	995	"1,545"	209	"1,715"	"6,927"	330	752	319	307	668	523	"2,273"	"1,035"	"1,471"	162	"1,006"	"1,553"	"2,543"	"106,520"
SL	655	847	351	491	"2,017"	666	"1,759"	"2,342"	"3,299"	"4,688"	"4,730"	"4,371"	461	"2,447"	"3,192"	"1,864"	"1,626"	"2,352"	440	368	305	92	114	414	780	"8,403"	"7,539"	"8,107"	"5,755"	"2,154"	"1,773"	607	"1,048"	"1,287"	135	778	"2,637"	72	217	157	213	683	171	"1,095"	237	"1,145"	93	480	"1,062"	"1,146"	"87,665"
BF	374	660	276	317	"1,760"	348	"1,179"	"1,716"	"2,476"	"3,536"	"3,957"	"3,428"	"2,420"	502	"1,758"	"1,399"	"1,199"	"1,555"	405	129	235	58	61	260	685	"7,202"	"6,481"	"7,789"	"4,993"	"1,732"	"1,326"	551	703	869	118	859	"2,147"	55	136	184	240	410	116	"1,090"	174	996	117	153	754	919	"70,807"
HY	532	931	305	291	"1,516"	425	938	"1,612"	"1,920"	"2,001"	"3,670"	"3,027"	"3,175"	"1,730"	372	"1,640"	"2,982"	"3,522"	417	207	219	107	63	221	645	"3,854"	"3,134"	"3,355"	"2,541"	"1,023"	765	325	429	553	111	273	"1,104"	78	227	150	194	257	139	481	196	"1,916"	121	347	"1,611"	"1,781"	"57,433"
SH	276	290	110	92	780	228	547	850	"1,265"	"1,385"	"1,419"	"1,585"	"1,585"	"1,237"	"1,419"	272	"1,184"	"1,705"	196	109	161	54	35	84	250	"3,164"	"2,518"	"2,183"	"2,028"	641	624	139	268	334	44	318	575	12	81	74	75	157	88	427	114	"1,512"	20	107	946	"1,164"	"34,731"
UC	244	456	183	233	"1,772"	366	650	"1,372"	"1,837"	"1,261"	"1,451"	"2,280"	"1,693"	"1,550"	"3,062"	"1,130"	495	"1,554"	173	122	277	39	59	91	297	"5,399"	"3,937"	"3,026"	"2,475"	929	407	224	273	414	88	252	883	34	111	78	54	336	45	375	236	"1,785"	13	136	"2,003"	"1,886"	"48,046"
FM	299	471	249	300	"1,651"	262	708	"1,335"	"1,641"	"1,302"	"1,587"	"2,082"	"2,284"	"1,650"	"3,608"	"1,801"	"1,625"	531	227	120	210	41	102	148	215	"6,719"	"4,286"	"3,135"	"2,400"	876	457	270	244	453	56	328	873	38	99	47	85	508	55	321	284	"1,696"	33	132	"2,741"	"2,451"	"53,036"
CN	531	630	266	320	"1,241"	247	"2,101"	"1,868"	"2,592"	373	600	"1,053"	489	377	409	188	167	254	808	"1,672"	"3,993"	"2,531"	686	"1,663"	305	"7,647"	"6,124"	"5,579"	"4,849"	"1,490"	"1,326"	637	657	881	194	85	178	720	"3,293"	251	302	"1,989"	309	93	532	72	"1,641"	"2,405"	235	258	"67,111"
PH	204	374	207	209	"1,313"	242	"1,648"	"2,037"	"2,692"	240	362	"1,044"	311	142	190	118	98	117	"1,575"	466	"1,840"	937	400	"1,609"	275	"12,033"	"9,823"	"5,563"	"4,605"	"1,548"	814	558	423	664	174	47	103	317	"1,133"	170	294	"2,602"	245	27	557	107	592	"1,172"	156	174	"62,551"
WC	560	530	353	414	"1,631"	231	"2,042"	"2,561"	"2,764"	430	500	984	309	223	243	161	247	173	"4,329"	"1,753"	546	"1,169"	713	"2,531"	318	"13,498"	"9,921"	"5,817"	"4,897"	"1,528"	"1,014"	687	553	747	220	68	121	460	"2,041"	311	259	"3,246"	222	27	572	78	695	"1,712"	181	254	"74,844"
LF	256	223	173	144	802	204	740	"1,099"	"1,337"	113	313	776	81	45	119	56	41	39	"2,973"	"1,141"	"1,198"	280	268	"1,263"	120	"9,541"	"6,677"	"2,831"	"2,361"	867	532	233	271	192	65	16	23	186	409	64	106	"1,962"	76	10	297	50	218	349	45	64	"41,249"
OR	157	172	79	109	597	82	491	836	"1,127"	110	296	640	117	65	48	52	55	93	725	350	725	247	224	904	81	"8,475"	"5,670"	"2,308"	"2,020"	703	377	285	179	261	62	25	24	61	240	52	69	"1,428"	87	7	183	14	141	222	54	66	"31,395"
RR	353	514	449	277	515	182	"1,070"	"1,947"	"2,107"	307	733	951	417	267	198	72	126	145	"1,571"	"1,618"	"2,420"	"1,211"	996	444	517	"13,742"	"9,687"	"5,652"	"6,039"	"2,820"	"1,725"	911	606	551	84	75	128	235	678	200	155	"2,687"	176	35	285	65	249	720	120	186	"67,218"
OW	580	656	202	262	"1,042"	444	992	"1,076"	"1,298"	444	"1,936"	"1,588"	802	708	657	291	224	208	294	216	283	120	88	473	656	"20,763"	"12,978"	"13,467"	"10,834"	"5,885"	"3,721"	"1,046"	"1,145"	925	227	275	445	61	240	260	575	"2,323"	429	154	189	113	169	263	185	219	"92,431"
EM	"6,194"	"10,913"	"7,112"	"8,275"	"16,442"	"7,473"	"12,321"	"16,277"	"15,952"	"9,573"	"10,519"	"7,368"	"10,169"	"8,237"	"4,942"	"4,070"	"6,572"	"7,772"	"9,026"	"14,143"	"15,685"	"11,230"	"9,833"	"14,935"	"23,826"	"3,267"	780	"4,129"	"4,455"	"12,381"	"18,047"	"12,321"	"13,312"	"14,804"	"5,196"	"6,257"	"20,690"	"2,642"	"7,519"	"4,381"	"4,192"	"9,523"	"5,258"	"7,671"	"1,865"	"3,088"	896	"5,973"	"4,061"	"4,748"	"446,315"
