Avg Weekday Trip OD																																																			
																																																			
2024 / 08																																																			
	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday
Exit Station Two-Letter Code	RM	EN	EP	NB	BK	AS	MA	19	12	LM	FV	CL	SL	BF	HY	SH	UC	FM	CN	PH	WC	LF	OR	RR	OW	EM	MT	PL	CC	16	24	GP	BP	DC	CM	CV	ED	NC	WP	SS	SB	SO	MB	WD	OA	WS	PC	AN	ML	BE	
RM	14	68	62	36	247	52	77	65	71	19	64	43	21	14	20	11	8	9	16	6	18	9	7	14	24	204	154	220	152	94	106	24	39	40	14	2	7	3	9	9	15	51	12	3	9	9	4	11	7	12	"2,207"
EN	74	18	61	49	364	74	119	132	195	44	86	58	33	24	35	11	16	17	23	13	20	7	7	18	24	387	318	383	301	136	100	38	38	61	11	5	10	3	6	12	19	72	30	4	21	16	2	7	14	18	"3,536"
EP	69	52	11	31	301	55	65	85	112	29	31	23	15	11	11	4	8	9	10	7	11	7	4	15	5	247	200	140	136	52	37	16	15	20	2	4	4	3	3	5	7	55	9	5	15	7	0	3	8	9	"1,982"
NB	38	46	32	9	79	28	41	75	87	22	43	21	16	10	11	3	7	9	13	8	13	6	4	9	8	277	210	121	144	69	43	19	11	11	3	2	4	2	5	2	4	68	11	2	17	6	0	3	9	9	"1,686"
BK	282	387	320	96	49	156	164	220	225	90	156	76	81	62	62	34	65	61	53	51	61	30	19	16	45	469	361	312	255	156	134	65	52	49	18	19	51	8	36	19	18	142	56	20	50	31	6	25	67	80	"5,357"
AS	56	75	62	32	152	13	40	69	82	27	54	32	23	15	14	8	13	8	10	8	6	7	2	8	14	237	189	140	155	79	45	19	18	16	4	3	10	2	7	3	5	46	12	3	13	8	2	8	11	13	"1,875"
MA	88	112	61	40	166	44	21	86	101	31	97	73	60	37	36	25	23	27	78	67	72	28	22	38	38	431	333	273	301	158	105	38	40	37	8	8	21	15	70	11	11	77	19	12	15	20	17	65	19	21	"3,592"
19	69	135	81	78	197	76	83	20	20	15	57	69	80	58	58	36	56	53	77	83	95	46	35	64	43	519	426	342	332	186	127	64	53	52	14	15	46	21	51	21	22	62	26	22	18	32	12	58	36	40	"4,278"
12	83	187	107	85	212	79	95	18	26	15	65	84	127	91	74	58	78	72	106	120	112	58	44	72	45	523	365	395	336	171	133	73	73	75	30	19	65	35	77	31	32	97	38	23	27	26	21	79	35	43	"4,934"
LM	19	43	28	21	83	29	31	15	13	16	99	123	177	135	81	64	51	52	13	10	15	5	5	9	19	321	266	248	227	102	72	26	37	33	6	56	105	4	10	5	5	17	5	51	18	36	7	17	35	38	"2,902"
FV	64	77	29	32	147	51	100	72	61	90	58	158	162	143	136	58	57	54	22	12	19	9	16	23	69	341	287	357	335	161	122	37	53	68	5	36	91	5	13	9	12	33	9	40	10	40	11	15	36	40	"3,883"
CL	48	56	25	22	73	32	75	73	90	110	152	17	89	97	100	50	58	44	25	23	19	14	13	18	49	210	146	199	151	64	69	29	30	43	6	39	104	4	20	8	8	20	12	42	19	37	5	29	32	44	"2,744"
SL	24	31	13	19	76	25	68	91	133	178	179	100	16	92	121	73	65	98	17	15	12	4	5	15	28	329	308	290	229	83	67	23	42	50	5	28	106	3	8	6	8	22	6	41	9	47	3	19	40	42	"3,310"
BF	13	23	10	12	69	12	46	67	101	133	143	92	90	17	61	52	47	59	15	5	9	2	3	10	25	286	264	279	200	68	51	20	26	35	4	33	81	2	5	7	9	14	4	38	6	39	4	5	26	31	"2,651"
HY	20	35	12	11	56	16	36	62	75	78	140	90	122	61	13	61	117	133	15	8	7	4	2	9	24	153	129	120	100	40	28	13	16	20	4	9	40	3	9	6	7	9	5	17	6	79	5	13	59	65	"2,165"
SH	9	10	4	3	28	8	22	34	52	56	54	45	61	47	52	10	47	64	8	4	6	2	1	3	10	128	104	78	82	24	24	5	10	13	2	12	20	0	3	3	2	5	4	15	4	59	1	4	34	41	"1,319"
UC	10	17	7	8	64	14	25	55	78	50	56	59	67	61	118	43	16	58	7	4	11	2	2	3	11	211	162	105	96	35	13	8	10	15	4	9	34	1	4	3	2	11	1	15	8	71	0	5	73	69	"1,810"
FM	11	17	8	11	58	10	27	53	70	50	59	43	93	62	137	68	61	17	9	5	8	1	4	5	7	261	174	105	86	31	16	9	8	17	2	13	33	2	3	2	3	18	2	12	10	68	1	5	101	92	"1,964"
CN	19	24	9	12	49	9	83	74	108	15	23	24	20	13	15	8	6	9	28	60	143	87	26	62	11	302	257	206	197	57	51	25	26	35	8	3	7	29	126	9	11	68	12	3	20	3	63	93	8	9	"2,562"
PH	7	14	8	8	50	8	67	84	114	9	14	19	12	5	8	5	3	4	57	15	65	35	15	60	11	489	418	209	182	60	31	21	15	26	7	2	4	13	43	7	12	91	9	1	19	4	22	46	6	6	"2,441"
WC	21	20	13	14	60	8	79	103	112	17	19	19	12	8	9	6	11	6	152	59	17	42	25	89	11	534	418	202	181	55	37	26	21	29	8	2	4	18	77	12	10	115	8	1	20	3	26	66	6	9	"2,817"
LF	10	8	7	5	27	8	28	44	56	4	12	12	3	2	4	2	2	1	102	43	44	8	10	44	4	385	283	94	83	31	20	7	10	7	3	1	1	7	16	3	4	68	3	0	11	2	8	13	2	2	"1,551"
OR	6	7	3	4	21	3	19	33	47	4	11	10	5	2	2	2	2	4	27	13	25	9	7	31	3	345	238	75	75	25	13	11	7	10	2	1	1	2	9	2	3	50	3	0	7	1	5	9	2	2	"1,197"
RR	13	19	15	10	19	7	38	71	80	11	27	17	16	10	8	2	5	5	59	60	85	41	35	16	19	542	394	194	229	97	59	32	23	20	3	3	5	9	27	8	6	90	6	1	10	3	10	27	4	6	"2,496"
OW	23	24	7	9	38	15	36	38	48	15	69	50	29	27	25	11	9	7	10	8	10	4	3	16	21	799	507	466	399	203	126	38	42	34	8	10	16	2	9	9	21	84	16	5	7	4	7	9	6	7	"3,388"
EM	238	425	277	310	525	281	475	636	627	366	404	227	404	321	194	165	261	302	359	574	617	450	397	584	909	112	29	140	174	467	707	496	533	596	217	247	786	106	310	180	166	322	195	304	65	116	36	245	145	168	"17,192"
MT	197	334	209	224	366	209	350	466	418	300	327	152	337	299	153	121	190	187	270	433	417	286	239	408	569	30	66	40	109	448	762	530	689	709	244	178	479	75	240	210	210	286	222	188	42	85	35	198	112	116	"13,764"
PL	203	307	122	110	289	127	255	307	348	214	332	191	242	216	108	76	100	100	187	190	180	89	77	173	430	159	46	83	87	439	609	418	795	563	180	97	235	50	238	153	134	919	137	89	47	43	41	135	56	59	"10,784"
CC	154	253	118	142	200	161	277	306	278	203	307	135	194	159	99	68	81	80	171	160	153	78	70	198	387	155	103	82	66	220	359	298	478	447	175	96	195	54	143	171	148	291	132	74	22	40	35	157	42	49	"8,460"
16	84	118	47	73	136	78	160	182	162	100	154	61	78	57	42	25	35	35	53	54	51	31	23	87	200	442	429	497	242	22	94	193	266	264	100	28	68	17	78	74	81	198	80	30	10	17	11	56	17	22	"5,462"
24	98	84	34	42	112	47	105	124	127	72	112	64	59	49	27	25	11	15	48	31	35	18	13	57	126	625	639	694	393	91	21	157	225	204	86	17	37	14	62	58	72	115	71	17	11	10	7	36	11	13	"5,223"
GP	24	36	17	19	64	18	41	61	71	27	39	25	22	18	13	6	8	10	21	17	20	9	8	33	39	468	472	449	287	192	158	12	43	51	36	7	27	4	24	23	41	73	50	8	8	4	2	29	4	5	"3,143"
BP	37	37	15	12	47	20	37	47	67	35	48	27	38	23	13	10	11	5	24	14	19	10	7	20	43	453	493	859	445	247	208	47	16	61	56	10	20	7	23	39	58	70	70	9	4	4	8	17	5	9	"3,904"
DC	44	64	20	12	46	16	35	48	68	35	69	46	51	31	20	15	15	16	32	25	27	8	11	17	37	583	645	639	487	265	215	55	68	23	27	16	35	8	32	62	88	147	121	17	6	7	7	31	13	12	"4,414"
CM	15	10	4	3	16	4	6	15	28	5	3	6	4	4	4	2	3	1	9	7	8	2	3	4	8	217	211	215	177	94	84	37	55	23	10	2	4	1	9	15	25	59	47	0	1	1	3	11	1	1	"1,474"
CV	2	4	4	2	19	3	8	18	21	55	39	38	29	31	15	14	13	13	3	2	2	1	0	2	9	225	170	108	110	29	19	8	12	16	1	9	75	0	1	3	3	9	2	49	4	5	0	1	6	8	"1,221"
ED	8	11	5	5	57	11	24	49	70	95	91	109	104	71	40	24	35	31	6	4	4	1	1	3	16	703	456	256	217	67	40	26	20	40	5	70	26	1	4	4	7	81	8	21	35	15	1	3	24	30	"3,032"
NC	4	2	3	2	7	2	14	18	32	4	5	4	4	2	2	1	1	2	24	13	16	4	2	8	2	83	68	52	64	19	17	5	9	8	1	0	1	5	20	4	4	22	2	0	6	2	15	20	1	1	606
WP	12	6	3	6	33	7	77	50	82	9	16	18	8	4	10	3	4	3	134	51	89	16	12	31	9	251	205	283	224	82	69	34	28	30	10	2	4	19	15	6	13	68	10	1	12	4	8	16	4	5	"2,094"
SS	10	12	4	2	20	5	11	23	32	4	10	6	6	7	4	3	3	1	9	8	10	3	2	7	10	176	190	176	169	74	59	23	46	59	15	3	5	4	8	9	19	37	24	2	1	2	1	16	1	0	"1,330"
SB	13	17	6	3	16	7	13	22	26	6	14	10	8	9	7	2	1	4	11	11	8	5	4	6	22	170	190	161	146	83	72	41	59	85	26	3	5	5	12	21	13	81	20	2	2	1	2	13	1	1	"1,465"
SO	50	67	48	60	121	44	74	63	76	18	29	22	19	10	7	4	8	15	69	89	99	63	49	81	81	238	223	673	243	164	101	68	64	123	52	8	65	23	67	34	61	86	292	18	9	8	7	52	9	5	"3,961"
