Avg Sunday Trip OD																																																			
																																																			
	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday
Exit Station Two-Letter Code	RM	EN	EP	NB	BK	AS	MA	19	12	LM	FV	CL	SL	BF	HY	SH	UC	FM	CN	PH	WC	LF	OR	RR	OW	EM	MT	PL	CC	16	24	GP	BP	DC	CM	CV	ED	NC	WP	SS	SB	SO	MB	WD	OA	WS	PC	AN	ML	BE	
RM	9	21	27	11	107	17	24	17	22	9	25	25	7	7	6	4	2	3	7	2	6	8	2	7	7	81	29	103	48	35	41	6	12	14	5	1	5	1	4	4	8	32	7	1	3	1	2	4	8	10	843
EN	38	14	33	26	157	32	46	39	42	22	41	26	15	11	16	7	4	8	14	5	10	3	2	11	16	138	69	223	104	65	42	12	19	17	7	3	5	1	5	6	9	53	15	4	21	8	3	4	17	21	"1,501"
EP	54	29	9	25	136	26	33	23	26	16	18	11	7	5	6	4	4	7	6	3	11	4	2	10	4	101	46	104	74	34	20	9	5	8	2	4	5		3	3	4	46	4	1	15	3	0	3	9	10	985
NB	17	26	22	15	33	15	20	36	20	13	15	8	8	6	7	2	4	8	5	3	8	2	3	3	5	142	57	100	101	61	30	16	6	6	2	2	5		2	1	2	53	9	2	17	4	1	2	13	11	942
BK	161	144	140	42	35	62	73	94	94	30	56	39	27	22	28	13	36	41	11	10	31	10	9	5	25	382	182	397	255	129	93	54	25	40	9	7	38	3	5	8	12	158	72	11	68	21	2	11	90	162	"3,465"
AS	24	31	19	16	53	13	21	40	30	13	26	11	11	9	10	5	6	6	4	5	4	2	2	5	7	125	55	105	103	74	42	12	7	9	3	2	7	0	2	0	2	45	7	3	16	4	1	1	9	14	"1,017"
MA	41	40	34	19	69	28	21	35	30	17	44	27	23	16	10	7	7	9	22	19	22	9	12	23	23	190	86	195	167	123	64	17	14	13	4	3	9	3	15	3	4	86	12	7	16	7	7	17	17	17	"1,694"
19	28	36	22	37	91	37	32	15	8	7	25	22	26	20	22	7	9	11	18	17	26	12	4	32	21	194	98	244	196	122	71	24	16	14	6	3	10	1	7	2	4	65	9	7	21	7	2	9	14	19	"1,744"
12	34	38	22	22	85	30	27	6	11	6	25	33	26	22	23	10	6	14	17	19	26	7	7	34	20	207	89	223	146	91	51	22	19	20	8	3	11	3	6	6	13	75	13	2	14	6	6	11	19	16	"1,647"
