Total Trip OD																																																			
																																																			
	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits
Exit Station Two-Letter Code	RM	EN	EP	NB	BK	AS	MA	19	12	LM	FV	CL	SL	BF	HY	SH	UC	FM	CN	PH	WC	LF	OR	RR	OW	EM	MT	PL	CC	16	24	GP	BP	DC	CM	CV	ED	NC	WP	SS	SB	SO	MB	WD	OA	WS	PC	AN	ML	BE	
RM	657	"1,924"	"1,768"	892	"7,881"	"1,375"	"2,121"	"1,711"	"2,029"	579	"1,664"	"1,162"	617	350	554	273	190	240	511	159	436	338	204	394	542	"5,380"	"3,932"	"6,499"	"4,274"	"2,835"	"3,422"	718	"1,134"	"2,122"	348	62	240	66	231	273	498	"1,404"	380	73	225	217	110	352	197	401	"63,964"
EN	"2,253"	617	"1,894"	"1,490"	"12,713"	"2,170"	"3,422"	"3,764"	"5,354"	"1,330"	"2,463"	"1,430"	"1,027"	631	"1,013"	427	402	495	753	307	524	222	232	650	700	"10,890"	"8,664"	"11,720"	"8,455"	"3,874"	"3,012"	996	"1,400"	"2,986"	312	148	319	113	241	430	602	"2,196"	758	150	731	472	106	274	490	671	"106,293"
EP	"2,153"	"1,512"	302	924	"9,630"	"1,486"	"1,871"	"2,429"	"2,984"	867	957	565	439	267	331	129	255	281	280	250	353	197	143	409	145	"6,712"	"5,314"	"4,513"	"4,151"	"1,620"	"1,200"	512	504	868	123	106	195	53	83	142	245	"1,488"	348	111	477	220	41	129	228	327	"58,869"
NB	"1,036"	"1,315"	"1,011"	308	"2,640"	746	"1,074"	"2,205"	"2,175"	561	"1,064"	460	462	318	334	87	245	325	320	282	393	123	118	325	182	"8,092"	"5,528"	"3,817"	"4,875"	"2,121"	"1,226"	523	450	463	86	54	171	34	117	53	152	"2,075"	385	65	533	184	33	138	253	328	"49,865"
BK	"9,359"	"13,210"	"10,202"	"3,119"	"1,399"	"5,051"	"5,622"	"7,336"	"6,811"	"2,900"	"4,845"	"2,418"	"2,651"	"2,035"	"2,108"	"1,247"	"2,159"	"2,264"	"1,571"	"1,540"	"2,207"	"1,102"	800	546	"1,299"	"15,465"	"9,614"	"12,097"	"10,331"	"5,363"	"4,581"	"2,283"	"1,755"	"2,220"	566	620	"1,718"	323	"1,038"	588	660	"4,243"	"2,143"	558	"1,865"	"1,068"	261	836	"2,292"	"3,405"	"179,694"
AS	"1,544"	"2,084"	"1,570"	927	"4,466"	310	"1,177"	"2,149"	"2,292"	860	"1,596"	869	685	470	529	250	290	212	270	257	199	163	122	165	423	"7,243"	"5,296"	"4,407"	"5,318"	"2,651"	"1,399"	514	513	658	119	78	311	61	217	104	111	"1,428"	387	112	418	191	55	199	300	455	"56,424"
MA	"2,625"	"3,115"	"1,895"	"1,092"	"5,576"	"1,196"	616	"2,330"	"2,582"	900	"2,938"	"2,017"	"1,652"	"1,006"	"1,030"	767	656	694	"2,133"	"1,785"	"1,896"	676	654	"1,108"	"1,042"	"12,233"	"8,893"	"8,696"	"9,298"	"5,198"	"3,193"	980	"1,116"	"1,214"	259	228	672	407	"1,975"	298	290	"2,422"	617	360	471	571	450	"1,984"	635	696	"105,137"
19	"2,157"	"3,841"	"2,410"	"2,378"	"6,875"	"2,152"	"2,297"	551	583	468	"1,698"	"1,907"	"2,165"	"1,592"	"1,727"	886	"1,471"	"1,510"	"2,167"	"2,192"	"2,696"	"1,400"	945	"1,921"	"1,191"	"15,882"	"11,819"	"10,758"	"10,973"	"5,844"	"4,293"	"1,865"	"1,534"	"1,882"	428	393	"1,290"	593	"1,233"	470	642	"1,995"	857	564	540	804	340	"1,551"	948	"1,328"	"128,006"
12	"2,393"	"5,086"	"2,739"	"2,092"	"6,520"	"2,137"	"2,558"	615	783	368	"1,982"	"2,195"	"3,218"	"2,423"	"1,902"	"1,432"	"1,860"	"2,003"	"2,629"	"3,217"	"2,785"	"1,384"	"1,113"	"2,145"	"1,094"	"14,665"	"9,773"	"11,502"	"9,842"	"4,885"	"3,857"	"1,896"	"1,984"	"2,399"	858	522	"2,027"	886	"1,982"	773	827	"2,579"	"1,030"	732	594	586	447	"2,147"	866	"1,201"	"135,533"
