Avg Saturday Trip OD																																																			
																																																			
2024 / 11																																																			
	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday
Exit Station Two-Letter Code	RM	EN	EP	NB	BK	AS	MA	19	12	LM	FV	CL	SL	BF	HY	SH	UC	FM	CN	PH	WC	LF	OR	RR	OW	EM	MT	PL	CC	16	24	GP	BP	DC	CM	CV	ED	NC	WP	SS	SB	SO	MB	WD	OA	WS	PC	AN	ML	BE	
RM	12	41	54	23	194	35	50	33	34	11	35	28	13	10	12	9	7	6	10	4	10	10	2	10	16	88	58	184	71	59	67	17	20	24	12	2	5	1	3	6	8	39	10	2	6	4	4	4	8	10	"1,382"
EN	52	17	44	28	245	42	58	50	63	21	53	28	22	22	18	12	10	10	13	6	12	7	3	12	17	134	115	295	106	71	68	20	22	26	9	5	8	1	9	9	14	53	11	2	12	7	1	7	9	21	"1,899"
EP	61	34	8	25	237	34	43	41	41	16	21	10	10	8	4	5	5	7	8	6	11	5	3	13	4	83	56	122	64	36	41	8	5	10	5	2	7	1	2	2	5	40	6	1	10	2	1	2	3	10	"1,183"
NB	20	27	26	4	84	19	26	38	26	13	24	8	6	9	9	2	5	6	4	8	10	4	3	5	6	110	75	106	85	55	45	16	7	8	2	1	3	1	3	1	4	52	5	2	12	5	1	2	9	11	"1,013"
BK	214	265	243	96	42	105	102	143	135	52	98	47	70	57	43	40	60	69	26	34	77	37	39	17	34	504	279	466	282	160	142	78	45	76	14	17	82	9	17	14	18	142	100	21	59	53	3	13	82	138	"4,960"
AS	32	45	28	15	92	7	25	43	40	17	34	16	9	9	9	5	11	8	5	4	10	3	3	6	11	107	64	118	94	70	62	12	12	7	4	1	7	3	2	2	4	38	9	3	12	4	1	2	5	16	"1,142"
MA	57	47	41	23	104	28	13	44	46	13	63	37	24	15	16	9	10	12	25	19	34	14	14	31	24	171	104	224	146	126	95	24	16	16	6	3	11	5	18	5	5	55	9	3	11	10	8	24	13	23	"1,893"
19	33	48	38	37	143	42	46	12	10	9	35	26	34	23	37	16	12	18	30	28	38	16	18	44	25	219	142	270	190	153	111	36	27	29	7	7	11	6	9	5	9	54	14	7	15	7	5	13	9	23	"2,194"
12	43	53	37	27	130	35	46	9	17	6	33	31	43	30	27	12	13	14	20	22	29	14	10	40	23	183	114	267	158	95	64	25	25	24	11	3	10	3	12	11	11	58	19	4	10	5	4	14	12	16	"1,918"
LM	10	22	17	16	40	19	19	8	6	9	55	44	92	69	34	21	18	26	5	2	8	2	3	10	15	138	98	197	112	77	55	16	24	14	3	34	39	3	3	1	3	13	2	17	16	10	1	2	20	26	"1,492"
FV	40	51	20	21	94	33	59	35	34	46	27	91	103	102	75	34	30	30	10	8	11	5	4	23	49	152	106	281	155	111	103	18	29	23	6	26	48	2	8	3	6	26	7	30	5	22	3	11	26	37	"2,276"
CL	35	30	9	6	42	17	44	30	33	36	87	22	61	60	49	30	22	18	9	10	5	5	2	10	26	76	48	136	71	42	47	14	16	21	5	23	54	3	10	4	6	10	4	17	13	20	5	14	17	28	"1,400"
SL	18	18	6	7	72	15	30	49	46	83	102	66	11	61	66	29	29	30	10	6	9	2	2	10	17	121	84	231	78	46	42	13	21	23	6	20	35	1	5	5	6	16	3	22	6	14	2	7	19	28	"1,645"
BF	10	20	8	9	55	9	18	30	38	71	100	67	58	14	43	35	24	30	8	3	7	2	0	6	14	91	59	205	58	34	31	11	17	15	3	13	41	2	3	4	2	11	2	33	5	20	3	4	17	25	"1,390"
HY	14	18	6	10	48	10	22	37	31	38	74	51	68	46	14	35	54	74	7	2	4	3	1	5	12	64	32	102	47	18	20	5	10	10	3	8	26	0	4	2	2	7	4	17	6	25		8	42	41	"1,189"
SH	9	8	4	1	41	7	8	13	13	18	35	26	29	27	29	5	21	35	3	2	3	2	0	5	5	41	29	66	26	17	13	3	4	8	1	7	14	0	3	1	1	5	2	12	3	32	0	3	24	23	689
UC	4	11	4	5	73	5	13	18	16	17	27	22	28	25	59	23	10	31	4	2	6	1	0	3	5	74	36	104	42	16	12	6	7	8	1	7	16	0	2	1	3	11	3	8	8	38	0	4	46	42	907
FM	6	11	5	6	78	9	10	15	18	22	32	17	24	32	73	39	33	14	3	2	2	1	2	3	6	87	49	103	43	16	14	6	7	10	2	6	20	1	4	1	2	12	3	4	6	26	1	4	63	56	"1,006"
CN	13	12	4	5	29	5	31	30	25	4	12	7	11	8	7	1	2	3	17	35	113	69	17	36	10	86	57	133	59	22	26	10	10	15	5	2	3	11	62	5	9	48	6	2	11	1	33	54	6	8	"1,190"
PH	5	5	3	6	30	6	18	23	20	1	7	11	5	3	3	2	3	2	41	10	42	22	7	42	8	113	56	140	66	26	16	9	8	14	3	1	2	3	23	2	3	67	4	2	15	4	13	21	4	4	947
WC	12	15	12	9	80	10	36	38	35	6	8	7	9	5	5	4	3	4	125	53	12	24	19	89	10	140	67	159	79	32	29	16	12	10	5	3	2	9	47	6	7	84	5	1	12	2	19	37	2	8	"1,421"
LF	12	6	5	4	35	3	13	16	12	1	3	6	2	1	3	2	1	2	82	22	25	6	4	34	0	81	43	86	45	17	17	6	6	3	0	0	0	5	10	1	1	53	1	0	5	1	6	9	2	2	704
OR	3	2	2	2	39	2	12	18	11	2	5	2	2	3	1	1	1	1	19	8	18	5	7	31	2	86	39	78	40	18	14	6	3	4	1	0	0	2	3	3	1	33	1	0	3		2	2	2	2	542
RR	12	11	15	8	18	5	26	49	47	9	26	9	9	5	4	3	2	2	39	35	88	36	30	12	13	186	115	177	123	88	63	23	11	11	3	1	4	4	13	1	5	66	4	2	8	0	4	17	3	6	"1,451"
OW	9	12	2	4	29	11	17	23	27	8	38	22	14	17	11	5	3	4	6	6	8	1	2	12	13	296	184	450	223	157	130	21	25	18	5	5	9	1	4	4	10	63	9	4	4	3	3	4	2	8	"1,948"
