Avg Saturday Trip OD																																																			
Saturday																																																			
2025 / 03																																																			
	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday
Exit Station Two-Letter Code	RM	EN	EP	NB	BK	AS	MA	19	12	LM	FV	CL	SL	BF	HY	SH	UC	FM	CN	PH	WC	LF	OR	RR	OW	EM	MT	PL	CC	16	24	GP	BP	DC	CM	CV	ED	NC	WP	SS	SB	SO	MB	WD	OA	WS	PC	AN	ML	BE	
RM	12	42	51	25	188	45	53	40	43	11	33	40	14	5	12	9	4	5	12	6	9	10	4	10	14	107	73	175	80	73	89	17	22	23	12	2	4	1	7	6	12	44	8	2	5	5	4	6	3	12	"1,489"
EN	43	13	40	31	231	50	66	54	66	17	49	73	19	19	19	8	11	11	12	5	15	8	5	14	15	200	139	296	130	74	79	20	22	24	10	4	10	1	6	10	9	50	15	2	11	10	2	11	8	20	"2,057"
EP	60	33	7	26	201	35	43	55	43	18	27	34	12	6	6	4	3	7	7	4	13	5	2	8	6	119	71	134	91	40	34	9	8	12	4	2	6	1	3	3	4	38	13	2	10	3	1	2	4	11	"1,294"
NB	28	28	27	9	58	24	38	51	31	12	27	53	9	7	16	5	5	10	6	6	10	3	3	7	7	153	85	129	119	66	46	13	9	6	4	1	5	3	2	1	2	56	8	3	11	2	1	3	10	8	"1,226"
BK	191	231	196	69	50	89	113	146	157	44	92	77	57	41	48	38	37	44	27	19	40	19	11	16	31	509	248	438	322	174	112	60	34	43	11	16	45	7	12	11	13	210	61	11	69	18	3	7	47	92	"4,457"
AS	47	49	32	25	72	7	26	54	52	17	44	69	11	13	16	4	7	8	5	5	9	3	2	8	11	143	73	132	137	77	54	16	10	11	4	5	6	1	2	2	2	42	11	4	8	5	0	2	6	16	"1,365"
MA	70	59	44	40	104	31	18	62	55	19	63	149	31	26	22	9	9	13	38	25	42	17	15	32	19	242	125	229	204	135	93	25	20	15	5	4	13	7	25	5	7	53	12	6	9	8	8	24	10	20	"2,314"
19	43	56	55	50	143	60	52	18	12	8	39	141	35	30	42	12	18	24	25	29	41	18	17	56	33	314	177	276	232	156	100	36	25	28	10	9	16	6	12	7	9	53	18	6	11	12	4	18	22	33	"2,648"
12	48	69	47	34	143	50	48	10	20	5	39	79	47	31	34	17	18	19	36	31	39	16	15	43	36	301	149	324	208	122	78	31	35	31	14	6	14	4	13	11	17	70	24	4	12	13	8	19	16	22	"2,520"
LM	11	16	16	17	47	22	14	7	7	9	64	173	97	87	42	26	24	28	4	3	8	2	2	5	16	176	111	219	149	92	69	21	27	19	3	32	49	1	3	3	2	11	4	23	8	14	2	3	18	33	"1,839"
FV	42	42	28	27	99	36	56	41	30	52	15	256	91	102	80	40	34	31	11	10	18	6	6	21	55	194	134	278	174	117	112	22	29	27	5	30	52	1	14	4	7	18	7	24	2	20	6	11	21	42	"2,579"
CL	44	74	41	57	68	78	145	145	82	167	247	21	185	124	106	51	39	39	27	35	33	19	17	74	76	135	85	154	106	78	59	24	22	30	6	64	86	13	16	6	8	11	9	39	11	22	8	19	23	41	"3,069"
SL	13	24	11	8	60	13	33	42	55	89	85	183	11	45	60	29	24	29	11	3	6	1	0	10	25	150	95	211	105	50	39	15	25	25	2	24	40	2	4	4	6	14	4	27	4	15	1	8	18	31	"1,790"
BF	8	21	8	8	39	13	27	37	42	80	92	124	53	10	46	32	26	30	8	3	7	2	1	5	21	119	77	216	69	33	26	7	24	19	4	19	47	2	6	3	7	12	3	33	2	20	2	7	15	29	"1,541"
HY	12	16	7	15	53	13	25	42	38	38	79	99	78	45	15	40	54	71	11	4	4	3	1	9	13	80	41	99	49	25	21	8	7	11	4	8	30	2	5	2	5	7	5	19	3	37	2	6	39	42	"1,342"
SH	7	11	3	4	40	4	10	15	16	19	38	50	27	28	36	8	21	43	4	2	6	1	2	3	6	59	26	73	38	17	16	6	6	8	2	7	20	0	2	2	1	2	3	11	2	29	0	4	22	25	784
UC	6	11	3	5	49	6	12	26	19	23	33	41	21	28	58	20	9	34	4	3	4	1	1	4	7	93	49	103	52	19	16	4	6	11	2	6	25	1	2	1	3	11	2	6	4	35	1	2	37	43	960
FM	6	12	6	10	50	8	13	24	20	23	30	39	29	37	71	49	32	15	3	4	4	1	1	3	7	115	57	103	54	20	16	7	5	11	1	8	21	2	3	2	1	13	2	7	5	31	1	3	56	56	"1,100"
CN	10	14	7	4	30	7	34	31	31	7	12	24	10	6	11	5	4	3	23	42	107	72	17	38	7	110	66	139	67	27	26	14	14	18	4	2	4	10	77	9	8	49	6	5	8	3	34	63	3	8	"1,335"
PH	6	7	3	6	20	4	27	25	29	3	10	29	4	3	4	3	3	3	39	15	39	19	11	37	5	135	67	133	78	30	16	10	7	11	3	1	4	7	29	2	3	58	4	3	10	1	12	25	3	7	"1,012"
WC	12	15	11	11	47	13	37	42	40	5	16	30	7	10	5	4	4	3	129	48	14	33	22	83	8	179	89	194	131	43	23	12	12	15	4	2	1	8	46	7	4	66	5	1	10	1	17	34	6	9	"1,568"
LF	9	5	5	4	21	4	17	19	16	1	5	19	1	2	2	1	1	2	82	24	32	11	7	33	2	131	58	111	104	28	12	9	6	4	2	0	0	4	12	0	1	49	2	0	5	1	5	7	2	4	882
OR	3	3	2	2	13	2	12	17	15	1	5	16	1	1	2	2	0	1	19	8	25	10	9	35	2	117	59	77	80	25	16	4	6	5	0	0	1	2	5	3	1	35	1	0	4	0	3	4	2	2	657
RR	13	11	12	9	18	6	30	59	53	5	22	61	10	7	5	2	4	3	31	40	80	32	32	16	16	253	131	216	182	98	60	26	12	11	4	2	3	5	16	3	5	78	9	2	7	1	3	19	3	7	"1,733"
OW	12	16	5	5	30	12	18	27	31	12	50	67	19	17	15	6	6	8	9	4	7	3	4	17	12	440	259	494	315	204	122	23	33	26	7	6	14	2	7	4	11	49	13	7	2	3	4	6	4	9	"2,474"
EM	126	216	132	191	637	174	278	370	326	186	222	147	169	143	89	67	92	119	130	176	229	159	127	304	519	102	17	109	94	254	328	181	218	185	51	90	280	36	86	54	50	247	81	112	32	57	14	75	77	73	"8,233"
MT	88	158	84	122	371	100	157	241	191	116	167	88	143	109	65	46	62	68	77	94	143	87	66	185	329	20	51	23	61	198	266	157	304	233	71	68	143	19	63	56	45	194	67	45	11	30	10	47	47	57	"5,638"
