Avg Sunday Trip OD																																																			
Sunday																																																			
2025 / 03																																																			
	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday
Exit Station Two-Letter Code	RM	EN	EP	NB	BK	AS	MA	19	12	LM	FV	CL	SL	BF	HY	SH	UC	FM	CN	PH	WC	LF	OR	RR	OW	EM	MT	PL	CC	16	24	GP	BP	DC	CM	CV	ED	NC	WP	SS	SB	SO	MB	WD	OA	WS	PC	AN	ML	BE	
RM	8	35	36	21	140	22	42	26	35	17	28	22	12	7	9	6	2	3	10	5	10	10	2	8	6	77	43	120	62	43	50	8	14	17	6	1	6	1	5	5	7	30	8	2	5	2	1	5	4	11	"1,058"
EN	45	7	30	20	158	36	49	39	48	26	43	21	15	15	12	7	7	8	9	7	8	7	3	12	8	125	75	188	93	51	43	13	18	18	6	2	8	1	6	6	4	49	13	5	14	8	2	5	9	17	"1,417"
EP	45	28	6	22	138	23	30	29	27	17	21	10	6	3	6	3	2	6	6	3	9	2	3	9	5	69	40	73	67	26	16	5	5	6	3	2	5	0	4	1	2	34	4	2	10	2	1	2	3	6	848
NB	20	19	26	4	46	21	24	34	24	20	15	9	6	6	7	3	4	5	5	6	10	2	1	4	5	107	58	77	83	47	31	7	4	7	1	1	4	2	1	1	0	46	10	2	13	3	1	3	8	13	858
BK	147	149	142	46	35	56	73	114	118	50	60	35	34	20	31	15	28	41	14	15	28	16	7	8	20	331	171	264	222	112	83	46	33	41	7	9	41	2	9	6	9	249	56	11	101	27	2	8	74	141	"3,359"
AS	25	34	23	18	56	8	20	44	38	22	33	20	8	7	8	4	4	4	6	3	8	2	1	4	9	87	53	83	86	56	38	12	9	10	3	2	8	0	2	1	2	36	7	1	12	2	1	1	8	17	948
MA	48	46	31	23	82	25	9	46	55	35	38	35	20	21	15	8	10	10	24	13	24	8	12	22	17	162	87	160	144	109	65	20	14	12	4	5	10	4	13	2	5	60	8	4	14	8	7	16	9	17	"1,633"
19	30	35	28	35	112	46	42	13	10	15	27	23	25	20	25	11	8	15	17	17	23	12	8	32	18	176	108	189	161	118	65	19	16	23	6	4	9	2	9	2	5	55	11	5	16	10	4	10	7	19	"1,696"
12	33	45	25	21	98	37	42	8	20	7	22	31	34	21	22	9	11	15	21	15	31	11	10	32	21	177	104	216	151	85	59	22	23	23	10	2	8	1	9	8	11	70	12	2	13	3	3	10	10	12	"1,687"
LM	15	30	14	17	45	21	25	14	8	8	82	62	85	65	29	20	20	25	6	6	4	1	5	13	22	138	84	158	119	70	60	21	24	21	2	24	38	2	5	4	2	12	4	14	14	8	1	4	14	22	"1,506"
FV	29	36	18	18	66	28	36	38	30	75	14	79	63	71	61	25	19	21	11	6	7	3	3	17	30	129	83	202	130	75	60	18	19	24	4	24	38	1	10	2	8	16	4	25	9	13	1	6	15	32	"1,752"
CL	22	23	10	8	28	19	37	28	33	54	73	9	48	51	44	27	17	17	8	7	8	8	5	11	28	64	37	103	63	28	36	12	14	22	3	15	36	2	8	1	3	12	1	12	16	10	3	7	16	20	"1,167"
SL	11	17	7	7	34	9	19	35	39	82	65	47	13	36	49	21	16	14	6	3	5	1	0	6	17	85	68	140	76	30	25	10	10	11	1	22	35	1	4	4	4	11	2	17	5	7	2	4	13	25	"1,170"
BF	6	12	5	3	24	8	20	22	27	51	81	49	38	8	33	20	20	21	8	1	4	2	1	3	14	78	48	138	55	28	15	8	11	12	2	11	40	3	5	2	5	12	3	29	7	15	1	3	11	22	"1,045"
HY	8	16	4	7	31	7	17	23	25	29	58	39	54	31	12	25	41	52	3	5	3	2	1	4	6	48	25	59	30	17	13	3	8	14	2	10	21	1	5	1	4	7	5	13	4	24	1	5	27	32	883
SH	7	7	2	3	14	3	11	8	13	19	28	24	29	19	24	11	13	34	3	2	5	0	0	0	4	31	20	44	19	7	11	3	4	6	2	3	15	0	1	0	0	2	1	7	3	22	0	1	10	25	521
UC	3	9	2	5	30	6	11	10	12	20	19	16	17	21	40	15	9	22	2	1	2	1	0	2	5	55	26	57	39	12	10	5	5	5	1	4	14	1	2	2	1	9	1	5	6	29	0	1	30	31	630
FM	5	11	5	7	33	6	11	16	13	19	21	14	18	26	44	25	26	11	3	1	2	1	0	2	2	54	34	57	48	14	10	7	7	9	2	4	12	1	2	1	1	8	2	4	9	20	1	2	36	43	711
CN	10	8	4	6	14	6	27	19	20	5	7	9	7	6	5	2	2	2	17	28	87	56	16	27	5	65	33	91	47	16	15	10	7	14	4	1	5	9	60	2	6	50	3	5	8	1	25	43	4	8	928
PH	2	6	2	4	15	3	18	17	16	5	3	5	3	1	2	2	1	2	29	7	35	19	7	27	2	75	38	85	50	18	12	7	5	10	1	1	3	3	22	3	3	61	4	1	13	1	9	15	2	4	680
WC	9	8	8	9	29	10	27	24	24	3	6	7	4	4	3	4	4	3	94	41	7	23	13	53	6	100	51	111	83	24	16	14	8	12	3	3	1	7	31	4	6	82	4	1	11	1	11	22	4	6	"1,040"
LF	8	5	2	3	12	2	11	12	15	2	4	8	1	3	2	0	1	1	59	22	23	6	7	23	2	74	31	57	46	12	11	7	5	4	1	0	1	3	7	0	1	46	2	0	6	1	4	6	1	1	560
OR	2	4	1	2	8	2	14	6	12	2	4	5	0	3	0	0	0	2	15	7	17	9	4	13	2	65	22	48	42	13	9	4	2	1	1	0	0	1	3	0	0	33	2	1	3	0	2	2	0	3	390
RR	7	6	8	5	12	4	21	44	38	14	12	9	6	4	4	1	2	2	24	24	54	27	17	14	11	151	70	110	110	57	40	15	10	9	2	2	1	4	12	2	4	80	5	1	8	2	2	15	2	5	"1,088"
OW	12	12	3	3	17	9	13	18	21	18	34	23	15	15	11	4	4	4	7	3	5	4	1	10	11	263	132	293	203	131	75	17	21	20	5	5	10	1	5	2	11	51	8	2	4	2	2	5	3	6	"1,557"
EM	89	116	80	111	367	99	169	201	201	133	129	83	101	82	56	37	56	58	76	91	115	78	70	149	293	66	9	50	49	140	195	91	121	113	26	48	154	17	51	21	22	156	44	54	40	26	15	46	51	54	"4,699"
MT	55	77	42	72	207	59	110	135	129	75	91	46	73	70	31	28	31	39	34	44	53	36	28	99	158	12	26	17	20	115	149	74	168	109	32	33	75	10	42	18	16	131	32	18	19	22	9	27	23	28	"3,043"
PL	98	145	58	59	215	61	119	149	183	122	158	85	106	102	50	33	46	41	84	71	81	52	34	86	281	57	10	70	48	326	390	187	327	276	91	55	123	16	72	66	65	419	68	27	30	17	14	54	35	44	"5,405"
CC	56	80	60	74	200	82	141	148	128	101	113	58	65	50	21	19	36	41	38	44	77	45	40	101	210	43	16	57	41	145	214	118	136	183	76	34	80	13	36	44	54	214	75	22	22	16	6	29	25	39	"3,766"
16	42	49	25	45	114	51	110	110	86	72	67	30	29	21	15	9	9	12	22	16	21	9	12	52	140	138	118	365	181	21	73	101	133	135	51	10	29	6	14	37	34	141	50	7	9	5	3	11	10	19	"2,869"
24	46	41	16	29	83	36	67	71	60	53	58	26	26	15	16	9	7	11	15	14	16	12	8	39	94	181	136	460	237	63	21	91	92	116	42	9	22	5	16	33	33	103	41	6	11	4	2	14	6	15	"2,629"
GP	10	12	7	8	40	10	20	19	21	17	16	15	10	6	3	1	4	5	10	4	10	7	3	16	22	92	68	231	115	93	91	12	18	23	20	2	14	3	10	14	21	65	22	3	8	2	1	9	5	5	"1,242"
BP	12	16	3	4	29	6	13	16	19	20	21	10	14	11	5	5	4	6	8	6	8	4	1	7	22	119	86	420	144	111	92	17	15	18	30	3	9	2	14	13	30	59	23	2	2	2	2	9	6	5	"1,504"
DC	17	20	9	8	47	11	12	21	21	18	19	21	11	16	9	6	6	10	13	7	12	4	2	13	24	110	96	359	210	160	127	27	30	25	19	4	29	2	14	17	46	115	66	6	5	4	1	13	8	13	"1,861"
CM	9	7	4	2	11	1	5	8	15	3	5	3	2	2	2	2	2	1	9	5	9	2	3	4	9	28	31	131	90	50	42	20	32	20	9	1	2	2	7	4	15	51	15	1	1	0	2	7	0	1	687
CV	1	2	2	1	8	2	4	5	4	26	20	19	20	12	6	4	2	3	1	1	3	0	0	1	4	47	24	63	34	12	7	4	2	3	0	5	32	0	0	0	0	7	1	37	4	1	0	0	2	3	442
ED	4	5	3	4	40	5	7	12	13	36	39	29	27	34	19	15	12	13	5	1	1	0	0	2	10	139	63	159	81	33	18	10	10	22	2	29	18	1	2	3	1	54	5	11	22	5	1	2	12	19	"1,056"
NC	2	2	1	1	1	0	4	2	2	1	1	1	1	2	0	0	0	1	11	5	6	2	0	4	1	19	9	20	11	6	6	1	2	5	2	0	1	1	8	0	1	9	1	0	2	0	5	7	0	2	172
WP	6	5	1	1	9	2	22	7	8	3	10	5	3	4	3	2	3	1	60	24	38	8	4	15	4	47	36	83	39	11	20	6	9	10	6	0	1	8	8	2	4	36	2	1	8	2	4	7	1	4	602
SS	5	4	0	2	8	1	2	3	6	3	3	2	4	3	1	1	1	0	3	3	6	0	0	2	2	23	15	80	46	35	30	13	19	19	7	0	3	1	4	7	10	24	7	0	0	1	1	5	0	0	415
SB	10	5	2	0	8	1	6	5	10	3	5	5	5	4	1	0	1	1	7	4	4	1	1	4	8	25	15	79	61	39	34	15	31	38	11	0	3	1	5	10	10	91	8	1	1	0	1	6	0	1	586
SO	31	33	21	42	121	20	36	24	39	9	11	7	8	8	3	1	6	7	31	41	52	41	29	43	50	137	117	462	159	87	55	38	29	77	25	8	28	8	26	14	35	46	173	10	6	1	3	24	3	4	"2,290"
MB	10	9	5	9	45	8	7	14	11	7	5	4	2	1	2	1	1	1	5	4	3	1	2	5	8	49	25	87	76	41	36	22	22	61	14	1	5	1	2	4	10	393	28	0	1	0	1	2	1	0	"1,054"
WD	1	3	1	2	17	3	6	4	3	15	21	14	16	24	15	8	6	4	4	2	1	0	0	1	3	51	21	43	25	8	5	3	4	6	1	34	16	0	0	1	1	17	1	4	7	3	0	0	5	8	436
OA	4	10	4	9	52	5	4	5	9	5	4	9	3	1	2	1	3	4	5	8	6	3	1	5	2	30	15	34	11	8	4	6	3	5	0	2	8	2	5	0	0	9	3	4	4	2	0	4	2	3	329
WS	3	6	1	3	17	2	9	9	5	7	17	15	10	13	24	20	29	20	1	1	0	1	0	2	3	27	16	27	17	8	3	1	2	5	0	1	5	1	2	0	0	6	0	4	2	5	1	2	18	24	397
PC	3	2	1	1	3	1	10	4	3	0	4	5	2	2	1	1	0	0	26	11	12	4	3	3	3	13	7	16	7	4	3	2	3	1	1	0	1	4	3	0	2	4	0	0	1	2	3	8	1	1	192
AN	6	7	0	3	9	2	24	13	15	4	10	10	5	3	7	3	2	2	44	15	27	7	3	10	6	50	30	69	32	11	12	6	8	14	6	0	1	6	8	7	4	46	5	1	11	2	7	10	2	5	586
ML	3	6	3	6	44	6	8	8	8	13	16	12	12	12	23	10	28	36	3	1	1	0	1	3	4	47	23	37	28	10	8	5	4	4	1	2	12	1	1	0	0	3	0	5	3	15	1	3	8	22	511
BE	13	19	8	12	75	13	18	21	15	27	24	20	27	20	35	32	34	48	9	3	7	3	1	5	6	53	27	53	44	20	14	6	9	11	1	3	22	2	4	1	1	4	1	7	7	33	0	4	15	10	847
Grand Total	"1,097"	"1,290"	803	824	"3,046"	902	"1,581"	"1,703"	"1,735"	"1,387"	"1,667"	"1,145"	"1,139"	"1,003"	852	516	600	704	931	672	987	554	373	"1,026"	"1,642"	"4,389"	"2,581"	"6,601"	"4,033"	"2,759"	"2,515"	"1,189"	"1,529"	"1,650"	552	443	"1,062"	167	595	380	520	"3,324"	850	403	551	391	168	502	558	868	"66,755"
